model,architecture,features,n_features,n_params,training_time_s,best_epoch,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_mae_DJF,test_mae_MAM,test_mae_JJA,test_mae_SON
Ridge_tmax_lag1_a0.1,Ridge(alpha=0.1),TMAX lag-1 + date + AR,50,51,0.01,N/A,4.6362,6.0054,0.8886,4.6548,6.122,0.8832,4.4733,5.7628,0.874,4.8259,5.856,3.3567,3.8536
Ridge_tmax_lag1_a1.0,Ridge(alpha=1.0),TMAX lag-1 + date + AR,50,51,0.0,N/A,4.6363,6.0054,0.8886,4.6548,6.1223,0.8832,4.4725,5.7623,0.874,4.8258,5.8557,3.3542,3.8536
Ridge_tmax_lag1_a10.0,Ridge(alpha=10.0),TMAX lag-1 + date + AR,50,51,0.01,N/A,4.6383,6.0068,0.8886,4.6562,6.1249,0.8831,4.4683,5.7589,0.8742,4.8315,5.8515,3.3351,3.8545
Ridge_tmax_lag1_a100.0,Ridge(alpha=100.0),TMAX lag-1 + date + AR,50,51,0.0,N/A,4.6687,6.0379,0.8874,4.6843,6.1504,0.8821,4.4786,5.7593,0.8742,4.919,5.8097,3.3121,3.8742
Ridge_tmax_tmin_lag1,Ridge(alpha=1.0),TMAX+TMIN lag-1 + date + AR,97,98,0.09,N/A,4.4613,5.7235,0.8988,4.603,5.8828,0.8921,4.3273,5.5663,0.8824,4.6201,5.6579,3.3339,3.6954
Ridge_tmax_lag12,Ridge(alpha=1.0),TMAX lag-1+lag-2 + date + AR,98,99,0.02,N/A,4.5293,5.8719,0.8935,4.6236,6.0535,0.8858,4.4503,5.7024,0.8766,4.8862,5.6843,3.4046,3.8264
Ridge_full_features,Ridge(alpha=1.0),TMAX+TMIN+diurnal lag-1 + date + AR,144,145,0.02,N/A,4.458,5.718,0.899,4.6106,5.887,0.892,4.3284,5.5723,0.8822,4.6247,5.6464,3.3387,3.7017
ElasticNet_l1_0.5,"ElasticNet(alpha=1.0, l1_ratio=0.5)",TMAX lag-1 + date + AR,50,51,0.52,N/A,5.132,6.5709,0.8667,5.1337,6.7249,0.859,4.7482,6.0179,0.8626,5.3741,5.7922,3.7371,4.0926
MultiLagMLP_256_128_64,"MLP [256,128,64], dropout=0.05",TMAX lag-1..lag-3 + date + AR (flat concat),146,78849,455.3,40,4.3143,5.6399,0.9018,4.5231,5.9514,0.8896,4.4041,5.6418,0.8792,4.8019,5.609,3.3565,3.8496
LSTM_h64_L1,"LSTM(h=64, L=1) -> Dense(32) -> Dense(1)","TMAX lag-1..lag-3 + AR, seq_len=3",48,31297,557.7,60,4.3913,5.7932,0.8964,4.7105,6.1931,0.8804,4.4504,5.7519,0.8745,4.7639,5.6995,3.3246,4.0138
GRU_h64_L1,"GRU(h=64, L=1) -> Dense(32) -> Dense(1)","TMAX lag-1..lag-3 + AR, seq_len=3",48,24001,780.9,28,4.6275,6.0734,0.8861,4.7522,6.3455,0.8745,4.6742,6.0766,0.8599,5.0451,6.023,3.3437,4.287
TemporalConv1D,"Conv1d(64,k=2) -> Conv1d(32,k=2) -> Dense(1)","TMAX lag-1..lag-3 + AR, seq_len=3",48,10369,726.1,108,4.4643,5.841,0.8947,4.6935,6.1773,0.881,4.4975,5.8064,0.8721,4.8366,5.7497,3.4478,3.9555
MLP_256_128_64_wd_deltaT,"MLP [256,128,64], dropout=0.05, weight_decay=1e-4","TMAX lag-1 + date + AR, delta-T target",50,54273,450.4,72,3.8418,5.1848,0.917,4.3713,5.7005,0.8987,4.3989,5.645,0.8791,4.6386,5.7675,3.3601,3.8269
MLP_256_128_64_wd_raw,"MLP [256,128,64], dropout=0.05, weight_decay=1e-4","TMAX lag-1 + date + AR, raw TMAX target",50,54273,335.0,38,4.3707,5.7251,0.8988,4.3873,5.791,0.8955,4.4228,5.7114,0.8762,4.77,5.7138,3.3089,3.8985
MLP_128_64_wd_raw,"MLP [128,64], dropout=0.0, weight_decay=1e-4","TMAX lag-1 + date + AR, raw TMAX target",50,14849,406.8,153,4.2923,5.6783,0.9004,4.3759,5.8104,0.8948,4.4514,5.7414,0.8749,4.8108,5.7228,3.3416,3.9304
StationSens_10stn,"MLP [256,128,64] (10 stations)",TMAX lag-1 + date + AR (10 stn),13,44801,83.3,25,5.0729,6.5681,0.8668,5.1742,6.7996,0.8559,4.7073,6.1075,0.8585,5.5364,5.6512,3.4933,4.156
StationSens_20stn,"MLP [256,128,64] (20 stations)",TMAX lag-1 + date + AR (20 stn),23,47361,82.9,30,4.9536,6.4507,0.8715,5.0576,6.6481,0.8622,4.6466,6.0504,0.8611,5.3996,5.8328,3.3195,4.0402
StationSens_30stn,"MLP [256,128,64] (30 stations)",TMAX lag-1 + date + AR (30 stn),33,49921,266.6,87,4.6193,6.0475,0.8871,4.7338,6.2628,0.8777,4.5536,5.9183,0.8671,5.0395,5.7937,3.32,4.0639
StationSens_40stn,"MLP [256,128,64] (40 stations)",TMAX lag-1 + date + AR (40 stn),43,52481,240.6,79,4.4949,5.8791,0.8933,4.6244,6.0698,0.8851,4.566,5.901,0.8679,5.1521,5.7022,3.3841,4.0294
StationSens_47stn,"MLP [256,128,64] (47 stations)",TMAX lag-1 + date + AR (47 stn),50,54273,228.0,109,4.3228,5.6681,0.9008,4.3781,5.7794,0.8959,4.428,5.7213,0.8758,4.8685,5.7556,3.2133,3.8755
