year,total_days,gfs_days,gfs_pct,nam_days,nam_pct,both_days,both_pct,either_days,either_pct
2004,366,366,100.0,311,85.0,311,85.0,366,100.0
2005,365,365,100.0,365,100.0,365,100.0,365,100.0
2006,365,365,100.0,363,99.5,363,99.5,365,100.0
2007,365,365,100.0,365,100.0,365,100.0,365,100.0
2008,366,366,100.0,366,100.0,366,100.0,366,100.0
2009,365,365,100.0,365,100.0,365,100.0,365,100.0
2010,365,365,100.0,365,100.0,365,100.0,365,100.0
2011,365,365,100.0,365,100.0,365,100.0,365,100.0
2012,366,366,100.0,366,100.0,366,100.0,366,100.0
2013,365,365,100.0,365,100.0,365,100.0,365,100.0
2014,365,365,100.0,365,100.0,365,100.0,365,100.0
2015,365,365,100.0,365,100.0,365,100.0,365,100.0
2016,366,366,100.0,366,100.0,366,100.0,366,100.0
2017,365,365,100.0,365,100.0,365,100.0,365,100.0
2018,365,365,100.0,365,100.0,365,100.0,365,100.0
2019,365,365,100.0,365,100.0,365,100.0,365,100.0
2020,366,366,100.0,366,100.0,366,100.0,366,100.0
2021,365,365,100.0,365,100.0,365,100.0,365,100.0
2022,365,365,100.0,365,100.0,365,100.0,365,100.0
2023,365,365,100.0,365,100.0,365,100.0,365,100.0
2024,366,366,100.0,366,100.0,366,100.0,366,100.0
2025,365,365,100.0,365,100.0,365,100.0,365,100.0
2026,42,42,100.0,42,100.0,42,100.0,42,100.0
