experiment,architecture,features,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
A_baseline_32_16_orig,A_baseline_32_16,orig,train,2.2588,2.9921,0.9728,2.4453,2.6968,1.9154,1.9782
A_baseline_32_16_orig,A_baseline_32_16,orig,val,2.1816,2.9142,0.9735,2.2882,2.6358,1.9088,1.8928
A_baseline_32_16_orig,A_baseline_32_16,orig,test,2.0749,2.7504,0.9713,2.2584,2.5484,1.7861,1.7057
A_baseline_32_16_orig,A_baseline_32_16,orig,oos,2.1278,2.7968,0.9771,2.0163,2.8995,1.77,1.8197
B_64_32_orig,B_64_32,orig,train,2.2118,2.9123,0.9742,2.3712,2.6273,1.9113,1.9374
B_64_32_orig,B_64_32,orig,val,2.1333,2.8644,0.9744,2.2723,2.5491,1.862,1.8498
B_64_32_orig,B_64_32,orig,test,2.052,2.7236,0.9719,2.2199,2.5076,1.7774,1.7019
B_64_32_orig,B_64_32,orig,oos,2.0973,2.7954,0.9771,1.9346,2.8718,1.74,1.8363
C_64_32_16_orig,C_64_32_16,orig,train,2.0869,2.7596,0.9768,2.1662,2.469,1.8467,1.8649
C_64_32_16_orig,C_64_32_16,orig,val,2.1283,2.8391,0.9749,2.1761,2.6294,1.8403,1.8656
C_64_32_16_orig,C_64_32_16,orig,test,2.0655,2.7734,0.9708,2.3329,2.4885,1.7396,1.7014
C_64_32_16_orig,C_64_32_16,orig,oos,2.0837,2.765,0.9776,1.952,2.817,1.6868,1.8738
D_128_64_orig,D_128_64,orig,train,2.1267,2.8195,0.9758,2.2453,2.508,1.849,1.9043
D_128_64_orig,D_128_64,orig,val,2.1495,2.8892,0.974,2.3127,2.631,1.8248,1.8298
D_128_64_orig,D_128_64,orig,test,2.071,2.757,0.9712,2.3226,2.5117,1.7444,1.7053
D_128_64_orig,D_128_64,orig,oos,2.1277,2.8099,0.9769,2.0454,2.9471,1.6549,1.8589
E_residual_orig,E_residual,orig,train,2.1981,2.8884,0.9746,2.3696,2.5844,1.9177,1.9207
E_residual_orig,E_residual,orig,val,2.1366,2.8421,0.9748,2.332,2.4906,1.9073,1.8171
E_residual_orig,E_residual,orig,test,2.0319,2.6946,0.9725,2.2544,2.4144,1.7912,1.6674
E_residual_orig,E_residual,orig,oos,2.1237,2.7961,0.9771,2.022,2.9298,1.7141,1.8235
F_skip_orig,F_skip,orig,train,2.2475,2.9608,0.9733,2.422,2.6674,1.9428,1.958
F_skip_orig,F_skip,orig,val,2.1705,2.9363,0.9731,2.3124,2.6381,1.9214,1.8095
F_skip_orig,F_skip,orig,test,2.0638,2.7608,0.9711,2.2331,2.5723,1.7586,1.6899
F_skip_orig,F_skip,orig,oos,2.0993,2.7916,0.9772,2.032,2.8434,1.7313,1.7856
G_hgb_orig,G_hgb,orig,train,2.0923,2.7412,0.9771,2.2229,2.4788,1.7483,1.9197
G_hgb_orig,G_hgb,orig,val,2.2645,3.023,0.9715,2.4624,2.7022,1.8897,2.005
G_hgb_orig,G_hgb,orig,test,2.064,2.7602,0.9711,2.1523,2.4341,1.9297,1.7378
G_hgb_orig,G_hgb,orig,oos,2.1616,2.8881,0.9756,2.1681,2.7738,1.8474,1.8537
H_ridge_orig,H_ridge,orig,train,2.3741,3.1071,0.9706,2.6236,2.8242,1.9749,2.0751
H_ridge_orig,H_ridge,orig,val,2.3444,3.0878,0.9703,2.5053,2.8084,2.023,2.0412
H_ridge_orig,H_ridge,orig,test,2.1241,2.7609,0.9711,2.3593,2.5479,1.8255,1.7637
H_ridge_orig,H_ridge,orig,oos,2.2552,2.9305,0.9748,2.1253,3.006,2.0075,1.875
A_baseline_32_16_enh,A_baseline_32_16,enh,train,2.3379,3.1,0.9708,2.5771,2.7731,1.9543,2.0485
A_baseline_32_16_enh,A_baseline_32_16,enh,val,2.2162,2.9725,0.9725,2.3631,2.6593,1.9192,1.9233
A_baseline_32_16_enh,A_baseline_32_16,enh,test,2.0672,2.7459,0.9714,2.2119,2.5189,1.7985,1.7383
A_baseline_32_16_enh,A_baseline_32_16,enh,oos,2.1495,2.8425,0.9763,2.1003,2.8129,1.7622,1.9192
B_64_32_enh,B_64_32,enh,train,2.1207,2.7987,0.9762,2.2551,2.5299,1.841,1.8563
B_64_32_enh,B_64_32,enh,val,2.1712,2.8781,0.9742,2.2312,2.6629,1.9407,1.8478
B_64_32_enh,B_64_32,enh,test,2.0926,2.7931,0.9704,2.3089,2.5447,1.8362,1.6795
B_64_32_enh,B_64_32,enh,oos,2.124,2.7846,0.9773,1.9816,2.8622,1.7016,1.9457
C_64_32_16_enh,C_64_32_16,enh,train,2.2209,2.9215,0.974,2.376,2.6126,1.9445,1.9502
C_64_32_16_enh,C_64_32_16,enh,val,2.1721,2.8683,0.9744,2.236,2.6586,1.9019,1.8903
C_64_32_16_enh,C_64_32_16,enh,test,2.0824,2.7868,0.9705,2.3131,2.5546,1.7774,1.6839
C_64_32_16_enh,C_64_32_16,enh,oos,2.0825,2.7413,0.978,2.0563,2.7515,1.6769,1.8423
D_128_64_enh,D_128_64,enh,train,2.1087,2.7971,0.9762,2.2435,2.5024,1.8343,1.8544
D_128_64_enh,D_128_64,enh,val,2.1617,2.8787,0.9742,2.2177,2.6443,1.9269,1.8557
D_128_64_enh,D_128_64,enh,test,2.0611,2.7749,0.9708,2.2683,2.513,1.7698,1.6928
D_128_64_enh,D_128_64,enh,oos,2.1149,2.7699,0.9775,2.0249,2.8729,1.6314,1.9264
E_residual_enh,E_residual,enh,train,2.2409,2.9517,0.9735,2.3803,2.6727,1.95,1.9601
E_residual_enh,E_residual,enh,val,2.1894,2.9008,0.9738,2.3018,2.706,1.9031,1.8453
E_residual_enh,E_residual,enh,test,2.0893,2.7819,0.9706,2.3415,2.5574,1.7794,1.6785
E_residual_enh,E_residual,enh,oos,2.1337,2.7925,0.9772,2.0218,2.8815,1.7158,1.9107
F_skip_enh,F_skip,enh,train,2.2076,2.9089,0.9743,2.3457,2.6331,1.9172,1.934
F_skip_enh,F_skip,enh,val,2.1842,2.8946,0.9739,2.2929,2.7176,1.8477,1.8777
F_skip_enh,F_skip,enh,test,2.1017,2.8227,0.9698,2.3221,2.6426,1.7828,1.6579
F_skip_enh,F_skip,enh,oos,2.1308,2.8034,0.977,2.0194,2.8766,1.711,1.9115
G_hgb_enh,G_hgb,enh,train,2.1734,2.8391,0.9755,2.2879,2.5628,1.8349,2.0081
G_hgb_enh,G_hgb,enh,val,2.281,3.0261,0.9715,2.4204,2.7025,1.9904,2.0106
G_hgb_enh,G_hgb,enh,test,2.1112,2.8135,0.97,2.2308,2.4899,1.933,1.7897
G_hgb_enh,G_hgb,enh,oos,2.178,2.9015,0.9753,2.178,2.7916,1.7965,1.9435
H_ridge_enh,H_ridge,enh,train,2.3594,3.0829,0.9711,2.6061,2.8117,1.962,2.0589
H_ridge_enh,H_ridge,enh,val,2.3272,3.0629,0.9708,2.4693,2.8545,1.9806,2.0038
H_ridge_enh,H_ridge,enh,test,2.1094,2.7535,0.9712,2.3399,2.5565,1.7975,1.7434
H_ridge_enh,H_ridge,enh,oos,2.2821,2.9416,0.9747,2.2651,2.9795,1.9715,1.9077
