model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON,crps,mean_sigma,cov_50,cov_80,cov_90,cov_95,width_50,width_80,width_90,width_95
A_NN_64_32,train,2.0621,2.7404,0.9772,2.1975,2.4375,1.795,1.8184,,,,,,,,,,
A_NN_64_32,val,2.0516,2.7324,0.9767,2.1817,2.4731,1.7639,1.7878,,,,,,,,,,
A_NN_64_32,test,2.0225,2.66,0.9732,2.1914,2.4542,1.818,1.6248,,,,,,,,,,
A_NN_64_32,oos,2.0291,2.7094,0.9785,1.8208,2.9086,1.669,1.71,,,,,,,,,,
B_NN_64_32_16,train,1.9047,2.5569,0.9801,2.0159,2.2117,1.6963,1.6946,,,,,,,,,,
B_NN_64_32_16,val,2.0297,2.6993,0.9773,2.1572,2.3955,1.7569,1.8093,,,,,,,,,,
B_NN_64_32_16,test,2.0401,2.7036,0.9723,2.2232,2.3203,1.8972,1.7192,,,,,,,,,,
B_NN_64_32_16,oos,2.0415,2.7382,0.978,1.8258,2.9003,1.6445,1.788,,,,,,,,,,
C_ResidualNN,train,2.0451,2.729,0.9774,2.1912,2.4208,1.7644,1.8039,,,,,,,,,,
C_ResidualNN,val,2.0285,2.724,0.9769,2.1995,2.4012,1.7241,1.7903,,,,,,,,,,
C_ResidualNN,test,2.0073,2.6467,0.9734,2.2362,2.3558,1.8287,1.6077,,,,,,,,,,
C_ResidualNN,oos,2.0419,2.6987,0.9787,1.9842,2.8033,1.6353,1.7403,,,,,,,,,,
D_Probabilistic,train,2.0221,2.6697,0.9783,2.1542,2.4035,1.7451,1.7857,1.4356,2.5416,0.5113,0.8069,0.9011,0.9512,3.43,6.51,8.36,9.96
D_Probabilistic,val,2.0695,2.7467,0.9765,2.1823,2.5054,1.7782,1.8119,1.4824,2.5345,0.5041,0.789,0.8918,0.9274,3.42,6.5,8.34,9.94
D_Probabilistic,test,2.0142,2.6512,0.9733,2.22,2.3809,1.8427,1.612,1.4461,2.6205,0.528,0.8112,0.8919,0.9494,3.54,6.72,8.62,10.27
D_Probabilistic,oos,2.0216,2.6988,0.9787,1.8494,2.899,1.6129,1.7183,1.4599,2.6482,0.5397,0.8055,0.9205,0.9562,3.57,6.79,8.71,10.38
E_seed_42,train,2.0621,2.7404,0.9772,2.1975,2.4375,1.795,1.8184,,,,,,,,,,
E_seed_42,val,2.0516,2.7324,0.9767,2.1817,2.4731,1.7639,1.7878,,,,,,,,,,
E_seed_42,test,2.0225,2.66,0.9732,2.1914,2.4542,1.818,1.6248,,,,,,,,,,
E_seed_42,oos,2.0291,2.7094,0.9785,1.8208,2.9086,1.669,1.71,,,,,,,,,,
E_seed_123,train,2.091,2.7831,0.9764,2.2343,2.4892,1.8072,1.8332,,,,,,,,,,
E_seed_123,val,2.0547,2.7374,0.9766,2.1851,2.4612,1.7492,1.8234,,,,,,,,,,
E_seed_123,test,2.0174,2.6529,0.9733,2.124,2.4601,1.8462,1.6368,,,,,,,,,,
E_seed_123,oos,2.0593,2.7022,0.9786,1.9201,2.8881,1.6497,1.7731,,,,,,,,,,
E_seed_456,train,2.0984,2.7961,0.9762,2.2525,2.4811,1.8071,1.8532,,,,,,,,,,
E_seed_456,val,2.053,2.756,0.9763,2.1782,2.4989,1.7455,1.7892,,,,,,,,,,
E_seed_456,test,2.0052,2.6401,0.9736,2.122,2.4441,1.782,1.671,,,,,,,,,,
E_seed_456,oos,2.0366,2.6958,0.9787,1.8655,2.9065,1.6553,1.7118,,,,,,,,,,
E_seed_789,train,2.0477,2.7345,0.9773,2.194,2.4303,1.766,1.8005,,,,,,,,,,
E_seed_789,val,2.055,2.7391,0.9766,2.1903,2.4339,1.7907,1.8055,,,,,,,,,,
