model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
E1_seed42,train,2.2859,3.0276,0.9721,2.4919,2.7207,1.9298,2.0018
E1_seed42,val,2.2063,2.9427,0.973,2.2657,2.6982,1.9325,1.9273
E1_seed42,test,2.1078,2.7925,0.9704,2.3104,2.5726,1.7901,1.7575
E1_seed42,oos,2.1337,2.8229,0.9767,1.9639,2.9761,1.8012,1.7859
E1_seed123,train,2.3204,3.0701,0.9713,2.5263,2.7689,1.9601,2.027
E1_seed123,val,2.1924,2.9562,0.9728,2.2916,2.6746,1.9014,1.901
E1_seed123,test,2.0918,2.7802,0.9707,2.2903,2.5828,1.7736,1.7197
E1_seed123,oos,2.1144,2.8205,0.9767,2.0079,2.8476,1.7898,1.8065
E1_seed456,train,2.3002,3.051,0.9717,2.5327,2.747,1.9203,2.002
E1_seed456,val,2.2179,2.9831,0.9723,2.3702,2.6942,1.9222,1.8846
E1_seed456,test,2.0607,2.75,0.9713,2.2306,2.5361,1.7472,1.728
E1_seed456,oos,2.1225,2.8339,0.9765,2.13,2.858,1.742,1.7561
E1_seed789,train,2.3156,3.0686,0.9714,2.5429,2.7616,1.9386,2.0203
E1_seed789,val,2.2182,2.9793,0.9723,2.42,2.6527,1.9059,1.8949
E1_seed789,test,2.0829,2.7661,0.971,2.2825,2.5614,1.7753,1.7117
E1_seed789,oos,2.1635,2.8709,0.9759,2.1805,2.9151,1.7654,1.7894
E1_seed2024,train,2.371,3.1426,0.97,2.6003,2.8244,1.9962,2.064
E1_seed2024,val,2.2282,3.0047,0.9719,2.3691,2.6781,1.9068,1.9588
E1_seed2024,test,2.081,2.758,0.9711,2.1972,2.5307,1.8047,1.7899
E1_seed2024,oos,2.1453,2.8783,0.9757,2.024,2.8986,1.8347,1.8177
E1_ensemble_5seed,train,2.3084,3.0602,0.9715,2.5238,2.7559,1.9406,2.0141
E1_ensemble_5seed,val,2.2007,2.9608,0.9727,2.325,2.6732,1.9029,1.901
E1_ensemble_5seed,test,2.0752,2.7564,0.9712,2.247,2.5506,1.7684,1.7339
E1_ensemble_5seed,oos,2.1245,2.8298,0.9765,2.0431,2.8944,1.7759,1.779
E2_SWA_seed42,train,2.2623,2.992,0.9728,2.4565,2.699,1.9108,1.9834
E2_SWA_seed42,val,2.1967,2.9244,0.9733,2.2735,2.6723,1.924,1.9156
E2_SWA_seed42,test,2.1155,2.7954,0.9704,2.3186,2.5884,1.7703,1.7845
E2_SWA_seed42,oos,2.1696,2.8687,0.9759,2.0912,3.0335,1.7451,1.8027
E2_noSWA_seed42,train,2.2859,3.0276,0.9721,2.4919,2.7207,1.9298,2.0018
E2_noSWA_seed42,val,2.2063,2.9427,0.973,2.2657,2.6982,1.9325,1.9273
E2_noSWA_seed42,test,2.1078,2.7925,0.9704,2.3104,2.5726,1.7901,1.7575
E2_noSWA_seed42,oos,2.1337,2.8229,0.9767,1.9639,2.9761,1.8012,1.7859
E2_SWA_seed123,train,2.2863,3.0193,0.9723,2.4751,2.7361,1.9325,2.0019
E2_SWA_seed123,val,2.1727,2.9109,0.9736,2.2806,2.6075,1.9214,1.8803
E2_SWA_seed123,test,2.0782,2.7606,0.9711,2.2576,2.5665,1.7755,1.7123
E2_SWA_seed123,oos,2.1265,2.8348,0.9765,2.0517,2.8715,1.7788,1.7986
E2_noSWA_seed123,train,2.3204,3.0701,0.9713,2.5263,2.7689,1.9601,2.027
E2_noSWA_seed123,val,2.1924,2.9562,0.9728,2.2916,2.6746,1.9014,1.901
E2_noSWA_seed123,test,2.0918,2.7802,0.9707,2.2903,2.5828,1.7736,1.7197
E2_noSWA_seed123,oos,2.1144,2.8205,0.9767,2.0079,2.8476,1.7898,1.8065
E2_SWA_seed456,train,2.2683,3.0043,0.9726,2.4707,2.7051,1.9131,1.9849
