model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
Baseline_Ridge,train,2.3741,3.1071,0.9706,2.6236,2.8242,1.9749,2.0751
Baseline_Ridge,val,2.3444,3.0878,0.9703,2.5053,2.8084,2.023,2.0412
Baseline_Ridge,test,2.1241,2.7609,0.9711,2.3593,2.5479,1.8255,1.7637
Baseline_Ridge,oos,2.2552,2.9305,0.9748,2.1253,3.006,2.0075,1.875
"Baseline_NN[32, 16]",train,2.2859,3.0276,0.9721,2.4919,2.7207,1.9298,2.0018
"Baseline_NN[32, 16]",val,2.2063,2.9427,0.973,2.2657,2.6982,1.9325,1.9273
"Baseline_NN[32, 16]",test,2.1078,2.7925,0.9704,2.3104,2.5726,1.7901,1.7575
"Baseline_NN[32, 16]",oos,2.1337,2.8229,0.9767,1.9639,2.9761,1.8012,1.7859
"Baseline_NN[64, 32]",train,2.2212,2.9231,0.974,2.3873,2.6213,1.9348,1.9416
"Baseline_NN[64, 32]",val,2.1707,2.8927,0.9739,2.3245,2.6343,1.8631,1.8607
"Baseline_NN[64, 32]",test,2.0834,2.7533,0.9712,2.317,2.5249,1.7855,1.7057
"Baseline_NN[64, 32]",oos,2.1433,2.8322,0.9765,2.1211,2.8639,1.7422,1.8423
Baseline_HGB,train,2.0749,2.7212,0.9775,2.2096,2.4605,1.7304,1.8998
Baseline_HGB,val,2.2685,3.0357,0.9713,2.4537,2.726,1.9049,1.9906
Baseline_HGB,test,2.0687,2.7586,0.9711,2.1707,2.4382,1.9218,1.7421
Baseline_HGB,oos,2.1456,2.8548,0.9761,2.1554,2.7785,1.8022,1.8431
Phase1A_Ridge,train,2.3059,3.0442,0.9718,2.5545,2.739,1.9113,2.0202
Phase1A_Ridge,val,2.2673,2.9858,0.9722,2.4513,2.7075,1.8518,2.0603
Phase1A_Ridge,test,2.1207,2.7292,0.9717,2.3396,2.5155,1.8327,1.7952
Phase1A_Ridge,oos,2.2053,2.8609,0.976,2.0302,2.9781,1.8716,1.9344
"Phase1A_NN[32, 16]",train,2.1828,2.9227,0.974,2.3769,2.6177,1.8405,1.8966
"Phase1A_NN[32, 16]",val,2.1256,2.8387,0.9749,2.3019,2.5372,1.7677,1.897
"Phase1A_NN[32, 16]",test,2.0819,2.7265,0.9718,2.2824,2.4382,1.8265,1.7803
"Phase1A_NN[32, 16]",oos,2.0671,2.7572,0.9777,1.985,2.8667,1.7072,1.7039
"Phase1A_NN[64, 32]",train,2.02,2.704,0.9778,2.1483,2.3781,1.7521,1.8014
"Phase1A_NN[64, 32]",val,2.0661,2.776,0.976,2.3157,2.4693,1.6752,1.8066
"Phase1A_NN[64, 32]",test,2.0538,2.7149,0.972,2.2783,2.4013,1.8315,1.704
"Phase1A_NN[64, 32]",oos,2.0383,2.6976,0.9787,1.8317,2.8584,1.6682,1.7876
Phase1A_HGB,train,2.1316,2.8104,0.976,2.3309,2.4758,1.8145,1.9063
Phase1A_HGB,val,2.1857,2.9314,0.9732,2.4089,2.5522,1.7503,2.0346
Phase1A_HGB,test,2.0833,2.7185,0.972,2.2133,2.3439,1.9205,1.8552
Phase1A_HGB,oos,2.0631,2.7507,0.9778,2.0605,2.6901,1.6795,1.8197
Phase1B_Ridge,train,2.3712,3.105,0.9707,2.617,2.8204,1.9696,2.0792
Phase1B_Ridge,val,2.34,3.0772,0.9705,2.4921,2.797,2.0184,2.0527
Phase1B_Ridge,test,2.1262,2.7597,0.9711,2.3733,2.5427,1.8184,1.7707
Phase1B_Ridge,oos,2.2682,2.9436,0.9746,2.1752,3.0281,1.9773,1.8863
"Phase1B_NN[32, 16]",train,2.3535,3.1221,0.9704,2.59,2.782,1.9957,2.0476
"Phase1B_NN[32, 16]",val,2.1935,2.9775,0.9724,2.32,2.6282,1.9116,1.9139
