model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
E_seed_42,train,2.0809,2.7695,0.9765,2.2463,2.5031,1.7897,1.8055
E_seed_42,val,2.0488,2.748,0.9735,2.4371,2.0886,1.843,1.8327
E_seed_42,test,2.0589,2.6472,0.976,2.2114,2.6691,1.7423,1.6095
E_seed_42,oos,2.069,2.7204,0.9783,2.0185,2.8221,1.6537,1.7774
E_seed_123,train,2.0071,2.678,0.978,2.0922,2.4042,1.7824,1.7667
E_seed_123,val,2.0285,2.7351,0.9737,2.296,2.1367,1.8736,1.8113
E_seed_123,test,2.018,2.6359,0.9762,2.0511,2.6589,1.7474,1.6107
E_seed_123,oos,2.0052,2.6598,0.9793,1.8665,2.7757,1.6455,1.7271
E_seed_456,train,1.9952,2.6703,0.9781,2.0968,2.3918,1.7502,1.7596
E_seed_456,val,2.0457,2.7704,0.973,2.3831,2.1472,1.8546,1.8028
E_seed_456,test,1.9951,2.6054,0.9768,2.0218,2.657,1.7381,1.559
E_seed_456,oos,2.0018,2.6791,0.979,1.8204,2.8789,1.6164,1.6841
E_seed_789,train,1.9641,2.6317,0.9788,2.0601,2.3554,1.7172,1.741
E_seed_789,val,2.0429,2.7287,0.9739,2.3551,2.1215,1.8646,1.835
E_seed_789,test,2.0519,2.6658,0.9757,2.0102,2.8097,1.7647,1.618
E_seed_789,oos,2.036,2.6959,0.9787,1.8309,2.9121,1.6484,1.7449
E_seed_2024,train,2.0641,2.7481,0.9768,2.1819,2.4831,1.8123,1.7983
E_seed_2024,val,2.0303,2.7441,0.9736,2.3048,2.1534,1.876,1.7903
E_seed_2024,test,2.0109,2.6251,0.9764,2.0355,2.6549,1.7023,1.6472
E_seed_2024,oos,2.0373,2.7141,0.9784,1.8604,2.8506,1.7043,1.7265
E_Ensemble_5seed,train,2.005,2.6779,0.978,2.1098,2.4102,1.7577,1.7603
E_Ensemble_5seed,val,2.0173,2.7232,0.974,2.3285,2.1088,1.8401,1.7962
E_Ensemble_5seed,test,2.0062,2.6113,0.9767,2.0252,2.6765,1.7302,1.5886
E_Ensemble_5seed,oos,2.011,2.6698,0.9791,1.8473,2.8344,1.6369,1.7187
