station_id,station_name,icao,asos_available,notes
USW00094728,NY CITY CENTRAL PARK,KNYC,yes,ASOS/NYC Central Park
USW00014732,LAGUARDIA AP,KLGA,yes,ASOS
USW00094741,TETERBORO AP,KTEB,yes,ASOS
USW00014734,NEWARK LIBERTY INTL AP,KEWR,yes,ASOS
USW00094789,JFK INTL AP,KJFK,yes,ASOS
USW00054743,CALDWELL ESSEX CO AP,KCDW,yes,AWOS
USW00094745,WESTCHESTER CO AP,KHPN,yes,ASOS
USW00054787,FARMINGDALE REPUBLIC AP,KFRG,yes,AWOS
USW00054785,SOMERSET AP,KSMQ,yes,AWOS
USW00054779,AEROFLEX-ANDOVER AP,K12N,yes,AWOS (FAA 12N)
USW00054793,SUSSEX AP,KFWN,yes,AWOS (FAA 3N5)
USW00004781,ISLIP-LI MACARTHUR AP,KISP,yes,ASOS
USW00054734,DANBURY MUNI AP,KDXR,yes,AWOS
USW00094702,IGOR I SIKORSKY MEM AP,KBDR,yes,ASOS
USW00004789,MONTGOMERY ORANGE CO AP,KMGJ,yes,AWOS
USW00014792,TRENTON-MERCER AP,KTTN,yes,ASOS
USW00054790,SHIRLEY BROOKHAVEN AP,KHWV,yes,AWOS
USW00014757,POUGHKEEPSIE AP,KPOU,yes,ASOS
USW00014780,MCGUIRE AFB,KWRI,yes,ASOS
USW00064707,OXFORD WATERBURY,KOXC,yes,AWOS
USW00014758,NEW HAVEN TWEED AP,KHVN,yes,ASOS
USW00054786,DOYLESTOWN AP,KDYL,yes,AWOS
USW00064756,MILLBROOK 3 W,,no,COOP station (no ASOS)
USW00014719,WESTHAMPTON GABRESKI AP,KFOK,yes,ASOS
USW00094732,NE PHILA AP,KPNE,yes,ASOS
USW00093780,S JERSEY RGNL AP,KVAY,yes,AWOS
USW00054746,MONTICELLO SULLIVAN,KMSV,yes,ASOS
USW00054789,MT POCONO POCONO MOUNTAINS MUN,KMPO,yes,ASOS
USW00014737,ALLENTOWN LEHIGH VLY INTL AP,KABE,yes,ASOS
USW00013739,PHILA INTL AP,KPHL,yes,ASOS
USW00054782,HERITAGE FLD AP,,no,ICAO/ASOS not confirmed
USW00093730,ATLANTIC CITY INTL AP,KACY,yes,ASOS
USW00014777,WILKES-BARRE/SCRANTON INTL AP,KAVP,yes,ASOS
USW00013724,ATLANTIC CITY MARINA,,no,non-airport station
USW00014740,HARTFORD-BRADLEY INTL AP,KBDL,yes,ASOS
USW00014707,GROTON NEW LONDON AP,KGON,yes,ASOS
USW00014712,READING RGNL AP,KRDG,yes,ASOS
USW00054780,MONTAUK AP,KMTP,yes,AWOS
USW00014763,PITTSFIELD MUNI AP,KPSF,yes,ASOS
USW00014794,WESTERLY STATE AP,KWST,yes,ASOS
USW00054737,LANCASTER AP,KLNS,yes,ASOS
USW00054797,KINGSTON 1 W,,no,COOP station (no ASOS)
USW00014735,ALBANY INTL AP,KALB,yes,ASOS
USW00013707,DOVER AFB,KDOV,yes,ASOS
USW00054768,N ADAMS HARRIMAN AP,KAQW,yes,AWOS
USW00004725,BINGHAMTON,KBGM,yes,ASOS
USW00054781,BENNINGTON MORSE STATE AP,KDDH,yes,AWOS
USW00054756,ORANGE MUNI AP,KORE,yes,AWOS
USW00014770,SELINSGROVE PENN VALLEY AP,KSEG,yes,AWOS
USW00014750,GLENS FALLS AP,KGFL,yes,ASOS
USW00093786,OCEAN CITY MUNI AP,KOXB,yes,ASOS
USW00014739,BOSTON,KBOS,yes,ASOS
USW00014771,SYRACUSE HANCOCK INTL AP,KSYR,yes,ASOS
