station_id,station_name,icao,asos_available,notes
USW00094728,NY CITY CENTRAL PARK,KNYC,yes,core ASOS station
USW00014735,ALBANY AP,KALB,yes,core ASOS station
USW00014740,HARTFORD BRADLEY INTL AP,KBDL,yes,core ASOS station
USW00094702,BRIDGEPORT SIKORSKY MEM AP,KBDR,yes,core ASOS station
USW00014732,ISLIP-LI MACARTHUR AP,KISP,yes,core ASOS station
USW00093730,ATLANTIC CITY INTL AP,KACY,yes,core ASOS station
USW00014792,TRENTON-MERCER AP,KTTN,yes,core ASOS station
USW00013739,PHILADELPHIA INTL AP,KPHL,yes,core ASOS station
USW00014737,ALLENTOWN LEHIGH VALLEY INTL AP,KABE,yes,core ASOS station
USW00014777,WILKES-BARRE/SCRANTON INTL AP,KAVP,yes,core ASOS station
USW00014734,NEWARK LIBERTY INTL AP,KEWR,yes,core ASOS station
USW00094789,JFK INTL AP,KJFK,yes,core ASOS station
USW00014739,LAGUARDIA AP,KLGA,yes,core ASOS station
USW00014771,WESTCHESTER CO AP,KHPN,yes,core ASOS station
USW00014757,POUGHKEEPSIE AP,KPOU,yes,core ASOS station
