station_id,station_name,icao,asos_available
USW00003810,"GREENVILLE-SPARTANBURG AP, SC (140mi NE)",KGSP,yes
USW00003811,"ANNISTON METROPOLITAN AP, AL (80mi W)",KANB,yes
USW00003812,"BIRMINGHAM AP, AL (130mi W)",KBHM,yes
USW00003813,"DOBBINS AFB/MARIETTA, GA (15mi NW)",KMGE,yes
USW00003816,"BRISTOL TRI-CITY RGNL AP, TN (195mi N)",KTRI,yes
USW00003818,"GADSDEN MUNI AP, AL (100mi W)",KGAD,yes
USW00003820,"GREER/GREENVILLE DOWNTOWN AP, SC (125mi NE)",KGMU,yes
USW00003822,"SAVANNAH/HILTON HEAD AP, GA (200mi SE)",KSAV,yes
USW00003849,"TOCCOA LETOURNEAU AP, GA (75mi NE)",KTOC,yes
USW00003854,"ROME R.B. RUSSELL AP, GA (50mi NW)",KRMG,yes
USW00003856,"FULTON CO/BROWN FIELD AP, GA (10mi N)",KFTY,yes
USW00003870,"ANDERSON CO AP, SC (90mi NE)",KAND,yes
USW00013838,"ALBANY DOUGHERTY CO AP, GA (140mi S)",KABY,yes
USW00013840,"AUGUSTA DANIEL FIELD, GA (95mi E)",KDNL,yes
USW00013859,"ATHENS BEN EPPS AP, GA (50mi E)",KAHN,yes
USW00013865,"PENSACOLA RGNL AP, FL (240mi SW)",KPNS,yes
USW00013870,"MACON/ROBINS AFB, GA (95mi SE)",KWRB,yes
USW00013873,"PEACHTREE CITY FALCON FIELD, GA (20mi SW)",KFFC,yes
USW00013874,Hartsfield-Jackson Atlanta International Airport (Target),KATL,yes
USW00013876,"MACON MIDDLE GA RGNL AP, GA (75mi SE)",KMCN,yes
USW00013877,"LAGRANGE/CALLAWAY AP, GA (60mi SW)",KLGC,yes
USW00013878,"DOTHAN RGNL AP, AL (180mi S)",KDHN,yes
USW00013880,"CHARLESTON INTL AP, SC (240mi E)",KCHS,yes
USW00013881,"CHARLOTTE DOUGLAS INTL AP, NC (200mi NE)",KCLT,yes
USW00013882,"CHATTANOOGA LOVELL FIELD AP, TN (100mi NW)",KCHA,yes
USW00013883,"COLUMBIA METROPOLITAN AP, SC (150mi E)",KCAE,yes
USW00013886,"MUSCLE SHOALS RGNL AP, AL (150mi W)",KMSL,yes
USW00013889,"JACKSONVILLE INTL AP, FL (250mi SE)",KJAX,yes
USW00013891,"KNOXVILLE MCGHEE TYSON AP, TN (160mi N)",KTYS,yes
USW00013893,"TUSCALOOSA MUNI AP, AL (140mi W)",KTCL,yes
USW00013895,"MONTGOMERY DANNELLY FIELD, AL (130mi SW)",KMGM,yes
USW00013897,"NASHVILLE INTL AP, TN (210mi NW)",KBNA,yes
USW00013899,"TUPELO RGNL AP, MS (230mi W)",KTUP,yes
USW00013957,"MERIDIAN KEY FIELD, MS (200mi W)",KMEI,yes
USW00013966,"JACKSON HAWKINS FIELD, MS (220mi W)",KHKS,yes
USW00014839,"TALLAHASSEE RGNL AP, FL (230mi S)",KTLH,yes
USW00023048,"ASHEVILLE RGNL AP, NC (170mi NE)",KAVL,yes
USW00053819,"LAWRENCEVILLE/GWINNETT CO AP, GA (25mi NE)",KLZU,yes
USW00053863,"DEKALB-PEACHTREE AP, GA (12mi NE)",KPDK,yes
USW00053864,"HUNTSVILLE INTL AP, AL (165mi NW)",KHSV,yes
USW00053871,"GAINESVILLE LEE GILMER MEM AP, GA (45mi NE)",KGVL,yes
USW00093805,"COLUMBUS METROPOLITAN AP, GA (85mi SW)",KCSG,yes
USW00093842,"GRIFFIN/SPALDING CO AP, GA (35mi S)",K6A2,yes
USW00093846,"VALDOSTA RGNL AP, GA (150mi S)",KVLD,yes
