station_id,variable,non_missing,total_days,completeness_pct
USW00003810,TMAX,10274,10283,0.9991247690362735
USW00003810,TMIN,10274,10283,0.9991247690362735
USW00003811,TMAX,10234,10283,0.9952348536419333
USW00003811,TMIN,10234,10283,0.9952348536419333
USW00003812,TMAX,10282,10283,0.9999027521151415
USW00003812,TMIN,10282,10283,0.9999027521151415
USW00003813,TMAX,10268,10283,0.9985412817271224
USW00003813,TMIN,10268,10283,0.9985412817271224
USW00003816,TMAX,10283,10283,1.0
USW00003816,TMIN,10283,10283,1.0
USW00003818,TMAX,9452,10283,0.9191870076825829
USW00003818,TMIN,9452,10283,0.9191870076825829
USW00003820,TMAX,10270,10283,0.9987357774968394
USW00003820,TMIN,10270,10283,0.9987357774968394
USW00003822,TMAX,10283,10283,1.0
USW00003822,TMIN,10283,10283,1.0
USW00003849,TMAX,4968,10283,0.4831274919770495
USW00003849,TMIN,4968,10283,0.4831274919770495
USW00003854,TMAX,9137,10283,0.888553923952154
USW00003854,TMIN,9137,10283,0.888553923952154
USW00003856,TMAX,10276,10283,0.9993192648059904
USW00003856,TMIN,10276,10283,0.9993192648059904
USW00003870,TMAX,10270,10283,0.9987357774968394
USW00003870,TMIN,10270,10283,0.9987357774968394
USW00013838,TMAX,10282,10283,0.9999027521151415
USW00013838,TMIN,10282,10283,0.9999027521151415
USW00013840,TMAX,10203,10283,0.9922201692113196
USW00013840,TMIN,10203,10283,0.9922201692113196
USW00013859,TMAX,10274,10283,0.9991247690362735
USW00013859,TMIN,10274,10283,0.9991247690362735
USW00013865,TMAX,10271,10283,0.9988330253816979
USW00013865,TMIN,10271,10283,0.9988330253816979
USW00013870,TMAX,10221,10283,0.9939706311387727
USW00013870,TMIN,10221,10283,0.9939706311387727
USW00013873,TMAX,10256,10283,0.9973743071088204
USW00013873,TMIN,10256,10283,0.9973743071088204
USW00013874,TMAX,10283,10283,1.0
USW00013874,TMIN,10283,10283,1.0
USW00013876,TMAX,10279,10283,0.9996110084605659
USW00013876,TMIN,10279,10283,0.9996110084605659
USW00013877,TMAX,9053,10283,0.8803851016240397
USW00013877,TMIN,9053,10283,0.8803851016240397
USW00013878,TMAX,10281,10283,0.999805504230283
USW00013878,TMIN,10281,10283,0.999805504230283
USW00013880,TMAX,10283,10283,1.0
USW00013880,TMIN,10283,10283,1.0
USW00013881,TMAX,10283,10283,1.0
USW00013881,TMIN,10283,10283,1.0
USW00013882,TMAX,10283,10283,1.0
USW00013882,TMIN,10283,10283,1.0
USW00013883,TMAX,10283,10283,1.0
USW00013883,TMIN,10283,10283,1.0
USW00013886,TMAX,10198,10283,0.9917339297870271
USW00013886,TMIN,10198,10283,0.9917339297870271
USW00013889,TMAX,10283,10283,1.0
USW00013889,TMIN,10283,10283,1.0
USW00013891,TMAX,10283,10283,1.0
USW00013891,TMIN,10283,10283,1.0
USW00013893,TMAX,10264,10283,0.9981522901876884
USW00013893,TMIN,10264,10283,0.9981522901876884
USW00013895,TMAX,10276,10283,0.9993192648059904
USW00013895,TMIN,10276,10283,0.9993192648059904
USW00013897,TMAX,10283,10283,1.0
USW00013897,TMIN,10283,10283,1.0
USW00013899,TMAX,10281,10283,0.999805504230283
USW00013899,TMIN,10281,10283,0.999805504230283
USW00013957,TMAX,10271,10283,0.9988330253816979
USW00013957,TMIN,10271,10283,0.9988330253816979
USW00013966,TMAX,9318,10283,0.9061557911115433
USW00013966,TMIN,9318,10283,0.9061557911115433
USW00014839,TMAX,10283,10283,1.0
USW00014839,TMIN,10283,10283,1.0
USW00023048,TMAX,10281,10283,0.999805504230283
USW00023048,TMIN,10281,10283,0.999805504230283
USW00053819,TMAX,9115,10283,0.8864144704852669
USW00053819,TMIN,9115,10283,0.8864144704852669
USW00053863,TMAX,10268,10283,0.9985412817271224
USW00053863,TMIN,10268,10283,0.9985412817271224
USW00053864,TMAX,10283,10283,1.0
USW00053864,TMIN,10283,10283,1.0
USW00053871,TMAX,10212,10283,0.9930954001750462
USW00053871,TMIN,10212,10283,0.9930954001750462
USW00093805,TMAX,10254,10283,0.9971798113391034
USW00093805,TMIN,10254,10283,0.9971798113391034
USW00093842,TMAX,4857,10283,0.47233297675775554
USW00093842,TMIN,4857,10283,0.47233297675775554
USW00093846,TMAX,10279,10283,0.9996110084605659
USW00093846,TMIN,10279,10283,0.9996110084605659
