station_id,station_name,icao,asos_available
USW00003902,"ROBERT GRAY AAF, TX (61mi N)",KGRK,yes
USW00003904,"COLLEGE STN EASTERWOOD FLD, TX (83mi E)",KCLL,yes
USW00003927,"DAL-FTW WSCMO AP, TX (191mi N)",KDFW,yes
USW00003933,"FT HOOD, TX (65mi N)",KHLR,yes
USW00003969,"STEPHENVILLE CLARK FLD, TX (143mi N)",KSEP,yes
USW00012906,"HOUSTON ELLINGTON AFB, TX (155mi E)",KEFD,yes
USW00012909,"SAN ANTONIO KELLY AFB, TX (78mi SW)",KSKF,yes
USW00012911,"RANDOLPH AFB, TX (58mi SW)",KRND,yes
USW00012912,"VICTORIA RGNL AP, TX (102mi SE)",KVCT,yes
USW00012918,"HOUSTON WILLIAM P HOBBY AP, TX (148mi E)",KHOU,yes
USW00012921,"SAN ANTONIO INTL AP, TX (66mi SW)",KSAT,yes
USW00012923,"GALVESTON SCHOLES FLD, TX (180mi E)",KGLS,yes
USW00012924,"CORPUS CHRISTI, TX (167mi S)",KCRP,yes
USW00012926,"CORPUS CHRISTI NAS, TX (175mi S)",KNGP,yes
USW00012928,"KINGSVILLE NAAS, TX (186mi S)",KNQI,yes
USW00012932,"ALICE INTL AP, TX (171mi S)",KALI,yes
USW00012935,"PALACIOS MUNI AP, TX (133mi SE)",KPSX,yes
USW00012947,"COTULLA LA SALLE CO AP, TX (152mi SW)",KCOT,yes
USW00012960,"HOUSTON INTERCONTINENTAL AP, TX (139mi E)",KIAH,yes
USW00012962,"HONDO MUNI AP, TX (107mi SW)",KHDO,yes
USW00013904,Austin-Bergstrom International Airport (Target),KAUS,yes
USW00013911,"FT WORTH NAS, TX (178mi N)",KNFW,yes
USW00013928,"WACO J CONNALLY AFB, TX (106mi N)",KCNW,yes
USW00013958,"AUSTIN-CAMP MABRY, TX (10mi NW)",KATT,yes
USW00013959,"WACO RGNL AP, TX (102mi N)",KACT,yes
USW00013960,"DALLAS FAA AP, TX (189mi N)",KDAL,yes
USW00013961,"FT WORTH MEACHAM FLD, TX (183mi N)",KFTW,yes
USW00013962,"ABILENE RGNL AP, TX (194mi NW)",KABI,yes
USW00013973,"JUNCTION KIMBLE CO AP, TX (127mi W)",KJCT,yes
USW00022001,"DEL RIO LAUGHLIN AFB, TX (195mi W)",KDLF,yes
USW00023034,"SAN ANGELO, TX (186mi NW)",KSJT,yes
USW00093904,"FT WORTH MEACHAM FLD NAAF, TX (182mi N)",KFTW,yes
USW00093914,"PALESTINE 2 NE, TX (164mi NE)",KPSN,yes
USW00093985,"MINERAL WELLS AP, TX (180mi N)",KMWL,yes
USW00093987,"LUFKIN ANGELINA CO AP, TX (188mi NE)",KLFK,yes
