station_id,variable,non_missing,total_days,completeness_pct
USW00003902,TMAX,9855,9859,0.9995942793386753
USW00003902,TMIN,9855,9859,0.9995942793386753
USW00003904,TMAX,9859,9859,1.0
USW00003904,TMIN,9859,9859,1.0
USW00003927,TMAX,9859,9859,1.0
USW00003927,TMIN,9859,9859,1.0
USW00003933,TMAX,9114,9859,0.9244345268282788
USW00003933,TMIN,9114,9859,0.9244345268282788
USW00003969,TMAX,7928,9859,0.8041383507455118
USW00003969,TMIN,7928,9859,0.8041383507455118
USW00012906,TMAX,9766,9859,0.9905669946242013
USW00012906,TMIN,9766,9859,0.9905669946242013
USW00012909,TMAX,9833,9859,0.9973628157013896
USW00012909,TMIN,9833,9859,0.9973628157013896
USW00012911,TMAX,9808,9859,0.9948270615681104
USW00012911,TMIN,9808,9859,0.9948270615681104
USW00012912,TMAX,9857,9859,0.9997971396693377
USW00012912,TMIN,9857,9859,0.9997971396693377
USW00012918,TMAX,9859,9859,1.0
USW00012918,TMIN,9859,9859,1.0
USW00012921,TMAX,9859,9859,1.0
USW00012921,TMIN,9859,9859,1.0
USW00012923,TMAX,9756,9859,0.9895526929708895
USW00012923,TMIN,9756,9859,0.9895526929708895
USW00012924,TMAX,9859,9859,1.0
USW00012924,TMIN,9859,9859,1.0
USW00012926,TMAX,9768,9859,0.9907698549548636
USW00012926,TMIN,9768,9859,0.9907698549548636
USW00012928,TMAX,9559,9859,0.9695709504006491
USW00012928,TMIN,9559,9859,0.9695709504006491
USW00012932,TMAX,9599,9859,0.9736281570138959
USW00012932,TMIN,9599,9859,0.9736281570138959
USW00012935,TMAX,9835,9859,0.9975656760320519
USW00012935,TMIN,9835,9859,0.9975656760320519
USW00012947,TMAX,9824,9859,0.996449944213409
USW00012947,TMIN,9824,9859,0.996449944213409
USW00012960,TMAX,9859,9859,1.0
USW00012960,TMIN,9859,9859,1.0
USW00012962,TMAX,9815,9859,0.9955370727254286
USW00012962,TMIN,9815,9859,0.9955370727254286
USW00013904,TMAX,9741,9859,0.988031240490922
USW00013904,TMIN,9741,9859,0.988031240490922
USW00013911,TMAX,9789,9859,0.9928998884268181
USW00013911,TMIN,9789,9859,0.9928998884268181
USW00013928,TMAX,5924,9859,0.600872299421848
USW00013928,TMIN,5924,9859,0.600872299421848
USW00013958,TMAX,9833,9859,0.9973628157013896
USW00013958,TMIN,9833,9859,0.9973628157013896
USW00013959,TMAX,9856,9859,0.9996957095040065
USW00013959,TMIN,9856,9859,0.9996957095040065
USW00013960,TMAX,9859,9859,1.0
USW00013960,TMIN,9859,9859,1.0
USW00013961,TMAX,9830,9859,0.9970585252053961
USW00013961,TMIN,9830,9859,0.9970585252053961
USW00013962,TMAX,9859,9859,1.0
USW00013962,TMIN,9859,9859,1.0
USW00013973,TMAX,9847,9859,0.998782838016026
USW00013973,TMIN,9847,9859,0.998782838016026
USW00022001,TMAX,9456,9859,0.9591236433715387
USW00022001,TMIN,9456,9859,0.9591236433715387
USW00023034,TMAX,9858,9859,0.9998985698346688
USW00023034,TMIN,9858,9859,0.9998985698346688
USW00093904,TMAX,9830,9859,0.9970585252053961
USW00093904,TMIN,9830,9859,0.9970585252053961
USW00093914,TMAX,7623,9859,0.773202150319505
USW00093914,TMIN,7623,9859,0.773202150319505
USW00093985,TMAX,9833,9859,0.9973628157013896
USW00093985,TMIN,9833,9859,0.9973628157013896
USW00093987,TMAX,9851,9859,0.9991885586773507
USW00093987,TMIN,9851,9859,0.9991885586773507
