date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
1985-06-01,,,,0.0,,
1985-06-02,,,,0.0,,
1985-06-03,,,,0.0,,
1985-06-04,,,,0.0,,
1985-06-05,,,,0.0,,
1985-06-06,,,,0.0,,
1985-06-07,,,,0.0,,
1985-06-08,,0.0,0.0,0.0,93.91999999999999,71.96
1985-06-09,,0.0,0.0,0.0,96.08000000000001,71.96
1985-06-10,,0.0,0.0,0.0,96.08000000000001,71.96
1985-06-11,,0.0,0.0,0.0,95.0,75.02
1985-06-12,,0.0,0.0,0.0,96.08000000000001,73.04
1985-06-13,,0.0,0.0,0.0,87.08000000000001,69.08
1985-06-14,,0.0,0.0,0.0,86.0,64.94
1985-06-15,,0.0,0.0,0.0,93.02,69.08
1985-06-16,,0.0,0.0,0.0,95.0,71.06
1985-06-17,,0.0,0.0,0.0,96.98,75.02
1985-06-18,,0.0,0.0,0.0,96.08000000000001,75.02
1985-06-19,,2.12992125984252,0.0,0.0,93.02,69.98
1985-06-20,,0.0,0.0,0.0,86.0,69.98
1985-06-21,,0.0,0.0,0.0,87.98,71.96
1985-06-22,,5.25984251968504,0.0,0.0,86.0,71.96
1985-06-23,,0.11023622047244094,0.0,0.0,82.04,73.04
1985-06-24,,0.07086614173228346,0.0,0.0,91.03999999999999,75.02
1985-06-25,,0.14960629921259844,0.0,0.0,89.96000000000001,75.02
1985-06-26,,0.0,0.0,0.0,91.03999999999999,73.04
1985-06-27,,0.0,0.0,0.0,91.94,75.02
1985-06-28,,0.0,0.0,0.0,89.96000000000001,71.96
1985-06-29,,0.0,0.0,0.0,91.03999999999999,60.08
1985-06-30,,0.0,0.0,0.0,91.94,60.980000000000004
1985-07-01,,0.0,0.0,0.0,91.94,66.92
1985-07-02,,0.0,0.0,0.0,91.94,69.98
1985-07-03,,0.0,0.0,0.0,93.02,71.06
1985-07-04,,1.9015748031496063,0.0,0.0,84.91999999999999,68.0
1985-07-05,,0.1889763779527559,0.0,0.0,71.96,69.98
1985-07-06,,0.0,0.0,0.0,89.06,68.0
1985-07-07,,0.16929133858267717,0.0,0.0,93.91999999999999,69.98
1985-07-08,,0.0,0.0,0.0,93.91999999999999,69.98
1985-07-09,,0.4488188976377953,0.0,0.0,91.03999999999999,71.96
1985-07-10,,0.0,0.0,0.0,93.02,75.92
1985-07-11,,0.0,0.0,0.0,93.91999999999999,73.04
1985-07-12,,1.4015748031496065,0.0,0.0,91.94,69.08
1985-07-13,,0.0,0.0,0.0,91.03999999999999,71.96
1985-07-14,,0.0,0.0,0.0,93.02,73.94
1985-07-15,,0.0,0.0,0.0,91.94,73.94
1985-07-16,,0.0,0.0,0.0,93.91999999999999,73.04
1985-07-17,,0.0,0.0,0.0,96.08000000000001,73.04
1985-07-18,,0.0,0.0,0.0,96.08000000000001,73.04
1985-07-19,,0.0,0.0,0.0,96.08000000000001,73.94
1985-07-20,,0.0905511811023622,0.0,0.0,93.02,73.94
1985-07-21,,0.0,0.0,0.0,93.91999999999999,73.94
1985-07-22,,0.0,0.0,0.0,95.0,73.94
1985-07-23,,0.0,0.0,0.0,96.98,75.02
1985-07-24,,0.0,0.0,0.0,96.08000000000001,75.92
1985-07-25,,0.0,0.0,0.0,96.98,75.92
1985-07-26,,0.0,0.0,0.0,98.96000000000001,75.92
1985-07-27,,0.0,0.0,0.0,96.98,73.04
1985-07-28,,0.0,0.0,0.0,98.06,73.04
1985-07-29,,0.0,0.0,0.0,98.96000000000001,73.04
1985-07-30,,0.0,0.0,0.0,98.96000000000001,75.02
1985-07-31,,0.0,0.0,0.0,98.06,75.92
1985-08-01,,0.0,0.0,0.0,96.98,75.02
1985-08-02,,0.0,0.0,0.0,98.06,73.04
1985-08-03,,0.0,0.0,0.0,98.96000000000001,73.94
1985-08-04,,0.0,0.0,0.0,100.03999999999999,73.04
1985-08-05,,0.0,0.0,0.0,98.96000000000001,73.04
1985-08-06,,0.0,0.0,0.0,100.03999999999999,73.94
1985-08-07,,0.0,0.0,0.0,100.94,73.94
1985-08-08,,0.0,0.0,0.0,100.03999999999999,75.02
1985-08-09,,0.0,0.0,0.0,100.03999999999999,77.0
1985-08-10,,0.0,0.0,0.0,100.03999999999999,75.02
1985-08-11,,0.0,0.0,0.0,100.03999999999999,73.04
1985-08-12,,0.0,0.0,0.0,98.96000000000001,73.94
1985-08-13,,0.0,0.0,0.0,98.06,75.92
1985-08-14,,0.0,0.0,0.0,96.98,73.94
1985-08-15,,0.0,0.0,0.0,96.98,73.94
1985-08-16,,0.0,0.0,0.0,98.96000000000001,75.92
1985-08-17,,0.0,0.0,0.0,100.94,73.04
1985-08-18,,0.0,0.0,0.0,102.02,73.94
1985-08-19,,0.0,0.0,0.0,102.02,73.94
1985-08-20,,0.0,0.0,0.0,100.94,75.02
1985-08-21,,0.0,0.0,0.0,100.03999999999999,75.02
1985-08-22,,0.0,0.0,0.0,98.06,75.02
1985-08-23,,0.0,0.0,0.0,100.03999999999999,75.02
1985-08-24,,0.0,0.0,0.0,100.03999999999999,75.92
1985-08-25,,0.03937007874015748,0.0,0.0,98.96000000000001,71.96
1985-08-26,,0.0,0.0,0.0,98.06,71.06
1985-08-27,,0.0,0.0,0.0,100.94,73.04
1985-08-28,,0.0,0.0,0.0,93.91999999999999,71.96
1985-08-29,,0.0,0.0,0.0,95.0,69.98
1985-08-30,,0.01968503937007874,0.0,0.0,91.03999999999999,69.08
1985-08-31,,0.0,0.0,0.0,96.08000000000001,69.08
1985-09-01,,0.0,0.0,0.0,100.03999999999999,73.04
1985-09-02,,0.0,0.0,0.0,102.02,73.94
1985-09-03,,0.0,0.0,0.0,104.0,75.92
1985-09-04,,0.0,0.0,0.0,102.02,73.04
1985-09-05,,0.0,0.0,0.0,98.96000000000001,73.94
1985-09-06,,0.2795275590551181,0.0,0.0,96.98,71.06
1985-09-07,,0.0,0.0,0.0,96.08000000000001,71.96
1985-09-08,,0.0,0.0,0.0,98.06,73.94
1985-09-09,,0.0,0.0,0.0,98.96000000000001,73.94
1985-09-10,,0.0,0.0,0.0,96.98,73.94
1985-09-11,,0.421259842519685,0.0,0.0,93.91999999999999,73.04
1985-09-12,,0.48031496062992124,0.0,0.0,80.06,71.06
1985-09-13,,0.5196850393700787,0.0,0.0,86.0,69.98
1985-09-14,,0.421259842519685,0.0,0.0,82.94,71.96
1985-09-15,,0.2992125984251969,0.0,0.0,89.96000000000001,69.98
1985-09-16,,0.0,0.0,0.0,91.94,69.08
1985-09-17,,0.0,0.0,0.0,87.98,64.94
1985-09-18,,0.0,0.0,0.0,91.94,69.08
1985-09-19,,0.0,0.0,0.0,91.94,71.06
1985-09-20,,0.0,0.0,0.0,91.03999999999999,71.06
1985-09-21,,0.0,0.0,0.0,91.03999999999999,69.98
1985-09-22,,0.0,0.0,0.0,91.03999999999999,68.0
1985-09-23,,0.0,0.0,0.0,91.94,66.02
1985-09-24,,0.0,0.0,0.0,91.03999999999999,64.94
1985-09-25,,0.0,0.0,0.0,87.98,66.02
1985-09-26,,0.0,0.0,0.0,93.91999999999999,62.959999999999994
1985-09-27,,0.0,0.0,0.0,82.94,53.06
1985-09-28,,0.0,0.0,0.0,86.0,53.96
1985-09-29,,0.3897637795275591,0.0,0.0,78.08,
1985-09-30,,1.7007874015748035,0.0,0.0,71.06,51.08
1985-10-01,,0.0,0.0,0.0,68.0,50.0
1985-10-02,,0.0,0.0,0.0,73.04,51.08
1985-10-03,,0.0,0.0,0.0,78.08,53.96
1985-10-04,,0.0,0.0,0.0,84.02,55.04
1985-10-05,,0.0,0.0,0.0,82.04,55.94
1985-10-06,,0.0,0.0,0.0,78.08,44.96
1985-10-07,,0.0,0.0,0.0,86.0,
1985-10-08,,0.0,0.0,0.0,87.08000000000001,66.92
1985-10-09,,0.0,0.0,0.0,87.08000000000001,66.02
1985-10-10,,0.05118110236220473,0.0,0.0,87.98,71.06
1985-10-11,,0.0,0.0,0.0,89.06,73.04
1985-10-12,,0.0,0.0,0.0,89.96000000000001,71.06
1985-10-13,,0.0,0.0,0.0,87.98,71.96
1985-10-14,,0.0,0.0,0.0,91.03999999999999,73.04
1985-10-15,,1.7007874015748035,0.0,0.0,89.06,66.92
1985-10-16,,0.0,0.0,0.0,71.06,64.94
1985-10-17,,0.0,0.0,0.0,77.0,64.94
1985-10-18,,0.05905511811023623,0.0,0.0,86.0,69.08
1985-10-19,,0.48031496062992124,0.0,0.0,89.06,68.0
1985-10-20,,0.4881889763779528,0.0,0.0,68.0,66.02
1985-10-21,,0.0,0.0,0.0,75.92,66.92
1985-10-22,,0.4881889763779528,0.0,0.0,69.98,66.92
1985-10-23,,0.0,0.0,0.0,78.98,64.04
1985-10-24,,0.0,0.0,0.0,82.94,64.94
1985-10-25,,0.0,0.0,0.0,87.08000000000001,66.02
1985-10-26,,0.0,0.0,0.0,84.91999999999999,66.92
1985-10-27,,0.0,0.0,0.0,82.04,60.980000000000004
1985-10-28,,0.0,0.0,0.0,82.04,62.959999999999994
1985-10-29,,0.0,0.0,0.0,73.94,64.04
1985-10-30,,0.0,0.0,0.0,69.98,60.08
1985-10-31,,0.0,0.0,0.0,71.96,53.06
1985-11-01,,0.0,0.0,0.0,77.0,48.92
1985-11-02,,0.610236220472441,0.0,0.0,73.94,51.08
1985-11-03,,0.46062992125984253,0.0,0.0,69.98,42.08
1985-11-04,,0.0,0.0,0.0,73.04,46.04
1985-11-05,,0.0,0.0,0.0,75.02,44.96
1985-11-06,,0.0,0.0,0.0,77.0,48.02
1985-11-07,,0.0,0.0,0.0,78.08,51.08
1985-11-08,,0.0,0.0,0.0,73.04,51.08
1985-11-09,,0.0,0.0,0.0,78.98,55.04
1985-11-10,,0.0,0.0,0.0,82.94,59.0
1985-11-11,,0.14960629921259844,0.0,0.0,73.94,57.02
1985-11-12,,0.0905511811023622,0.0,0.0,71.96,55.94
1985-11-13,,0.0,0.0,0.0,82.04,69.98
1985-11-14,,0.0,0.0,0.0,82.94,68.0
1985-11-15,,0.03937007874015748,0.0,0.0,80.96,69.08
1985-11-16,,0.14960629921259844,0.0,0.0,71.06,51.08
1985-11-17,,0.0,0.0,0.0,69.98,51.98
1985-11-18,,0.11811023622047245,0.0,0.0,73.04,53.06
1985-11-19,,0.05905511811023623,0.0,0.0,80.06,71.06
1985-11-20,,0.0,0.0,0.0,78.98,44.06
1985-11-21,,0.01968503937007874,0.0,0.0,48.02,44.06
1985-11-22,,0.0,0.0,0.0,59.0,44.96
1985-11-23,,0.03149606299212599,0.0,0.0,66.02,59.0
1985-11-24,,9.070866141732283,0.0,0.0,73.94,
