date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
1998-03-26,,,,,75.02,51.98
1998-03-27,,,,,75.92,57.92
1998-03-28,,,,,64.04,44.96
1998-03-29,,,,,71.96,39.92
1998-03-30,,,,,73.04,39.02
1998-03-31,,,,,51.98,37.94
1998-04-01,8.947744,0.01968503937007874,,,48.02,37.04
1998-04-02,7.6055824,0.0,,,46.04,37.94
1998-04-03,14.540084,0.0,,,41.0,35.96
1998-04-04,11.6320672,0.0,,,46.94,35.06
1998-04-05,1.3421616,0.0,,,46.04,30.02
1998-04-06,2.6843232,0.0,,,44.96,26.96
1998-04-07,12.303148,0.42913385826771655,,,51.98,41.0
1998-04-08,11.6320672,0.3700787401574803,,,42.980000000000004,39.92
1998-04-09,19.685036800000002,1.3307086614173227,,,41.0,37.04
1998-04-10,0.0,0.0,,,48.02,33.98
1998-04-11,0.0,0.0,,,57.92,35.06
1998-04-12,10.289905599999999,0.0,,,60.08,48.02
1998-04-13,11.8557608,0.20078740157480315,,,57.92,46.94
1998-04-14,8.5003568,0.05905511811023623,,,62.059999999999995,44.06
1998-04-15,13.197922400000001,1.4015748031496065,,,44.96,39.02
1998-04-16,14.0926968,0.0984251968503937,,,39.92,35.06
1998-04-17,9.3951312,0.0,,,53.96,32.0
1998-04-18,7.829276,0.0,,,60.08,39.92
1998-04-19,3.8027912,0.0,,,57.92,37.04
1998-04-20,6.039727200000001,0.3503937007874016,,,53.96,37.04
1998-04-21,8.2766632,0.16141732283464566,,,51.98,42.08
1998-04-22,9.171437599999999,0.0,,,57.92,41.0
1998-04-23,6.039727200000001,0.0,,,66.92,42.980000000000004
1998-04-24,10.066212,0.0,,,62.959999999999994,44.96
1998-04-25,10.289905599999999,0.03937007874015748,,,55.94,41.0
1998-04-26,16.3296328,0.27165354330708663,,,48.02,37.94
1998-04-27,11.6320672,0.0,,,46.94,35.96
1998-04-28,6.039727200000001,0.0,,,51.98,33.08
1998-04-29,4.921259200000001,0.0,,,51.08,44.06
1998-04-30,6.2634208,0.2204724409448819,,,50.0,44.96
1998-05-01,9.171437599999999,0.3897637795275591,,,53.06,44.96
1998-05-02,7.6055824,0.01968503937007874,,,59.0,44.06
1998-05-03,12.7505352,0.03937007874015748,,,55.94,44.06
1998-05-04,7.6055824,0.0,,,64.94,44.06
1998-05-05,6.710808,0.11811023622047245,,,69.08,51.08
1998-05-06,4.921259200000001,0.011811023622047244,,,68.0,48.92
1998-05-07,11.8557608,0.0,,0.0,57.92,48.02
1998-05-08,18.566568800000002,0.07086614173228346,,,55.94,46.04
1998-05-09,14.9874712,0.0,,,57.02,44.96
1998-05-10,12.7505352,0.0,,,59.0,44.96
1998-05-11,5.8160336,0.0,,,64.94,46.04
1998-05-12,8.7240504,0.531496062992126,,,69.08,44.96
1998-05-13,6.9345016,0.0,,0.0,68.0,51.98
1998-05-14,6.9345016,0.0,,,71.96,50.0
1998-05-15,10.7372928,0.0,,0.0,78.08,57.92
1998-05-16,14.9874712,0.0,,,78.98,62.959999999999994
1998-05-17,8.7240504,0.0,,,78.08,51.08
1998-05-18,11.6320672,0.0,,,87.98,64.94
1998-05-19,7.6055824,0.2519685039370079,,,84.91999999999999,60.980000000000004
1998-05-20,6.4871144,0.0,,,68.0,51.08
1998-05-21,10.289905599999999,0.0,,,60.980000000000004,48.02
1998-05-22,12.079454400000001,0.01968503937007874,,,57.02,46.94
1998-05-23,12.5268416,0.0,,,60.980000000000004,50.0
1998-05-24,9.6188248,0.11811023622047245,,,57.92,50.0
1998-05-28,,0.38188976377952755,,0.0,,
1998-05-29,9.842518400000001,0.03149606299212599,,,80.96,53.06
1998-05-30,7.3818888,0.0,,,64.94,51.98
1998-05-31,7.158195200000001,0.0,,0.0,78.08,50.0
1998-06-01,9.3951312,0.011811023622047244,,,66.92,48.92
1998-06-02,9.842518400000001,0.0,,,69.08,46.04
1998-06-03,7.158195200000001,0.0,,,59.0,44.96
1998-06-04,6.9345016,0.0,,,62.059999999999995,44.06
1998-06-05,7.158195200000001,0.03937007874015748,,,53.96,41.0
1998-06-06,6.710808,0.0,,,57.92,42.08
1998-06-07,6.710808,0.0,,,62.059999999999995,44.06
1998-06-08,6.9345016,0.0,,,66.02,42.980000000000004
1998-06-09,10.5135992,0.6299212598425197,,,57.02,53.96
1998-06-10,5.59234,0.0,,,64.94,51.08
1998-06-11,,0.20078740157480315,,,,
1998-06-12,,0.0,,0.0,,
1998-06-13,6.039727200000001,0.0,,,75.02,57.92
1998-06-14,6.9345016,0.0,,,69.08,55.94
1998-06-15,6.9345016,0.0,,,73.94,57.02
1998-06-16,7.6055824,0.0,,,71.96,57.92
1998-06-17,6.039727200000001,0.0,,,78.08,59.0
1998-06-18,9.3951312,0.38188976377952755,,,78.98,62.059999999999995
1998-06-19,10.289905599999999,0.0,,,78.08,60.980000000000004
1998-06-20,7.6055824,0.0,,,82.04,62.959999999999994
1998-06-21,6.039727200000001,0.0,,,82.04,69.08
1998-06-22,5.3686464,0.0,,,82.04,60.08
1998-06-23,5.1449527999999995,0.0,,,80.06,60.08
1998-06-24,9.6188248,0.0,,,93.91999999999999,66.02
1998-06-26,8.0529696,0.0,,,89.96000000000001,66.02
1998-06-27,8.947744,0.48031496062992124,,,87.08000000000001,64.94
1998-06-28,8.947744,0.6614173228346457,,,86.0,66.02
1998-06-29,8.2766632,0.07874015748031496,,,84.91999999999999,66.02
1998-06-30,8.2766632,0.0,,,78.98,60.980000000000004
1998-07-01,6.039727200000001,0.0,,,75.02,60.08
1998-07-02,7.6055824,0.0,,,84.02,60.08
1998-07-03,7.6055824,0.531496062992126,,,82.04,69.08
1998-07-04,14.316390400000001,0.0,,,69.98,62.959999999999994
1998-07-05,8.5003568,0.0,,,71.96,64.04
1998-07-06,8.7240504,0.11811023622047245,,,82.94,64.94
1998-07-07,9.171437599999999,0.05905511811023623,,,69.08,64.04
1998-07-08,4.921259200000001,0.0,,,75.02,62.959999999999994
1998-07-09,4.2501784,0.0,,,75.92,62.059999999999995
1998-07-10,9.3951312,0.0,,,73.04,60.980000000000004
1998-07-11,5.8160336,0.0,,,77.0,55.04
1998-07-12,6.039727200000001,0.0,,,80.06,57.92
1998-07-13,6.4871144,0.0,,,82.94,62.059999999999995
