total_expected_days,actual_rows,tmax_count,tmin_count,tmax_completeness,tmin_completeness,first_date,last_date,station_id,description,status
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00094728,"Central Park, NYC (Target)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00014735,"Albany, NY (Albany Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00014740,"Hartford, CT (Bradley International Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00094702,"Bridgeport, CT (Sikorsky Memorial Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00014732,"Islip, NY (Long Island MacArthur Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00093730,"Atlantic City, NJ (Atlantic City International Airport)",OK
14610,9793,9793,9793,0.6702943189596167,0.6702943189596167,1998-03-11,2024-12-31,USW00014792,"Trenton, NJ (Trenton-Mercer Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00013739,"Philadelphia, PA (Philadelphia International Airport)",OK
14610,14610,14609,14609,0.9999315537303217,0.9999315537303217,1985-01-01,2024-12-31,USW00014737,"Allentown, PA (Lehigh Valley International Airport)",OK
14610,14603,14602,14594,0.9994524298425735,0.9989048596851472,1985-01-01,2024-12-31,USW00014777,"Scranton, PA (Wilkes-Barre/Scranton International Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00014734,"Newark, NJ (Newark Liberty International Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00094789,"JFK Airport, NY (John F. Kennedy International Airport)",OK
14610,14610,14610,14610,1.0,1.0,1985-01-01,2024-12-31,USW00014739,"LaGuardia Airport, NY",OK
14610,14610,14608,14608,0.9998631074606434,0.9998631074606434,1985-01-01,2024-12-31,USW00014771,"White Plains, NY (Westchester County Airport)",OK
14610,12095,12085,12090,0.8271731690622861,0.8275154004106776,1985-01-01,2024-12-31,USW00014757,"Poughkeepsie, NY (Dutchess County Airport)",OK
14610,14543,14542,14541,0.9953456536618754,0.9952772073921972,1985-01-01,2024-12-31,USW00094741,"TETERBORO AP, NJ (7mi NW)",OK
14610,9300,9297,9299,0.6363449691991786,0.6364818617385353,1999-06-01,2024-12-31,USW00054743,"CALDWELL ESSEX CO AP, NJ (18mi W)",OK
14610,14502,14363,13999,0.9830937713894593,0.9581793292265571,1985-01-01,2024-12-31,USW00094745,"WESTCHESTER CO AP, NY (24mi NE)",OK
14610,9201,9200,9199,0.6297056810403833,0.629637234770705,1999-08-03,2024-12-31,USW00054787,"FARMINGDALE REPUBLIC AP, NY (29mi E)",OK
14610,9127,9127,9123,0.6247091033538672,0.624435318275154,1999-06-01,2024-12-31,USW00054785,"SOMERSET AP, NJ (38mi W)",OK
14610,9111,9107,9108,0.6233401779603012,0.6234086242299794,1998-08-14,2024-12-31,USW00054779,"AEROFLEX-ANDOVER AP, NJ (43mi W)",OK
14610,8731,8729,8727,0.5974674880219029,0.5973305954825462,2000-10-01,2024-12-31,USW00054793,"SUSSEX AP, NJ (45mi NW)",OK
