date,ticker,bucket,threshold_low,threshold_high,direction,market_prob,actual_outcome,bid_price,ask_price,volume,actual_tmax
2025-01-01,KXHIGHNY-25JAN01-B25,Below 25F,,25.0,below,0.10788623151357352,0,0.08059905726824611,0.13517340575890094,162,27.986509268644667
2025-01-01,KXHIGHNY-25JAN01-T25to34,25-34F,25.0,35.0,between,0.6806898530836935,1,0.6569931251482826,0.7043865810191043,199,27.986509268644667
2025-01-01,KXHIGHNY-25JAN01-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.04366609564319596,64,27.986509268644667
2025-01-01,KXHIGHNY-25JAN01-T45to54,45-54F,45.0,55.0,between,0.07271291348118644,0,0.04775561459625088,0.097670212366122,46,27.986509268644667
2025-01-01,KXHIGHNY-25JAN01-T55to64,55-64F,55.0,65.0,between,0.10391118323134636,0,0.07764137569173742,0.1301809907709553,53,27.986509268644667
2025-01-01,KXHIGHNY-25JAN01-T65to74,65-74F,65.0,75.0,between,0.23841269060884407,0,0.20620449194943336,0.2706208892682548,41,27.986509268644667
2025-01-01,KXHIGHNY-25JAN01-A75,Above 75F,75.0,,above,0.02,0,0.01,0.049171871968263114,55,27.986509268644667
2025-01-02,KXHIGHNY-25JAN02-B25,Below 25F,,25.0,below,0.02,0,0.01,0.05101205291798326,52,37.84555065222773
2025-01-02,KXHIGHNY-25JAN02-T25to34,25-34F,25.0,35.0,between,0.48015041427922445,0,0.45778822797689306,0.5025126005815559,213,37.84555065222773
2025-01-02,KXHIGHNY-25JAN02-T35to44,35-44F,35.0,45.0,between,0.39269207510208787,1,0.3690910156912502,0.41629313451292554,170,37.84555065222773
2025-01-02,KXHIGHNY-25JAN02-T45to54,45-54F,45.0,55.0,between,0.19422408447174272,0,0.16742061763126692,0.22102755131221852,49,37.84555065222773
2025-01-02,KXHIGHNY-25JAN02-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.053537514566241534,60,37.84555065222773
2025-01-02,KXHIGHNY-25JAN02-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.053386241224333525,62,37.84555065222773
2025-01-02,KXHIGHNY-25JAN02-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04639514345030279,53,37.84555065222773
2025-01-03,KXHIGHNY-25JAN03-B25,Below 25F,,25.0,below,0.02,0,0.01,0.05462943622183333,47,39.90132860884607
2025-01-03,KXHIGHNY-25JAN03-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.0458770132666558,47,39.90132860884607
2025-01-03,KXHIGHNY-25JAN03-T35to44,35-44F,35.0,45.0,between,0.8577728685510738,1,0.8327858386843798,0.8827598984177678,93,39.90132860884607
2025-01-03,KXHIGHNY-25JAN03-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.04601368695339396,82,39.90132860884607
2025-01-03,KXHIGHNY-25JAN03-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.04674519178698143,51,39.90132860884607
2025-01-03,KXHIGHNY-25JAN03-T65to74,65-74F,65.0,75.0,between,0.08554104626607273,0,0.05193525571197746,0.119146836820168,47,39.90132860884607
2025-01-03,KXHIGHNY-25JAN03-A75,Above 75F,75.0,,above,0.02372256563127831,0,0.01,0.05566444267606744,45,39.90132860884607
2025-01-04,KXHIGHNY-25JAN04-B25,Below 25F,,25.0,below,0.42429258521865837,0,0.3973807659712623,0.4512044044660544,226,29.203732981685835
2025-01-04,KXHIGHNY-25JAN04-T25to34,25-34F,25.0,35.0,between,0.5531425949378186,1,0.5333227061990348,0.5729624836766024,217,29.203732981685835
