date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc,result,actual_outcome
2026-05-03,KXHIGHNY-26MAY03-T66,Above 67F,67.0,,above,greater,0.025,2.0,3.0,521.79,4223.88,2026-05-03 05:00:00 UTC,no,0
2026-05-03,KXHIGHNY-26MAY03-T59,Below 58F,,58.0,below,less,0.145,14.000000000000002,15.0,496.16,3646.64,2026-05-03 05:00:00 UTC,no,0
2026-05-03,KXHIGHNY-26MAY03-B65.5,65-66F,65.0,66.0,between,between,0.025,2.0,3.0,372.64,2380.0,2026-05-03 05:00:00 UTC,no,0
2026-05-03,KXHIGHNY-26MAY03-B63.5,63-64F,63.0,64.0,between,between,0.04,3.0,5.0,263.81,2044.41,2026-05-03 05:00:00 UTC,no,0
2026-05-03,KXHIGHNY-26MAY03-B61.5,61-62F,61.0,62.0,between,between,0.285,27.0,30.0,810.23,3705.17,2026-05-03 05:00:00 UTC,no,0
2026-05-03,KXHIGHNY-26MAY03-B59.5,59-60F,59.0,60.0,between,between,0.495,49.0,50.0,273.57,4385.38,2026-05-03 05:00:00 UTC,yes,1
2026-05-04,KXHIGHNY-26MAY04-T77,Above 78F,78.0,,above,greater,0.025,2.0,3.0,7.0,2147.73,2026-05-04 05:00:00 UTC,no,0
2026-05-04,KXHIGHNY-26MAY04-T70,Below 69F,,69.0,below,less,0.035,3.0,4.0,3707.0,7466.45,2026-05-04 05:00:00 UTC,no,0
2026-05-04,KXHIGHNY-26MAY04-B76.5,76-77F,76.0,77.0,between,between,0.025,2.0,3.0,250.0,1236.94,2026-05-04 05:00:00 UTC,no,0
2026-05-04,KXHIGHNY-26MAY04-B74.5,74-75F,74.0,75.0,between,between,0.185,18.0,19.0,464.52,5151.26,2026-05-04 05:00:00 UTC,no,0
2026-05-04,KXHIGHNY-26MAY04-B72.5,72-73F,72.0,73.0,between,between,0.57,55.00000000000001,59.0,1271.56,4951.2,2026-05-04 05:00:00 UTC,yes,1
2026-05-04,KXHIGHNY-26MAY04-B70.5,70-71F,70.0,71.0,between,between,0.205,20.0,21.0,6.86,2967.53,2026-05-04 05:00:00 UTC,no,0
2026-05-05,KXHIGHNY-26MAY05-T84,Above 85F,85.0,,above,greater,0.105,10.0,11.0,194.03,3059.56,2026-05-05 05:00:00 UTC,no,0
2026-05-05,KXHIGHNY-26MAY05-T77,Below 76F,,76.0,below,less,0.005,0.0,1.0,160.5,5239.79,2026-05-05 05:00:00 UTC,no,0
2026-05-05,KXHIGHNY-26MAY05-B83.5,83-84F,83.0,84.0,between,between,0.35,33.0,37.0,170.84,4753.21,2026-05-05 05:00:00 UTC,no,0
2026-05-05,KXHIGHNY-26MAY05-B81.5,81-82F,81.0,82.0,between,between,0.485,47.0,50.0,1431.61,5974.99,2026-05-05 05:00:00 UTC,yes,1
2026-05-05,KXHIGHNY-26MAY05-B79.5,79-80F,79.0,80.0,between,between,0.06,5.0,7.000000000000001,406.16,2680.3,2026-05-05 05:00:00 UTC,no,0
2026-05-05,KXHIGHNY-26MAY05-B77.5,77-78F,77.0,78.0,between,between,0.035,3.0,4.0,151.0,3349.71,2026-05-05 05:00:00 UTC,no,0
