date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-01-01,HIGHNY-23JAN01-T57,Above 57F,57.0,,above,greater,0.475,11,84,0,949,2023-01-01 04:00:00 UTC
2023-01-01,HIGHNY-23JAN01-T50,Above 50F,50.0,,above,greater,0.04,0,8,0,0,2023-01-01 04:00:00 UTC
2023-01-01,HIGHNY-23JAN01-B56.5,56-57F,56.0,57.0,between,between,0.48,12,84,0,342,2023-01-01 04:00:00 UTC
2023-01-01,HIGHNY-23JAN01-B54.5,54-55F,54.0,55.0,between,between,0.305,26,35,0,507,2023-01-01 04:00:00 UTC
2023-01-01,HIGHNY-23JAN01-B52.5,52-53F,52.0,53.0,between,between,0.305,6,55,0,1069,2023-01-01 04:00:00 UTC
2023-01-01,HIGHNY-23JAN01-B50.5,50-51F,50.0,51.0,between,between,0.245,0,49,0,372,2023-01-01 04:00:00 UTC
2023-01-02,HIGHNY-23JAN02-T57,Above 57F,57.0,,above,greater,0.11,9,13,50,1482,2023-01-02 05:00:00 UTC
2023-01-02,HIGHNY-23JAN02-T50,Above 50F,50.0,,above,greater,0.03,0,6,0,0,2023-01-02 02:00:00 UTC
2023-01-02,HIGHNY-23JAN02-B56.5,56-57F,56.0,57.0,between,between,0.385,36,41,9,301,2023-01-02 05:00:00 UTC
2023-01-02,HIGHNY-23JAN02-B54.5,54-55F,54.0,55.0,between,between,0.4,39,41,58,318,2023-01-02 05:00:00 UTC
2023-01-02,HIGHNY-23JAN02-B52.5,52-53F,52.0,53.0,between,between,0.12,10,14,0,365,2023-01-02 05:00:00 UTC
2023-01-02,HIGHNY-23JAN02-B50.5,50-51F,50.0,51.0,between,between,0.045,0,9,1,1,2023-01-02 05:00:00 UTC
2023-01-03,HIGHNY-23JAN03-T60,Above 60F,60.0,,above,greater,0.21,2,40,10,140,2023-01-03 03:00:00 UTC
2023-01-03,HIGHNY-23JAN03-T53,Above 53F,53.0,,above,greater,0.04,3,5,0,430,2023-01-03 04:00:00 UTC
2023-01-03,HIGHNY-23JAN03-B59.5,59-60F,59.0,60.0,between,between,0.11,9,13,98,1276,2023-01-03 05:00:00 UTC
2023-01-03,HIGHNY-23JAN03-B57.5,57-58F,57.0,58.0,between,between,0.4,39,41,34,1094,2023-01-03 05:00:00 UTC
2023-01-03,HIGHNY-23JAN03-B55.5,55-56F,55.0,56.0,between,between,0.35,32,38,128,477,2023-01-03 05:00:00 UTC
2023-01-03,HIGHNY-23JAN03-B53.5,53-54F,53.0,54.0,between,between,0.11,10,12,0,336,2023-01-03 05:00:00 UTC
2023-01-04,HIGHNY-23JAN04-T63,Above 63F,63.0,,above,greater,0.625,60,65,216,296,2023-01-04 05:00:00 UTC
2023-01-04,HIGHNY-23JAN04-T56,Above 56F,56.0,,above,greater,,,,,,
2023-01-04,HIGHNY-23JAN04-B62.5,62-63F,62.0,63.0,between,between,0.32,29,35,0,211,2023-01-04 05:00:00 UTC
2023-01-04,HIGHNY-23JAN04-B60.5,60-61F,60.0,61.0,between,between,0.035,2,5,0,976,2023-01-04 05:00:00 UTC
2023-01-04,HIGHNY-23JAN04-B58.5,58-59F,58.0,59.0,between,between,0.3,0,60,0,0,2023-01-04 04:00:00 UTC
2023-01-04,HIGHNY-23JAN04-B56.5,56-57F,56.0,57.0,between,between,,,,,,
2023-01-05,HIGHNY-23JAN05-T59,Above 59F,59.0,,above,greater,0.005,0,1,0,6240,2023-01-05 03:00:00 UTC
