date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2026-02-04,KXHIGHTATL-26FEB04-T51,Below 51F,nan,51.0,below,less,0.075,5,10,0,322,2026-02-04 05:00:00 UTC
2026-02-04,KXHIGHTATL-26FEB04-B51.5,51-53F,51.0,53.0,between,between,0.275,25,30,4,823,2026-02-04 05:00:00 UTC
2026-02-04,KXHIGHTATL-26FEB04-B53.5,53-55F,53.0,55.0,between,between,0.29,27,31,35,564,2026-02-04 05:00:00 UTC
2026-02-04,KXHIGHTATL-26FEB04-B55.5,55-57F,55.0,57.0,between,between,0.27,24,30,1,131,2026-02-04 05:00:00 UTC
2026-02-04,KXHIGHTATL-26FEB04-B57.5,57-59F,57.0,59.0,between,between,0.08,5,11,0,265,2026-02-04 05:00:00 UTC
2026-02-04,KXHIGHTATL-26FEB04-T58,Above 58F,58.0,nan,above,greater,0.015,1,2,38,179,2026-02-04 05:00:00 UTC
2026-02-05,KXHIGHTATL-26FEB05-T42,Below 42F,nan,42.0,below,less,0.025,2,3,0,199,2026-02-05 05:00:00 UTC
2026-02-05,KXHIGHTATL-26FEB05-B42.5,42-44F,42.0,44.0,between,between,0.075,4,11,23,83,2026-02-05 05:00:00 UTC
2026-02-05,KXHIGHTATL-26FEB05-B44.5,44-46F,44.0,46.0,between,between,0.175,17,18,0,83,2026-02-05 05:00:00 UTC
2026-02-05,KXHIGHTATL-26FEB05-B46.5,46-48F,46.0,48.0,between,between,0.28,26,30,6,42,2026-02-05 05:00:00 UTC
2026-02-05,KXHIGHTATL-26FEB05-B48.5,48-50F,48.0,50.0,between,between,0.26,25,27,0,375,2026-02-05 05:00:00 UTC
2026-02-05,KXHIGHTATL-26FEB05-T49,Above 49F,49.0,nan,above,greater,0.14,13,15,0,440,2026-02-05 05:00:00 UTC
2026-02-06,KXHIGHTATL-26FEB06-T55,Below 55F,nan,55.0,below,less,0.025,2,3,142,187,2026-02-06 05:00:00 UTC
2026-02-06,KXHIGHTATL-26FEB06-B55.5,55-57F,55.0,57.0,between,between,0.025,2,3,0,10,2026-02-06 05:00:00 UTC
2026-02-06,KXHIGHTATL-26FEB06-B57.5,57-59F,57.0,59.0,between,between,0.065,5,8,0,40,2026-02-06 05:00:00 UTC
2026-02-06,KXHIGHTATL-26FEB06-B59.5,59-61F,59.0,61.0,between,between,0.28,26,30,229,264,2026-02-06 05:00:00 UTC
2026-02-06,KXHIGHTATL-26FEB06-B61.5,61-63F,61.0,63.0,between,between,0.335,33,34,15,146,2026-02-06 05:00:00 UTC
2026-02-06,KXHIGHTATL-26FEB06-T62,Above 62F,62.0,nan,above,greater,0.335,32,35,15,352,2026-02-06 05:00:00 UTC
2026-02-07,KXHIGHTATL-26FEB07-T44,Below 44F,nan,44.0,below,less,0.015,1,2,0,202,2026-02-07 05:00:00 UTC
2026-02-07,KXHIGHTATL-26FEB07-B44.5,44-46F,44.0,46.0,between,between,0.11,3,19,0,32,2026-02-07 05:00:00 UTC
2026-02-07,KXHIGHTATL-26FEB07-B46.5,46-48F,46.0,48.0,between,between,0.24,13,35,0,170,2026-02-07 05:00:00 UTC
2026-02-07,KXHIGHTATL-26FEB07-B48.5,48-50F,48.0,50.0,between,between,0.33,26,40,0,145,2026-02-07 05:00:00 UTC
2026-02-07,KXHIGHTATL-26FEB07-B50.5,50-52F,50.0,52.0,between,between,0.265,18,35,99,357,2026-02-07 05:00:00 UTC
2026-02-07,KXHIGHTATL-26FEB07-T51,Above 51F,51.0,nan,above,greater,0.305,25,36,108,186,2026-02-07 05:00:00 UTC
2026-02-08,KXHIGHTATL-26FEB08-T54,Below 54F,nan,54.0,below,less,0.025,2,3,0,186,2026-02-08 05:00:00 UTC
2026-02-08,KXHIGHTATL-26FEB08-B54.5,54-56F,54.0,56.0,between,between,0.065,4,9,0,267,2026-02-08 05:00:00 UTC
2026-02-08,KXHIGHTATL-26FEB08-B56.5,56-58F,56.0,58.0,between,between,0.25,22,28,20,134,2026-02-08 05:00:00 UTC
2026-02-08,KXHIGHTATL-26FEB08-B58.5,58-60F,58.0,60.0,between,between,0.33,31,35,20,372,2026-02-08 05:00:00 UTC
2026-02-08,KXHIGHTATL-26FEB08-B60.5,60-62F,60.0,62.0,between,between,0.175,16,19,20,266,2026-02-08 05:00:00 UTC
2026-02-08,KXHIGHTATL-26FEB08-T61,Above 61F,61.0,nan,above,greater,0.05,4,6,0,707,2026-02-08 05:00:00 UTC
2026-02-09,KXHIGHTATL-26FEB09-T63,Below 63F,nan,63.0,below,less,0.05,3,7,21,1061,2026-02-09 05:00:00 UTC
2026-02-09,KXHIGHTATL-26FEB09-B63.5,63-65F,63.0,65.0,between,between,0.105,7,14,91,608,2026-02-09 05:00:00 UTC
2026-02-09,KXHIGHTATL-26FEB09-B65.5,65-67F,65.0,67.0,between,between,0.235,22,25,125,614,2026-02-09 05:00:00 UTC
2026-02-09,KXHIGHTATL-26FEB09-B67.5,67-69F,67.0,69.0,between,between,0.32,29,35,299,630,2026-02-09 05:00:00 UTC
2026-02-09,KXHIGHTATL-26FEB09-B69.5,69-71F,69.0,71.0,between,between,0.225,17,28,0,454,2026-02-09 05:00:00 UTC
2026-02-09,KXHIGHTATL-26FEB09-T70,Above 70F,70.0,nan,above,greater,0.11,9,13,0,624,2026-02-09 05:00:00 UTC
2026-02-10,KXHIGHTATL-26FEB10-T70,Below 70F,nan,70.0,below,less,0.05,4,6,97,231,2026-02-10 05:00:00 UTC
2026-02-10,KXHIGHTATL-26FEB10-B70.5,70-72F,70.0,72.0,between,between,0.175,16,19,97,981,2026-02-10 05:00:00 UTC
2026-02-10,KXHIGHTATL-26FEB10-B72.5,72-74F,72.0,74.0,between,between,0.36,34,38,34,824,2026-02-10 05:00:00 UTC
2026-02-10,KXHIGHTATL-26FEB10-B74.5,74-76F,74.0,76.0,between,between,0.295,29,30,112,914,2026-02-10 05:00:00 UTC
2026-02-10,KXHIGHTATL-26FEB10-B76.5,76-78F,76.0,78.0,between,between,0.13,12,14,68,462,2026-02-10 05:00:00 UTC
2026-02-10,KXHIGHTATL-26FEB10-T77,Above 77F,77.0,nan,above,greater,0.025,2,3,11,193,2026-02-10 05:00:00 UTC
2026-02-11,KXHIGHTATL-26FEB11-T62,Below 62F,nan,62.0,below,less,0.11,6,16,9,680,2026-02-11 05:00:00 UTC
2026-02-11,KXHIGHTATL-26FEB11-B62.5,62-64F,62.0,64.0,between,between,0.28,23,33,2,543,2026-02-11 05:00:00 UTC
2026-02-11,KXHIGHTATL-26FEB11-B64.5,64-66F,64.0,66.0,between,between,0.355,32,39,2,355,2026-02-11 05:00:00 UTC
