date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-05-11,HIGHAUS--23MAY11-T84,Below 84F,nan,84.0,below,less,0.045,0,9,0,213,2023-05-11 03:00:00 UTC
2023-05-11,HIGHAUS--23MAY11-B84.5,84-86F,84.0,86.0,between,between,0.05,0,10,0,0,2023-05-11 03:00:00 UTC
2023-05-11,HIGHAUS--23MAY11-B86.5,86-88F,86.0,88.0,between,between,0.265,3,50,0,0,2023-05-11 04:00:00 UTC
2023-05-11,HIGHAUS--23MAY11-B88.5,88-90F,88.0,90.0,between,between,0.43,22,64,0,0,2023-05-11 02:00:00 UTC
2023-05-11,HIGHAUS--23MAY11-B90.5,90-92F,90.0,92.0,between,between,0.59,53,65,10,10,2023-05-11 02:00:00 UTC
2023-05-11,HIGHAUS--23MAY11-T91,Above 91F,91.0,nan,above,greater,0.115,0,23,0,0,2023-05-11 04:00:00 UTC
2023-05-12,HIGHAUS-23MAY12-T85,Below 85F,nan,85.0,below,less,0.445,0,89,0,0,2023-05-11 23:00:00 UTC
2023-05-12,HIGHAUS-23MAY12-B87.5,87-89F,87.0,89.0,between,between,0.305,3,58,0,0,2023-05-11 22:00:00 UTC
2023-05-12,HIGHAUS-23MAY12-T92,Above 92F,92.0,nan,above,greater,0.445,0,89,0,0,2023-05-11 23:00:00 UTC
2023-05-13,HIGHAUS-23MAY13-T76,Below 76F,nan,76.0,below,less,0.51,3,99,0,0,2023-05-13 03:00:00 UTC
2023-05-13,HIGHAUS-23MAY13-B76.5,76-78F,76.0,78.0,between,between,0.315,5,58,0,0,2023-05-13 03:00:00 UTC
2023-05-13,HIGHAUS-23MAY13-B78.5,78-80F,78.0,80.0,between,between,0.29,0,58,0,0,2023-05-13 03:00:00 UTC
2023-05-13,HIGHAUS-23MAY13-B80.5,80-82F,80.0,82.0,between,between,0.305,3,58,0,0,2023-05-13 03:00:00 UTC
2023-05-13,HIGHAUS-23MAY13-B82.5,82-84F,82.0,84.0,between,between,0.29,0,58,0,0,2023-05-13 03:00:00 UTC
2023-05-13,HIGHAUS-23MAY13-T83,Above 83F,83.0,nan,above,greater,0.495,0,99,0,0,2023-05-13 04:00:00 UTC
2023-05-14,HIGHAUS-23MAY14-B75.5,75-77F,75.0,77.0,between,between,0.28,0,56,0,0,2023-05-14 02:00:00 UTC
2023-05-14,HIGHAUS-23MAY14-T75,Below 75F,nan,75.0,below,less,0.47,0,94,0,0,2023-05-14 02:00:00 UTC
2023-05-14,HIGHAUS-23MAY14-B77.5,77-79F,77.0,79.0,between,between,0.285,0,57,0,0,2023-05-14 02:00:00 UTC
2023-05-14,HIGHAUS-23MAY14-B79.5,79-81F,79.0,81.0,between,between,0.55,52,58,0,8,2023-05-14 01:00:00 UTC
2023-05-14,HIGHAUS-23MAY14-B81.5,81-83F,81.0,83.0,between,between,0.3,3,57,0,0,2023-05-14 01:00:00 UTC
2023-05-14,HIGHAUS-23MAY14-T82,Above 82F,82.0,nan,above,greater,0.5,0,100,0,0,2023-05-13 23:00:00 UTC
2023-05-15,HIGHAUS-23MAY15-T79,Below 79F,nan,79.0,below,less,0.215,0,43,0,0,2023-05-15 01:00:00 UTC
2023-05-15,HIGHAUS-23MAY15-B79.5,79-81F,79.0,81.0,between,between,0.23,3,43,0,0,2023-05-15 01:00:00 UTC
2023-05-15,HIGHAUS-23MAY15-B81.5,81-83F,81.0,83.0,between,between,0.545,51,58,4,4,2023-05-14 22:00:00 UTC
2023-05-15,HIGHAUS-23MAY15-B83.5,83-85F,83.0,85.0,between,between,0.215,0,43,0,0,2023-05-15 01:00:00 UTC
2023-05-15,HIGHAUS-23MAY15-B85.5,85-87F,85.0,87.0,between,between,0.215,0,43,0,0,2023-05-15 01:00:00 UTC
2023-05-15,HIGHAUS-23MAY15-T86,Above 86F,86.0,nan,above,greater,0.215,0,43,0,0,2023-05-15 01:00:00 UTC
2023-05-16,HIGHAUS-23MAY16-B78.5,78-80F,78.0,80.0,between,between,0.145,0,29,0,0,2023-05-16 02:00:00 UTC
2023-05-16,HIGHAUS-23MAY16-B80.5,80-82F,80.0,82.0,between,between,0.43,28,58,15,15,2023-05-16 02:00:00 UTC
2023-05-16,HIGHAUS-23MAY16-B82.5,82-84F,82.0,84.0,between,between,0.16,3,29,0,0,2023-05-16 02:00:00 UTC
2023-05-16,HIGHAUS-23MAY16-B84.5,84-86F,84.0,86.0,between,between,0.29,0,58,15,15,2023-05-16 02:00:00 UTC
2023-05-16,HIGHAUS-23MAY16-T85,Above 85F,85.0,nan,above,greater,0.145,0,29,0,0,2023-05-16 02:00:00 UTC
2023-05-17,HIGHAUS-23MAY17-B83.5,83-85F,83.0,85.0,between,between,0.635,60,67,0,150,2023-05-17 04:00:00 UTC
2023-05-17,HIGHAUS-23MAY17-B85.5,85-87F,85.0,87.0,between,between,0.3,3,57,0,13,2023-05-17 04:00:00 UTC
2023-05-17,HIGHAUS-23MAY17-B87.5,87-89F,87.0,89.0,between,between,0.285,0,57,0,0,2023-05-17 04:00:00 UTC
2023-05-18,HIGHAUS-23MAY18-B85.5,85-87F,85.0,87.0,between,between,0.04,0,8,9,9,2023-05-18 04:00:00 UTC
2023-05-18,HIGHAUS-23MAY18-T85,Below 85F,nan,85.0,below,less,0.16,2,30,6,21,2023-05-18 04:00:00 UTC
2023-05-18,HIGHAUS-23MAY18-B87.5,87-89F,87.0,89.0,between,between,0.085,3,14,8,107,2023-05-18 04:00:00 UTC
