date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2022-12-22,HIGHCHI-22DEC22-T30,Below 30F,nan,30.0,below,less,0.06,4,8,0,190,2022-12-22 01:00:00 UTC
2022-12-22,HIGHCHI-22DEC22-B30.5,30-32F,30.0,32.0,between,between,0.225,20,25,81,111,2022-12-22 05:00:00 UTC
2022-12-22,HIGHCHI-22DEC22-B32.5,32-34F,32.0,34.0,between,between,0.35,32,38,0,197,2022-12-22 05:00:00 UTC
2022-12-22,HIGHCHI-22DEC22-B34.5,34-36F,34.0,36.0,between,between,0.285,26,31,121,146,2022-12-22 05:00:00 UTC
2022-12-22,HIGHCHI-22DEC22-B36.5,36-38F,36.0,38.0,between,between,0.06,4,8,0,222,2022-12-22 05:00:00 UTC
2022-12-22,HIGHCHI-22DEC22-T37,Above 37F,37.0,nan,above,greater,0.495,0,99,0,756,2022-12-22 01:00:00 UTC
2022-12-23,HIGHCHI-22DEC23-B-2.5,-3--1F,-3.0,-1.0,between,between,0.125,5,20,0,325,2022-12-22 23:00:00 UTC
2022-12-23,HIGHCHI-22DEC23-B-0.5,-1-1F,-1.0,1.0,between,between,0.455,21,70,0,361,2022-12-23 05:00:00 UTC
2022-12-23,HIGHCHI-22DEC23-B1.5,1-3F,1.0,3.0,between,between,0.34,22,46,0,478,2022-12-23 02:00:00 UTC
2022-12-23,HIGHCHI-22DEC23-B3.5,3-5F,3.0,5.0,between,between,0.105,3,18,0,343,2022-12-23 03:00:00 UTC
2022-12-23,HIGHCHI-22DEC23-T4,Above 4F,4.0,nan,above,greater,0.125,0,25,0,286,2022-12-22 23:00:00 UTC
2022-12-24,HIGHCHI-22DEC24-T5,Below 5F,nan,5.0,below,less,0.065,0,13,6,56,2022-12-24 05:00:00 UTC
2022-12-24,HIGHCHI-22DEC24-B5.5,5-7F,5.0,7.0,between,between,0.015,1,2,0,65,2022-12-24 05:00:00 UTC
2022-12-24,HIGHCHI-22DEC24-B7.5,7-9F,7.0,9.0,between,between,0.125,12,13,6,494,2022-12-24 05:00:00 UTC
2022-12-24,HIGHCHI-22DEC24-B9.5,9-11F,9.0,11.0,between,between,0.325,30,35,2,313,2022-12-24 05:00:00 UTC
2022-12-24,HIGHCHI-22DEC24-B11.5,11-13F,11.0,13.0,between,between,0.305,28,33,2,52,2022-12-24 05:00:00 UTC
2022-12-24,HIGHCHI-22DEC24-T12,Above 12F,12.0,nan,above,greater,0.19,17,21,2,296,2022-12-24 05:00:00 UTC
2022-12-25,HIGHCHI-22DEC25-T11,Below 11F,nan,11.0,below,less,0.495,0,99,0,1713,2022-12-25 03:00:00 UTC
2022-12-25,HIGHCHI-22DEC25-B11.5,11-13F,11.0,13.0,between,between,0.27,24,30,0,167,2022-12-25 02:00:00 UTC
2022-12-25,HIGHCHI-22DEC25-B13.5,13-15F,13.0,15.0,between,between,0.39,36,42,0,79,2022-12-25 05:00:00 UTC
2022-12-25,HIGHCHI-22DEC25-B15.5,15-17F,15.0,17.0,between,between,0.275,25,30,0,21,2022-12-25 02:00:00 UTC
2022-12-25,HIGHCHI-22DEC25-B17.5,17-19F,17.0,19.0,between,between,0.495,0,99,1143,1340,2022-12-25 02:00:00 UTC
2022-12-25,HIGHCHI-22DEC25-T18,Above 18F,18.0,nan,above,greater,0.48,0,96,0,0,2022-12-24 22:00:00 UTC
2022-12-26,HIGHCHI-22DEC26-T20,Below 20F,nan,20.0,below,less,0.1,8,12,142,153,2022-12-26 02:00:00 UTC
2022-12-26,HIGHCHI-22DEC26-B20.5,20-22F,20.0,22.0,between,between,0.325,30,35,0,290,2022-12-26 05:00:00 UTC
2022-12-26,HIGHCHI-22DEC26-B22.5,22-24F,22.0,24.0,between,between,0.41,38,44,35,280,2022-12-26 05:00:00 UTC
2022-12-26,HIGHCHI-22DEC26-B24.5,24-26F,24.0,26.0,between,between,0.145,13,16,152,152,2022-12-26 02:00:00 UTC
2022-12-26,HIGHCHI-22DEC26-B26.5,26-28F,26.0,28.0,between,between,0.1,0,20,0,1087,2022-12-26 02:00:00 UTC
2022-12-26,HIGHCHI-22DEC26-T27,Above 27F,27.0,nan,above,greater,0.06,0,12,0,0,2022-12-26 02:00:00 UTC
2022-12-27,HIGHCHI-22DEC27-T25,Below 25F,nan,25.0,below,less,0.2,18,22,425,531,2022-12-27 05:00:00 UTC
2022-12-27,HIGHCHI-22DEC27-B25.5,25-27F,25.0,27.0,between,between,0.315,29,34,241,609,2022-12-27 05:00:00 UTC
2022-12-27,HIGHCHI-22DEC27-B27.5,27-29F,27.0,29.0,between,between,0.405,38,43,146,423,2022-12-27 05:00:00 UTC
2022-12-27,HIGHCHI-22DEC27-B29.5,29-31F,29.0,31.0,between,between,0.09,8,10,22,257,2022-12-27 05:00:00 UTC
2022-12-27,HIGHCHI-22DEC27-B31.5,31-33F,31.0,33.0,between,between,0.01,0,2,0,1873,2022-12-27 05:00:00 UTC
2022-12-27,HIGHCHI-22DEC27-T32,Above 32F,32.0,nan,above,greater,0.01,0,2,0,586,2022-12-27 05:00:00 UTC
2022-12-28,HIGHCHI-22DEC28-T39,Below 39F,nan,39.0,below,less,0.08,6,10,0,1037,2022-12-28 05:00:00 UTC
2022-12-28,HIGHCHI-22DEC28-B39.5,39-41F,39.0,41.0,between,between,0.345,32,37,55,986,2022-12-28 05:00:00 UTC
2022-12-28,HIGHCHI-22DEC28-B41.5,41-43F,41.0,43.0,between,between,0.375,35,40,197,779,2022-12-28 05:00:00 UTC
2022-12-28,HIGHCHI-22DEC28-B43.5,43-45F,43.0,45.0,between,between,0.17,15,19,423,1333,2022-12-28 05:00:00 UTC
2022-12-28,HIGHCHI-22DEC28-B45.5,45-47F,45.0,47.0,between,between,0.13,1,25,848,1724,2022-12-28 00:00:00 UTC
2022-12-29,HIGHCHI-22DEC29-T49,Below 49F,nan,49.0,below,less,0.095,0,19,0,0,2022-12-28 23:00:00 UTC
2022-12-29,HIGHCHI-22DEC29-B49.5,49-51F,49.0,51.0,between,between,0.395,1,78,0,213,2022-12-29 04:00:00 UTC
2022-12-29,HIGHCHI-22DEC29-B51.5,51-53F,51.0,53.0,between,between,0.11,9,13,62,305,2022-12-29 05:00:00 UTC
2022-12-29,HIGHCHI-22DEC29-B53.5,53-55F,53.0,55.0,between,between,0.215,20,23,0,205,2022-12-29 05:00:00 UTC
2022-12-29,HIGHCHI-22DEC29-B55.5,55-57F,55.0,57.0,between,between,0.385,36,41,20,1258,2022-12-29 05:00:00 UTC
2022-12-29,HIGHCHI-22DEC29-T56,Above 56F,56.0,nan,above,greater,0.275,15,40,198,2056,2022-12-29 05:00:00 UTC
2022-12-30,HIGHCHI-22DEC30-T52,Below 52F,nan,52.0,below,less,0.04,1,7,0,4663,2022-12-29 23:00:00 UTC
2022-12-30,HIGHCHI-22DEC30-B52.5,52-54F,52.0,54.0,between,between,0.205,2,39,0,684,2022-12-30 04:00:00 UTC
2022-12-30,HIGHCHI-22DEC30-B54.5,54-56F,54.0,56.0,between,between,0.355,33,38,88,1853,2022-12-30 03:00:00 UTC
2022-12-30,HIGHCHI-22DEC30-B56.5,56-58F,56.0,58.0,between,between,0.42,39,45,291,1730,2022-12-30 03:00:00 UTC
2022-12-30,HIGHCHI-22DEC30-B58.5,58-60F,58.0,60.0,between,between,0.13,11,15,83,1346,2022-12-30 03:00:00 UTC
2022-12-30,HIGHCHI-22DEC30-T59,Above 59F,59.0,nan,above,greater,0.05,3,7,78,991,2022-12-30 03:00:00 UTC
2022-12-31,HIGHCHI-22DEC31-T35,Below 35F,nan,35.0,below,less,0.065,1,12,100,215,2022-12-30 22:00:00 UTC
2022-12-31,HIGHCHI-22DEC31-B35.5,35-37F,35.0,37.0,between,between,0.265,4,49,0,130,2022-12-31 05:00:00 UTC
2022-12-31,HIGHCHI-22DEC31-B37.5,37-39F,37.0,39.0,between,between,0.19,17,21,20,653,2022-12-31 04:00:00 UTC
2022-12-31,HIGHCHI-22DEC31-B39.5,39-41F,39.0,41.0,between,between,0.34,33,35,0,347,2022-12-31 01:00:00 UTC
2022-12-31,HIGHCHI-22DEC31-B41.5,41-43F,41.0,43.0,between,between,0.315,29,34,0,205,2022-12-31 01:00:00 UTC
2022-12-31,HIGHCHI-22DEC31-T42,Above 42F,42.0,nan,above,greater,0.14,12,16,5,857,2022-12-31 03:00:00 UTC
2023-01-01,HIGHCHI-23JAN01-T41,Below 41F,nan,41.0,below,less,0.015,1,2,10,10,2023-01-01 03:00:00 UTC
2023-01-01,HIGHCHI-23JAN01-B41.5,41-43F,41.0,43.0,between,between,0.135,2,25,13,13,2023-01-01 03:00:00 UTC
2023-01-01,HIGHCHI-23JAN01-B43.5,43-45F,43.0,45.0,between,between,0.065,3,10,0,292,2023-01-01 05:00:00 UTC
2023-01-01,HIGHCHI-23JAN01-B45.5,45-47F,45.0,47.0,between,between,0.185,13,24,0,226,2023-01-01 05:00:00 UTC
2023-01-01,HIGHCHI-23JAN01-B47.5,47-49F,47.0,49.0,between,between,0.545,21,88,0,320,2023-01-01 05:00:00 UTC
2023-01-01,HIGHCHI-23JAN01-T48,Above 48F,48.0,nan,above,greater,0.375,15,60,0,793,2023-01-01 05:00:00 UTC
2023-01-02,HIGHCHI-23JAN02-T40,Below 40F,nan,40.0,below,less,0.02,1,3,342,615,2023-01-02 01:00:00 UTC
2023-01-02,HIGHCHI-23JAN02-B40.5,40-42F,40.0,42.0,between,between,0.085,7,10,78,815,2023-01-02 05:00:00 UTC
2023-01-02,HIGHCHI-23JAN02-B42.5,42-44F,42.0,44.0,between,between,0.245,22,27,314,517,2023-01-02 05:00:00 UTC
2023-01-02,HIGHCHI-23JAN02-B44.5,44-46F,44.0,46.0,between,between,0.325,30,35,81,484,2023-01-02 05:00:00 UTC
2023-01-02,HIGHCHI-23JAN02-B46.5,46-48F,46.0,48.0,between,between,0.265,24,29,78,783,2023-01-02 05:00:00 UTC
2023-01-02,HIGHCHI-23JAN02-T47,Above 47F,47.0,nan,above,greater,0.08,6,10,95,810,2023-01-02 05:00:00 UTC
2023-01-03,HIGHCHI-23JAN03-T56,Below 56F,nan,56.0,below,less,0.83,81,85,0,1319,2023-01-03 05:00:00 UTC
2023-01-03,HIGHCHI-23JAN03-B56.5,56-58F,56.0,58.0,between,between,0.06,4,8,500,1707,2023-01-03 05:00:00 UTC
2023-01-03,HIGHCHI-23JAN03-B58.5,58-60F,58.0,60.0,between,between,0.06,4,8,27,715,2023-01-03 02:00:00 UTC
2023-01-03,HIGHCHI-23JAN03-B60.5,60-62F,60.0,62.0,between,between,0.045,3,6,48,1102,2023-01-03 01:00:00 UTC
2023-01-03,HIGHCHI-23JAN03-B62.5,62-64F,62.0,64.0,between,between,0.155,1,30,0,345,2023-01-03 03:00:00 UTC
2023-01-03,HIGHCHI-23JAN03-T63,Above 63F,63.0,nan,above,greater,0.105,1,20,0,783,2023-01-03 03:00:00 UTC
2023-01-04,HIGHCHI-23JAN04-T43,Below 43F,nan,43.0,below,less,0.11,1,21,427,2623,2023-01-04 05:00:00 UTC
2023-01-04,HIGHCHI-23JAN04-B43.5,43-45F,43.0,45.0,between,between,0.45,42,48,171,723,2023-01-04 05:00:00 UTC
2023-01-04,HIGHCHI-23JAN04-B45.5,45-47F,45.0,47.0,between,between,0.34,33,35,661,2057,2023-01-04 05:00:00 UTC
2023-01-04,HIGHCHI-23JAN04-B47.5,47-49F,47.0,49.0,between,between,0.19,3,35,0,16,2023-01-04 05:00:00 UTC
2023-01-04,HIGHCHI-23JAN04-B49.5,49-51F,49.0,51.0,between,between,0.1,0,20,0,36,2023-01-04 04:00:00 UTC
2023-01-04,HIGHCHI-23JAN04-T50,Above 50F,50.0,nan,above,greater,0.06,0,12,0,10,2023-01-03 23:00:00 UTC
2023-01-05,HIGHCHI-23JAN05-T30,Below 30F,nan,30.0,below,less,0.02,0,4,0,0,2023-01-04 22:00:00 UTC
2023-01-05,HIGHCHI-23JAN05-B30.5,30-32F,30.0,32.0,between,between,0.055,0,11,0,101,2023-01-05 05:00:00 UTC
2023-01-05,HIGHCHI-23JAN05-B32.5,32-34F,32.0,34.0,between,between,0.255,16,35,0,0,2023-01-05 05:00:00 UTC
2023-01-05,HIGHCHI-23JAN05-B34.5,34-36F,34.0,36.0,between,between,0.615,36,87,0,0,2023-01-05 05:00:00 UTC
2023-01-05,HIGHCHI-23JAN05-B36.5,36-38F,36.0,38.0,between,between,0.2,11,29,0,25,2023-01-05 05:00:00 UTC
2023-01-05,HIGHCHI-23JAN05-T37,Above 37F,37.0,nan,above,greater,0.035,0,7,10,10,2023-01-05 00:00:00 UTC
2023-01-06,HIGHCHI-23JAN06-T30,Below 30F,nan,30.0,below,less,0.045,0,9,0,149,2023-01-06 02:00:00 UTC
2023-01-06,HIGHCHI-23JAN06-B30.5,30-32F,30.0,32.0,between,between,0.065,5,8,97,420,2023-01-06 03:00:00 UTC
2023-01-06,HIGHCHI-23JAN06-B32.5,32-34F,32.0,34.0,between,between,0.485,46,51,56,528,2023-01-06 03:00:00 UTC
2023-01-06,HIGHCHI-23JAN06-B34.5,34-36F,34.0,36.0,between,between,0.395,36,43,192,462,2023-01-06 03:00:00 UTC
2023-01-06,HIGHCHI-23JAN06-B36.5,36-38F,36.0,38.0,between,between,0.035,2,5,0,112,2023-01-06 03:00:00 UTC
2023-01-06,HIGHCHI-23JAN06-T37,Above 37F,37.0,nan,above,greater,0.5,0,100,0,97,2023-01-06 05:00:00 UTC
2023-01-07,HIGHCHI-23JAN07-T32,Below 32F,nan,32.0,below,less,0.445,0,89,0,143,2023-01-07 05:00:00 UTC
2023-01-07,HIGHCHI-23JAN07-B32.5,32-34F,32.0,34.0,between,between,0.185,16,21,219,1236,2023-01-07 05:00:00 UTC
2023-01-07,HIGHCHI-23JAN07-B34.5,34-36F,34.0,36.0,between,between,0.495,47,52,132,800,2023-01-07 05:00:00 UTC
2023-01-07,HIGHCHI-23JAN07-B36.5,36-38F,36.0,38.0,between,between,0.245,22,27,0,562,2023-01-07 05:00:00 UTC
2023-01-07,HIGHCHI-23JAN07-B38.5,38-40F,38.0,40.0,between,between,0.05,1,9,90,532,2023-01-07 05:00:00 UTC
2023-01-07,HIGHCHI-23JAN07-T39,Above 39F,39.0,nan,above,greater,0.015,0,3,0,745,2023-01-07 05:00:00 UTC
2023-01-08,HIGHCHI-23JAN08-T32,Below 32F,nan,32.0,below,less,0.465,4,89,0,407,2023-01-08 03:00:00 UTC
2023-01-08,HIGHCHI-23JAN08-B32.5,32-34F,32.0,34.0,between,between,0.195,17,22,158,1480,2023-01-08 03:00:00 UTC
2023-01-08,HIGHCHI-23JAN08-B34.5,34-36F,34.0,36.0,between,between,0.37,34,40,57,537,2023-01-08 03:00:00 UTC
2023-01-08,HIGHCHI-23JAN08-B36.5,36-38F,36.0,38.0,between,between,0.285,26,31,32,439,2023-01-08 03:00:00 UTC
2023-01-08,HIGHCHI-23JAN08-B38.5,38-40F,38.0,40.0,between,between,0.11,9,13,0,172,2023-01-08 03:00:00 UTC
2023-01-08,HIGHCHI-23JAN08-T39,Above 39F,39.0,nan,above,greater,0.04,2,6,0,489,2023-01-08 02:00:00 UTC
