date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2024-11-20,KXHIGHPHIL-24NOV20-T57,Below 57F,nan,57.0,below,less,0.01,0,2,12,190,2024-11-20 05:00:00 UTC
2024-11-20,KXHIGHPHIL-24NOV20-B57.5,57-59F,57.0,59.0,between,between,0.015,1,2,42,845,2024-11-20 05:00:00 UTC
2024-11-20,KXHIGHPHIL-24NOV20-B59.5,59-61F,59.0,61.0,between,between,0.13,10,16,599,1506,2024-11-20 05:00:00 UTC
2024-11-20,KXHIGHPHIL-24NOV20-B61.5,61-63F,61.0,63.0,between,between,0.455,42,49,479,2815,2024-11-20 05:00:00 UTC
2024-11-20,KXHIGHPHIL-24NOV20-B63.5,63-65F,63.0,65.0,between,between,0.345,33,36,444,1730,2024-11-20 05:00:00 UTC
2024-11-20,KXHIGHPHIL-24NOV20-T64,Above 64F,64.0,nan,above,greater,0.08,6,10,399,2880,2024-11-20 05:00:00 UTC
2024-11-21,KXHIGHPHIL-24NOV21-T48,Below 48F,nan,48.0,below,less,0.005,0,1,0,1601,2024-11-21 05:00:00 UTC
2024-11-21,KXHIGHPHIL-24NOV21-B48.5,48-50F,48.0,50.0,between,between,0.005,0,1,0,5101,2024-11-21 05:00:00 UTC
2024-11-21,KXHIGHPHIL-24NOV21-B50.5,50-52F,50.0,52.0,between,between,0.01,0,2,4571,7891,2024-11-21 05:00:00 UTC
2024-11-21,KXHIGHPHIL-24NOV21-B52.5,52-54F,52.0,54.0,between,between,0.21,7,35,4321,3780,2024-11-21 05:00:00 UTC
2024-11-21,KXHIGHPHIL-24NOV21-B54.5,54-56F,54.0,56.0,between,between,0.675,45,90,1892,2229,2024-11-21 05:00:00 UTC
2024-11-21,KXHIGHPHIL-24NOV21-T55,Above 55F,55.0,nan,above,greater,0.06,2,10,4823,4565,2024-11-21 05:00:00 UTC
2024-11-22,KXHIGHPHIL-24NOV22-B37.5,37-39F,37.0,39.0,between,between,0.005,0,1,120,397,2024-11-22 05:00:00 UTC
2024-11-22,KXHIGHPHIL-24NOV22-T37,Below 37F,nan,37.0,below,less,0.005,0,1,0,305,2024-11-22 05:00:00 UTC
2024-11-22,KXHIGHPHIL-24NOV22-B39.5,39-41F,39.0,41.0,between,between,0.005,0,1,3546,2979,2024-11-22 05:00:00 UTC
2024-11-22,KXHIGHPHIL-24NOV22-B41.5,41-43F,41.0,43.0,between,between,0.51,48,54,1211,1774,2024-11-22 05:00:00 UTC
2024-11-22,KXHIGHPHIL-24NOV22-B43.5,43-45F,43.0,45.0,between,between,0.32,28,36,671,621,2024-11-22 05:00:00 UTC
2024-11-22,KXHIGHPHIL-24NOV22-T44,Above 44F,44.0,nan,above,greater,0.145,13,16,342,1096,2024-11-22 05:00:00 UTC
2024-11-23,KXHIGHPHIL-24NOV23-T47,Below 47F,nan,47.0,below,less,0.01,0,2,38,150,2024-11-23 05:00:00 UTC
2024-11-23,KXHIGHPHIL-24NOV23-B47.5,47-49F,47.0,49.0,between,between,0.015,1,2,267,1286,2024-11-23 05:00:00 UTC
2024-11-23,KXHIGHPHIL-24NOV23-B49.5,49-51F,49.0,51.0,between,between,0.13,12,14,6,1515,2024-11-23 05:00:00 UTC
2024-11-23,KXHIGHPHIL-24NOV23-B51.5,51-53F,51.0,53.0,between,between,0.42,40,44,532,1795,2024-11-23 05:00:00 UTC
2024-11-23,KXHIGHPHIL-24NOV23-B53.5,53-55F,53.0,55.0,between,between,0.345,34,35,448,1123,2024-11-23 05:00:00 UTC
2024-11-23,KXHIGHPHIL-24NOV23-T54,Above 54F,54.0,nan,above,greater,0.12,11,13,1432,1871,2024-11-23 05:00:00 UTC
2024-11-24,KXHIGHPHIL-24NOV24-B50.5,50-52F,50.0,52.0,between,between,0.03,2,4,69,579,2024-11-24 04:00:00 UTC
2024-11-24,KXHIGHPHIL-24NOV24-T50,Below 50F,nan,50.0,below,less,0.01,0,2,0,773,2024-11-24 05:00:00 UTC
2024-11-24,KXHIGHPHIL-24NOV24-B52.5,52-54F,52.0,54.0,between,between,0.085,8,9,2,1626,2024-11-24 05:00:00 UTC
2024-11-24,KXHIGHPHIL-24NOV24-B54.5,54-56F,54.0,56.0,between,between,0.48,46,50,8,1109,2024-11-24 05:00:00 UTC
2024-11-24,KXHIGHPHIL-24NOV24-B56.5,56-58F,56.0,58.0,between,between,0.39,38,40,66,442,2024-11-24 05:00:00 UTC
2024-11-24,KXHIGHPHIL-24NOV24-T57,Above 57F,57.0,nan,above,greater,0.09,7,11,0,237,2024-11-24 05:00:00 UTC
2024-11-25,KXHIGHPHIL-24NOV25-B52.5,52-54F,52.0,54.0,between,between,0.035,2,5,18,248,2024-11-25 04:00:00 UTC
2024-11-25,KXHIGHPHIL-24NOV25-B54.5,54-56F,54.0,56.0,between,between,0.155,15,16,0,812,2024-11-25 05:00:00 UTC
2024-11-25,KXHIGHPHIL-24NOV25-B56.5,56-58F,56.0,58.0,between,between,0.495,47,52,110,774,2024-11-25 05:00:00 UTC
2024-11-25,KXHIGHPHIL-24NOV25-B58.5,58-60F,58.0,60.0,between,between,0.335,31,36,29,882,2024-11-25 05:00:00 UTC
2024-11-25,KXHIGHPHIL-24NOV25-T59,Above 59F,59.0,nan,above,greater,0.05,3,7,0,309,2024-11-25 05:00:00 UTC
2024-11-26,KXHIGHPHIL-24NOV26-T56,Below 56F,nan,56.0,below,less,0.03,0,6,0,519,2024-11-26 05:00:00 UTC
2024-11-26,KXHIGHPHIL-24NOV26-B56.5,56-58F,56.0,58.0,between,between,0.04,2,6,0,374,2024-11-26 05:00:00 UTC
2024-11-26,KXHIGHPHIL-24NOV26-B58.5,58-60F,58.0,60.0,between,between,0.18,17,19,129,1220,2024-11-26 05:00:00 UTC
2024-11-26,KXHIGHPHIL-24NOV26-B60.5,60-62F,60.0,62.0,between,between,0.445,42,47,72,485,2024-11-26 05:00:00 UTC
2024-11-26,KXHIGHPHIL-24NOV26-B62.5,62-64F,62.0,64.0,between,between,0.33,32,34,113,633,2024-11-26 05:00:00 UTC
2024-11-26,KXHIGHPHIL-24NOV26-T63,Above 63F,63.0,nan,above,greater,0.045,2,7,0,847,2024-11-26 05:00:00 UTC
2024-11-27,KXHIGHPHIL-24NOV27-B48.5,48-50F,48.0,50.0,between,between,0.035,1,6,20,270,2024-11-27 05:00:00 UTC
2024-11-27,KXHIGHPHIL-24NOV27-B50.5,50-52F,50.0,52.0,between,between,0.05,3,7,21,914,2024-11-27 05:00:00 UTC
2024-11-27,KXHIGHPHIL-24NOV27-B52.5,52-54F,52.0,54.0,between,between,0.405,38,43,0,1546,2024-11-27 05:00:00 UTC
2024-11-27,KXHIGHPHIL-24NOV27-B54.5,54-56F,54.0,56.0,between,between,0.47,44,50,98,1613,2024-11-27 05:00:00 UTC
2024-11-27,KXHIGHPHIL-24NOV27-T55,Above 55F,55.0,nan,above,greater,0.09,7,11,20,559,2024-11-27 05:00:00 UTC
2024-11-28,KXHIGHPHIL-24NOV28-B46.5,46-48F,46.0,48.0,between,between,0.005,0,1,1,221,2024-11-28 03:00:00 UTC
2024-11-28,KXHIGHPHIL-24NOV28-B48.5,48-50F,48.0,50.0,between,between,0.005,0,1,157,415,2024-11-28 04:00:00 UTC
2024-11-28,KXHIGHPHIL-24NOV28-B50.5,50-52F,50.0,52.0,between,between,0.11,10,12,32,842,2024-11-28 05:00:00 UTC
2024-11-28,KXHIGHPHIL-24NOV28-B52.5,52-54F,52.0,54.0,between,between,0.44,41,47,5,1050,2024-11-28 05:00:00 UTC
2024-11-28,KXHIGHPHIL-24NOV28-T53,Above 53F,53.0,nan,above,greater,0.475,44,51,306,4570,2024-11-28 05:00:00 UTC
2024-11-29,KXHIGHPHIL-24NOV29-B42.5,42-44F,42.0,44.0,between,between,0.035,1,6,0,53,2024-11-29 01:00:00 UTC
2024-11-29,KXHIGHPHIL-24NOV29-B44.5,44-46F,44.0,46.0,between,between,0.14,12,16,100,1224,2024-11-29 05:00:00 UTC
2024-11-29,KXHIGHPHIL-24NOV29-B46.5,46-48F,46.0,48.0,between,between,0.425,41,44,0,364,2024-11-29 05:00:00 UTC
2024-11-29,KXHIGHPHIL-24NOV29-B48.5,48-50F,48.0,50.0,between,between,0.37,35,39,4,163,2024-11-29 05:00:00 UTC
2024-11-29,KXHIGHPHIL-24NOV29-T49,Above 49F,49.0,nan,above,greater,0.085,6,11,8,541,2024-11-29 05:00:00 UTC
2024-11-30,KXHIGHPHIL-24NOV30-B34.5,34-36F,34.0,36.0,between,between,0.055,4,7,20,679,2024-11-30 05:00:00 UTC
2024-11-30,KXHIGHPHIL-24NOV30-T34,Below 34F,nan,34.0,below,less,0.005,0,1,93,214,2024-11-30 01:00:00 UTC
2024-11-30,KXHIGHPHIL-24NOV30-B36.5,36-38F,36.0,38.0,between,between,0.295,27,32,143,1131,2024-11-30 05:00:00 UTC
2024-11-30,KXHIGHPHIL-24NOV30-B38.5,38-40F,38.0,40.0,between,between,0.42,39,45,32,249,2024-11-30 05:00:00 UTC
2024-11-30,KXHIGHPHIL-24NOV30-B40.5,40-42F,40.0,42.0,between,between,0.25,22,28,28,404,2024-11-30 05:00:00 UTC
2024-11-30,KXHIGHPHIL-24NOV30-T41,Above 41F,41.0,nan,above,greater,0.045,2,7,16,282,2024-11-30 05:00:00 UTC
2024-12-01,KXHIGHPHIL-24DEC01-B35.5,35-37F,35.0,37.0,between,between,0.025,1,4,0,10,2024-12-01 05:00:00 UTC
2024-12-01,KXHIGHPHIL-24DEC01-B37.5,37-39F,37.0,39.0,between,between,0.05,3,7,20,210,2024-12-01 04:00:00 UTC
2024-12-01,KXHIGHPHIL-24DEC01-B39.5,39-41F,39.0,41.0,between,between,0.36,33,39,0,827,2024-12-01 05:00:00 UTC
2024-12-01,KXHIGHPHIL-24DEC01-B41.5,41-43F,41.0,43.0,between,between,0.485,46,51,0,233,2024-12-01 05:00:00 UTC
