station_id,station_name,icao,asos_available
USW00004725,"BINGHAMTON, NY (166mi N)",KBGM,yes
USW00004751,"BRADFORD RGNL AP, PA (222mi NW)",KBFD,yes
USW00004781,"ISLIP-LI MACARTHUR AP, NY (129mi NE)",KISP,yes
USW00004787,"DUBOIS RGNL AP, PA (213mi NW)",KDUJ,yes
USW00013701,"ABERDEEN PHILLIPS FLD, MD (57mi SW)",KAPG,yes
USW00013702,"LANGLEY AFB, VA (202mi S)",KLFI,yes
USW00013705,"ANDREWS AFB, MD (114mi SW)",KADW,yes
USW00013707,"DOVER AFB, DE (53mi S)",KDOV,yes
USW00013721,"PATUXENT RIVER NAS, MD (126mi SW)",KNHK,yes
USW00013730,"FREDERICK, MD (123mi W)",KFDK,yes
USW00013734,"MARTINSBURG, WV (150mi W)",KMRB,yes
USW00013735,"MILLVILLE MUNI AP, NJ (36mi S)",KMIV,yes
USW00013736,"MORGANTOWN MUNI AP, WV (250mi W)",KMGW,yes
USW00013737,"NORFOLK INTL AP, VA (212mi S)",KORF,yes
USW00013739,Philadelphia International Airport (Target),KPHL,yes
USW00013743,"REAGAN NATIONAL AP, VA (120mi SW)",KDCA,yes
USW00013750,"NORFOLK NAS, VA (211mi S)",KNGU,yes
USW00013764,"GEORGETOWN-DELAWARE COASTAL AP, DE (82mi S)",KGED,yes
USW00013769,"OCEANA NAS, VA (216mi S)",KNTU,yes
USW00013773,"QUANTICO MCAS, VA (146mi SW)",KNYG,yes
USW00013781,"WILMINGTON NEW CASTLE CO AP, DE (24mi SW)",KILG,yes
USW00014706,"MCGUIRE AFB, NJ (35mi E)",KWRI,yes
USW00014711,"HARRISBURG INTL AP, PA (85mi W)",KMDT,yes
USW00014712,"READING RGNL AP, PA (52mi NW)",KRDG,yes
USW00014734,"NEWARK LIBERTY INTL AP, NJ (79mi NE)",KEWR,yes
USW00014735,"ALBANY INTL AP, NY (212mi N)",KALB,yes
USW00014736,"ALTOONA BLAIR CO AP, PA (166mi W)",KAOO,yes
USW00014737,"ALLENTOWN LEHIGH VLY INTL AP, PA (55mi N)",KABE,yes
USW00014740,"HARTFORD-BRADLEY INTL AP, CT (195mi NE)",KBDL,yes
USW00014748,"ELMIRA CORNING RGNL AP, NY (180mi NW)",KELM,yes
USW00014751,"HARRISBURG CAPITAL CITY AP, PA (89mi W)",KCXY,yes
USW00014771,"SYRACUSE HANCOCK INTL AP, NY (228mi N)",KSYR,yes
USW00014777,"WILKES-BARRE/SCRANTON INTL AP, PA (104mi N)",KAVP,yes
USW00014778,"WILLIAMSPORT RGNL AP, PA (130mi NW)",KIPT,yes
USW00014780,"LAKEHURST AP, NJ (50mi E)",KNEL,yes
USW00014792,"TRENTON-MERCER AP, NJ (35mi NE)",KTTN,yes
USW00093720,"SALISBURY-WICOMICO RGNL AP, MD (107mi S)",KSBY,yes
USW00093721,"BALTIMORE-WASHINGTON INTL AP, MD (92mi SW)",KBWI,yes
USW00093728,"DAVISON AAF, VA (132mi SW)",KDAA,yes
USW00093730,"ATLANTIC CITY INTL AP, NJ (46mi SE)",KACY,yes
USW00093733,"FT MEADE TPTN AAF, MD (99mi SW)",KFME,yes
USW00093735,"FT EUSTIS FELKER AAF, VA (203mi S)",KFAF,yes
USW00093738,"DULLES INTL AP, VA (135mi SW)",KIAD,yes
USW00093739,"WALLOPS ISLAND, VA (134mi S)",KWAL,yes
USW00094702,"SIKORSKY MEM AP, CT (142mi NE)",KBDR,yes
USW00094704,"DANSVILLE MUNI AP, NY (227mi NW)",KDSV,yes
USW00094728,"CENTRAL PARK, NY (91mi NE)",KNYC,yes
USW00094732,"NE PHILA AP, PA (18mi NE)",KPNE,yes
