date,tmax_f
2025-01-01,51.08
2025-01-02,42.980000000000004
2025-01-03,39.02
2025-01-04,33.08
2025-01-05,33.08
2025-01-06,30.2
2025-01-07,33.08
2025-01-08,30.2
2025-01-09,33.08
2025-01-10,39.02
2025-01-11,35.96
2025-01-12,42.08
2025-01-13,42.08
2025-01-14,35.06
2025-01-15,32.0
2025-01-16,30.2
2025-01-17,42.08
2025-01-18,46.04
2025-01-19,41.0
2025-01-20,26.240000000000002
2025-01-21,19.22
2025-01-22,20.12
2025-01-23,28.22
2025-01-24,33.08
2025-01-25,33.08
2025-01-26,42.980000000000004
2025-01-27,39.92
2025-01-28,42.08
2025-01-29,51.98
2025-01-30,37.94
2025-01-31,48.02
2025-02-01,48.02
2025-02-02,31.1
2025-02-03,48.92
2025-02-04,46.94
2025-02-05,35.96
2025-02-06,37.94
2025-02-07,42.980000000000004
2025-02-08,35.06
2025-02-09,35.96
2025-02-10,37.04
2025-02-11,35.06
2025-02-12,35.96
2025-02-13,46.04
2025-02-14,35.96
2025-02-15,35.06
2025-02-16,46.94
2025-02-17,35.96
2025-02-18,27.14
2025-02-19,30.2
2025-02-20,29.12
2025-02-21,35.06
2025-02-22,39.92
2025-02-23,46.04
2025-02-24,48.92
2025-02-25,57.02
2025-02-26,55.94
2025-02-27,53.96
2025-02-28,51.08
2025-03-01,64.04
2025-03-02,33.08
2025-03-03,39.02
2025-03-04,51.98
2025-03-05,53.96
2025-03-06,55.04
2025-03-07,50.0
2025-03-08,44.96
2025-03-09,53.06
2025-03-10,66.02
2025-03-11,64.94
2025-03-12,55.04
2025-03-13,50.0
2025-03-14,57.02
2025-03-15,48.92
2025-03-16,60.980000000000004
2025-03-17,59.0
2025-03-18,60.980000000000004
2025-03-19,62.959999999999994
2025-03-20,51.98
2025-03-21,51.08
2025-03-22,64.04
2025-03-23,48.02
2025-03-24,50.0
2025-03-25,57.92
2025-03-26,53.06
2025-03-27,53.06
2025-03-28,62.959999999999994
2025-03-29,80.96
2025-03-30,48.02
2025-03-31,73.04
2025-04-01,57.92
2025-04-02,48.92
2025-04-03,73.04
2025-04-04,73.04
2025-04-05,59.0
2025-04-06,55.94
2025-04-07,50.0
2025-04-08,44.96
2025-04-09,48.92
2025-04-10,51.08
2025-04-11,46.04
2025-04-12,39.92
2025-04-13,57.92
2025-04-14,66.02
2025-04-15,69.08
2025-04-16,50.0
2025-04-17,64.04
