date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2023-01-01,HIGHNY-23JAN01-T50,HIGHNY-23JAN01,Below 50F,50.0,,50.0,below,less,0.0,0,55.04,no,0,0,0.0,0.01
2023-01-01,HIGHNY-23JAN01-B50.5,HIGHNY-23JAN01,50-52F,50.0,50.0,52.0,between,between,0.03,0,55.04,no,0,372,0.0,0.01
2023-01-01,HIGHNY-23JAN01-B52.5,HIGHNY-23JAN01,52-54F,52.0,52.0,54.0,between,between,0.01,0,55.04,no,0,1624,0.0,0.01
2023-01-01,HIGHNY-23JAN01-B54.5,HIGHNY-23JAN01,54-56F,54.0,54.0,56.0,between,between,0.99,1,55.04,yes,100,2444,0.9,1.0
2023-01-01,HIGHNY-23JAN01-B56.5,HIGHNY-23JAN01,56-58F,56.0,56.0,58.0,between,between,0.01,0,55.04,no,0,868,0.0,0.1
2023-01-01,HIGHNY-23JAN01-T57,HIGHNY-23JAN01,Above 57F,57.0,57.0,,above,greater,0.07,0,55.04,no,0,1669,0.0,0.01
2023-01-02,HIGHNY-23JAN02-T50,HIGHNY-23JAN02,Below 50F,50.0,,50.0,below,less,0.0,0,55.94,no,0,0,0.0,0.01
2023-01-02,HIGHNY-23JAN02-B50.5,HIGHNY-23JAN02,50-52F,50.0,50.0,52.0,between,between,0.01,0,55.94,no,0,178,0.0,0.01
2023-01-02,HIGHNY-23JAN02-B52.5,HIGHNY-23JAN02,52-54F,52.0,52.0,54.0,between,between,0.01,0,55.94,no,0,1847,0.0,0.01
2023-01-02,HIGHNY-23JAN02-B54.5,HIGHNY-23JAN02,54-56F,54.0,54.0,56.0,between,between,0.01,0,55.94,no,0,2162,0.0,0.01
2023-01-02,HIGHNY-23JAN02-B56.5,HIGHNY-23JAN02,56-58F,56.0,56.0,58.0,between,between,0.99,1,55.94,yes,100,2803,0.99,1.0
2023-01-02,HIGHNY-23JAN02-T57,HIGHNY-23JAN02,Above 57F,57.0,57.0,,above,greater,0.01,0,55.94,no,0,5304,0.0,0.08
2023-01-03,HIGHNY-23JAN03-T53,HIGHNY-23JAN03,Below 53F,53.0,,53.0,below,less,0.01,0,57.92,no,0,627,0.0,0.01
2023-01-03,HIGHNY-23JAN03-B53.5,HIGHNY-23JAN03,53-55F,53.0,53.0,55.0,between,between,0.01,0,57.92,no,0,2219,0.0,0.01
2023-01-03,HIGHNY-23JAN03-B55.5,HIGHNY-23JAN03,55-57F,55.0,55.0,57.0,between,between,0.01,0,57.92,no,0,5248,0.0,0.01
2023-01-03,HIGHNY-23JAN03-B57.5,HIGHNY-23JAN03,57-59F,57.0,57.0,59.0,between,between,0.95,1,57.92,yes,100,1816,0.84,1.0
2023-01-03,HIGHNY-23JAN03-B59.5,HIGHNY-23JAN03,59-61F,59.0,59.0,61.0,between,between,0.02,0,57.92,no,0,3084,0.0,0.14
2023-01-03,HIGHNY-23JAN03-T60,HIGHNY-23JAN03,Above 60F,60.0,60.0,,above,greater,0.02,0,57.92,no,0,1879,0.0,0.01
2023-01-04,HIGHNY-23JAN04-T56,HIGHNY-23JAN04,Below 56F,56.0,,56.0,below,less,0.0,0,66.02,no,0,0,0.0,0.01
2023-01-04,HIGHNY-23JAN04-B56.5,HIGHNY-23JAN04,56-58F,56.0,56.0,58.0,between,between,0.0,0,66.02,no,0,0,0.0,0.01
2023-01-04,HIGHNY-23JAN04-B58.5,HIGHNY-23JAN04,58-60F,58.0,58.0,60.0,between,between,0.0,0,66.02,no,0,0,0.0,0.01
