date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2025-01-01,KXHIGHNY-25JAN01-T47,KXHIGHNY-25JAN01,Below 47F,47.0,,47.0,below,less,0.01,0,51.08,no,0,509,0.0,0.01
2025-01-01,KXHIGHNY-25JAN01-B47.5,KXHIGHNY-25JAN01,47-49F,47.0,47.0,49.0,between,between,0.01,0,51.08,no,0,9155,0.0,0.01
2025-01-01,KXHIGHNY-25JAN01-B49.5,KXHIGHNY-25JAN01,49-51F,49.0,49.0,51.0,between,between,0.01,0,51.08,no,0,51455,0.0,0.01
2025-01-01,KXHIGHNY-25JAN01-B51.5,KXHIGHNY-25JAN01,51-53F,51.0,51.0,53.0,between,between,0.99,1,51.08,yes,100,27430,0.99,1.0
2025-01-01,KXHIGHNY-25JAN01-B53.5,KXHIGHNY-25JAN01,53-55F,53.0,53.0,55.0,between,between,0.01,0,51.08,no,0,8651,0.0,0.01
2025-01-01,KXHIGHNY-25JAN01-T54,KXHIGHNY-25JAN01,Above 54F,54.0,54.0,,above,greater,0.01,0,51.08,no,0,2417,0.0,0.01
2025-01-02,KXHIGHNY-25JAN02-T36,KXHIGHNY-25JAN02,Below 36F,36.0,,36.0,below,less,0.0,0,42.98,no,0,0,0.0,0.01
2025-01-02,KXHIGHNY-25JAN02-B36.5,KXHIGHNY-25JAN02,36-38F,36.0,36.0,38.0,between,between,0.03,0,42.98,no,0,97,0.0,0.01
2025-01-02,KXHIGHNY-25JAN02-B38.5,KXHIGHNY-25JAN02,38-40F,38.0,38.0,40.0,between,between,0.01,0,42.98,no,0,4485,0.0,0.01
2025-01-02,KXHIGHNY-25JAN02-B40.5,KXHIGHNY-25JAN02,40-42F,40.0,40.0,42.0,between,between,0.01,0,42.98,no,0,21817,0.0,0.01
2025-01-02,KXHIGHNY-25JAN02-B42.5,KXHIGHNY-25JAN02,42-44F,42.0,42.0,44.0,between,between,0.99,1,42.98,yes,100,15079,0.99,1.0
2025-01-02,KXHIGHNY-25JAN02-T43,KXHIGHNY-25JAN02,Above 43F,43.0,43.0,,above,greater,0.01,0,42.98,no,0,18862,0.0,0.01
2025-01-03,KXHIGHNY-25JAN03-B35.5,KXHIGHNY-25JAN03,35-37F,35.0,35.0,37.0,between,between,0.05,0,39.02,no,0,91,0.0,0.01
2025-01-03,KXHIGHNY-25JAN03-T35,KXHIGHNY-25JAN03,Below 35F,35.0,,35.0,below,less,0.01,0,39.02,no,0,404,0.0,0.01
2025-01-03,KXHIGHNY-25JAN03-B37.5,KXHIGHNY-25JAN03,37-39F,37.0,37.0,39.0,between,between,0.01,0,39.02,no,0,42201,0.0,0.01
2025-01-03,KXHIGHNY-25JAN03-B39.5,KXHIGHNY-25JAN03,39-41F,39.0,39.0,41.0,between,between,0.99,1,39.02,yes,100,19841,0.99,1.0
2025-01-03,KXHIGHNY-25JAN03-B41.5,KXHIGHNY-25JAN03,41-43F,41.0,41.0,43.0,between,between,0.01,0,39.02,no,0,9955,0.0,0.01
2025-01-03,KXHIGHNY-25JAN03-T42,KXHIGHNY-25JAN03,Above 42F,42.0,42.0,,above,greater,0.01,0,39.02,no,0,1923,0.0,0.01
2025-01-04,KXHIGHNY-25JAN04-B31.5,KXHIGHNY-25JAN04,31-33F,31.0,31.0,33.0,between,between,0.01,0,33.08,no,0,28285,0.0,0.01
2025-01-04,KXHIGHNY-25JAN04-T31,KXHIGHNY-25JAN04,Below 31F,31.0,,31.0,below,less,0.0,0,33.08,no,0,0,0.0,0.01
