date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2026-02-04,KXHIGHTATL-26FEB04-T51,KXHIGHTATL-26FEB04,Below 51F,51.0,,51.0,below,less,0.01,0,57.0,no,0,2521,0.0,1.0
2026-02-04,KXHIGHTATL-26FEB04-B51.5,KXHIGHTATL-26FEB04,51-53F,51.0,51.0,53.0,between,between,0.01,0,57.0,no,0,3458,0.0,1.0
2026-02-04,KXHIGHTATL-26FEB04-B53.5,KXHIGHTATL-26FEB04,53-55F,53.0,53.0,55.0,between,between,0.01,0,57.0,no,0,4970,0.0,1.0
2026-02-04,KXHIGHTATL-26FEB04-B55.5,KXHIGHTATL-26FEB04,55-57F,55.0,55.0,57.0,between,between,0.01,0,57.0,no,0,6402,0.0,1.0
2026-02-04,KXHIGHTATL-26FEB04-B57.5,KXHIGHTATL-26FEB04,57-59F,57.0,57.0,59.0,between,between,0.99,1,57.0,yes,100,2805,0.0,1.0
2026-02-04,KXHIGHTATL-26FEB04-T58,KXHIGHTATL-26FEB04,Above 58F,58.0,58.0,,above,greater,0.01,0,57.0,no,0,1107,0.0,1.0
2026-02-05,KXHIGHTATL-26FEB05-T42,KXHIGHTATL-26FEB05,Below 42F,42.0,,42.0,below,less,0.01,0,45.0,no,0,4721,0.0,1.0
2026-02-05,KXHIGHTATL-26FEB05-B42.5,KXHIGHTATL-26FEB05,42-44F,42.0,42.0,44.0,between,between,0.01,0,45.0,no,0,5355,0.0,1.0
2026-02-05,KXHIGHTATL-26FEB05-B44.5,KXHIGHTATL-26FEB05,44-46F,44.0,44.0,46.0,between,between,0.99,1,45.0,yes,100,6326,0.0,1.0
2026-02-05,KXHIGHTATL-26FEB05-B46.5,KXHIGHTATL-26FEB05,46-48F,46.0,46.0,48.0,between,between,0.01,0,45.0,no,0,2007,0.0,1.0
2026-02-05,KXHIGHTATL-26FEB05-B48.5,KXHIGHTATL-26FEB05,48-50F,48.0,48.0,50.0,between,between,0.01,0,45.0,no,0,2651,0.0,1.0
2026-02-05,KXHIGHTATL-26FEB05-T49,KXHIGHTATL-26FEB05,Above 49F,49.0,49.0,,above,greater,0.01,0,45.0,no,0,4233,0.0,1.0
2026-02-06,KXHIGHTATL-26FEB06-T55,KXHIGHTATL-26FEB06,Below 55F,55.0,,55.0,below,less,0.01,0,65.0,no,0,1309,0.0,1.0
2026-02-06,KXHIGHTATL-26FEB06-B55.5,KXHIGHTATL-26FEB06,55-57F,55.0,55.0,57.0,between,between,0.01,0,65.0,no,0,500,0.0,1.0
2026-02-06,KXHIGHTATL-26FEB06-B57.5,KXHIGHTATL-26FEB06,57-59F,57.0,57.0,59.0,between,between,0.01,0,65.0,no,0,1562,0.0,1.0
2026-02-06,KXHIGHTATL-26FEB06-B59.5,KXHIGHTATL-26FEB06,59-61F,59.0,59.0,61.0,between,between,0.01,0,65.0,no,0,5569,0.0,1.0
2026-02-06,KXHIGHTATL-26FEB06-B61.5,KXHIGHTATL-26FEB06,61-63F,61.0,61.0,63.0,between,between,0.01,0,65.0,no,0,3089,0.0,1.0
2026-02-06,KXHIGHTATL-26FEB06-T62,KXHIGHTATL-26FEB06,Above 62F,62.0,62.0,,above,greater,0.99,1,65.0,yes,100,5587,0.0,1.0
2026-02-07,KXHIGHTATL-26FEB07-T44,KXHIGHTATL-26FEB07,Below 44F,44.0,,44.0,below,less,0.01,0,55.0,no,0,5353,0.0,1.0
2026-02-07,KXHIGHTATL-26FEB07-B44.5,KXHIGHTATL-26FEB07,44-46F,44.0,44.0,46.0,between,between,0.01,0,55.0,no,0,807,0.0,1.0
2026-02-07,KXHIGHTATL-26FEB07-B46.5,KXHIGHTATL-26FEB07,46-48F,46.0,46.0,48.0,between,between,0.01,0,55.0,no,0,2884,0.0,1.0
2026-02-07,KXHIGHTATL-26FEB07-B48.5,KXHIGHTATL-26FEB07,48-50F,48.0,48.0,50.0,between,between,0.01,0,55.0,no,0,4012,0.0,1.0
2026-02-07,KXHIGHTATL-26FEB07-B50.5,KXHIGHTATL-26FEB07,50-52F,50.0,50.0,52.0,between,between,0.01,0,55.0,no,0,7973,0.0,1.0
2026-02-07,KXHIGHTATL-26FEB07-T51,KXHIGHTATL-26FEB07,Above 51F,51.0,51.0,,above,greater,0.99,1,55.0,yes,100,4184,0.0,1.0
2026-02-08,KXHIGHTATL-26FEB08-T54,KXHIGHTATL-26FEB08,Below 54F,54.0,,54.0,below,less,0.01,0,61.0,no,0,22305,0.0,1.0
2026-02-08,KXHIGHTATL-26FEB08-B54.5,KXHIGHTATL-26FEB08,54-56F,54.0,54.0,56.0,between,between,0.01,0,61.0,no,0,15952,0.0,1.0
2026-02-08,KXHIGHTATL-26FEB08-B56.5,KXHIGHTATL-26FEB08,56-58F,56.0,56.0,58.0,between,between,0.01,0,61.0,no,0,29873,0.0,1.0
2026-02-08,KXHIGHTATL-26FEB08-B58.5,KXHIGHTATL-26FEB08,58-60F,58.0,58.0,60.0,between,between,0.01,0,61.0,no,0,65192,0.0,1.0
2026-02-08,KXHIGHTATL-26FEB08-B60.5,KXHIGHTATL-26FEB08,60-62F,60.0,60.0,62.0,between,between,0.99,1,61.0,yes,100,12076,0.0,1.0
2026-02-08,KXHIGHTATL-26FEB08-T61,KXHIGHTATL-26FEB08,Above 61F,61.0,61.0,,above,greater,0.01,0,61.0,no,0,15432,0.0,1.0
2026-02-09,KXHIGHTATL-26FEB09-T63,KXHIGHTATL-26FEB09,Below 63F,63.0,,63.0,below,less,0.01,0,68.0,no,0,6089,0.0,0.01
2026-02-09,KXHIGHTATL-26FEB09-B63.5,KXHIGHTATL-26FEB09,63-65F,63.0,63.0,65.0,between,between,0.01,0,68.0,no,0,39208,0.0,0.01
2026-02-09,KXHIGHTATL-26FEB09-B65.5,KXHIGHTATL-26FEB09,65-67F,65.0,65.0,67.0,between,between,0.01,0,68.0,no,0,18010,0.0,0.01
2026-02-09,KXHIGHTATL-26FEB09-B67.5,KXHIGHTATL-26FEB09,67-69F,67.0,67.0,69.0,between,between,0.99,1,68.0,yes,100,10526,0.99,1.0
2026-02-09,KXHIGHTATL-26FEB09-B69.5,KXHIGHTATL-26FEB09,69-71F,69.0,69.0,71.0,between,between,0.01,0,68.0,no,0,7405,0.0,0.01
2026-02-09,KXHIGHTATL-26FEB09-T70,KXHIGHTATL-26FEB09,Above 70F,70.0,70.0,,above,greater,0.01,0,68.0,no,0,6740,0.0,0.01
2026-02-10,KXHIGHTATL-26FEB10-T70,KXHIGHTATL-26FEB10,Below 70F,70.0,,70.0,below,less,0.01,0,70.0,no,0,44814,0.0,0.01
2026-02-10,KXHIGHTATL-26FEB10-B70.5,KXHIGHTATL-26FEB10,70-72F,70.0,70.0,72.0,between,between,0.99,1,70.0,yes,100,9473,0.99,1.0
2026-02-10,KXHIGHTATL-26FEB10-B72.5,KXHIGHTATL-26FEB10,72-74F,72.0,72.0,74.0,between,between,0.01,0,70.0,no,0,8019,0.0,0.01
2026-02-10,KXHIGHTATL-26FEB10-B74.5,KXHIGHTATL-26FEB10,74-76F,74.0,74.0,76.0,between,between,0.01,0,70.0,no,0,4705,0.0,0.01
2026-02-10,KXHIGHTATL-26FEB10-B76.5,KXHIGHTATL-26FEB10,76-78F,76.0,76.0,78.0,between,between,0.01,0,70.0,no,0,4869,0.0,0.01
2026-02-10,KXHIGHTATL-26FEB10-T77,KXHIGHTATL-26FEB10,Above 77F,77.0,77.0,,above,greater,0.01,0,70.0,no,0,1745,0.0,0.03
2026-02-11,KXHIGHTATL-26FEB11-T62,KXHIGHTATL-26FEB11,Below 62F,62.0,,62.0,below,less,0.01,0,65.0,no,0,5351,0.0,0.01
2026-02-11,KXHIGHTATL-26FEB11-B62.5,KXHIGHTATL-26FEB11,62-64F,62.0,62.0,64.0,between,between,0.01,0,65.0,no,0,13295,0.0,0.01
2026-02-11,KXHIGHTATL-26FEB11-B64.5,KXHIGHTATL-26FEB11,64-66F,64.0,64.0,66.0,between,between,0.99,1,65.0,yes,100,8619,0.99,1.0
2026-02-11,KXHIGHTATL-26FEB11-B66.5,KXHIGHTATL-26FEB11,66-68F,66.0,66.0,68.0,between,between,0.01,0,65.0,no,0,4321,0.0,0.01
2026-02-11,KXHIGHTATL-26FEB11-B68.5,KXHIGHTATL-26FEB11,68-70F,68.0,68.0,70.0,between,between,0.01,0,65.0,no,0,7803,0.0,0.01
2026-02-11,KXHIGHTATL-26FEB11-T69,KXHIGHTATL-26FEB11,Above 69F,69.0,69.0,,above,greater,0.01,0,65.0,no,0,2561,0.0,0.01
2026-02-12,KXHIGHTATL-26FEB12-T59,KXHIGHTATL-26FEB12,Below 59F,59.0,,59.0,below,less,0.01,0,65.0,no,0,1999,0.0,1.0
2026-02-12,KXHIGHTATL-26FEB12-B59.5,KXHIGHTATL-26FEB12,59-61F,59.0,59.0,61.0,between,between,0.01,0,65.0,no,0,40498,0.0,1.0
2026-02-12,KXHIGHTATL-26FEB12-B61.5,KXHIGHTATL-26FEB12,61-63F,61.0,61.0,63.0,between,between,0.01,0,65.0,no,0,12638,0.0,1.0
2026-02-12,KXHIGHTATL-26FEB12-B63.5,KXHIGHTATL-26FEB12,63-65F,63.0,63.0,65.0,between,between,0.01,0,65.0,no,0,11666,0.0,1.0
2026-02-12,KXHIGHTATL-26FEB12-B65.5,KXHIGHTATL-26FEB12,65-67F,65.0,65.0,67.0,between,between,0.99,1,65.0,yes,100,5966,0.0,1.0
2026-02-12,KXHIGHTATL-26FEB12-T66,KXHIGHTATL-26FEB12,Above 66F,66.0,66.0,,above,greater,0.01,0,65.0,no,0,3122,0.0,1.0
2026-02-13,KXHIGHTATL-26FEB13-T60,KXHIGHTATL-26FEB13,Below 60F,60.0,,60.0,below,less,0.01,0,63.0,no,0,15754,0.0,1.0
2026-02-13,KXHIGHTATL-26FEB13-B60.5,KXHIGHTATL-26FEB13,60-62F,60.0,60.0,62.0,between,between,0.01,0,63.0,no,0,30142,0.0,1.0
2026-02-13,KXHIGHTATL-26FEB13-B62.5,KXHIGHTATL-26FEB13,62-64F,62.0,62.0,64.0,between,between,0.99,1,63.0,yes,100,11508,0.0,1.0
2026-02-13,KXHIGHTATL-26FEB13-B64.5,KXHIGHTATL-26FEB13,64-66F,64.0,64.0,66.0,between,between,0.01,0,63.0,no,0,9261,0.0,1.0
2026-02-13,KXHIGHTATL-26FEB13-B66.5,KXHIGHTATL-26FEB13,66-68F,66.0,66.0,68.0,between,between,0.01,0,63.0,no,0,5058,0.0,1.0
2026-02-13,KXHIGHTATL-26FEB13-T67,KXHIGHTATL-26FEB13,Above 67F,67.0,67.0,,above,greater,0.01,0,63.0,no,0,3678,0.0,1.0
2026-02-14,KXHIGHTATL-26FEB14-T61,KXHIGHTATL-26FEB14,Below 61F,61.0,,61.0,below,less,0.01,0,62.0,no,0,7158,0.0,1.0
2026-02-14,KXHIGHTATL-26FEB14-B61.5,KXHIGHTATL-26FEB14,61-63F,61.0,61.0,63.0,between,between,0.99,1,62.0,yes,100,12512,0.0,1.0
2026-02-14,KXHIGHTATL-26FEB14-B63.5,KXHIGHTATL-26FEB14,63-65F,63.0,63.0,65.0,between,between,0.01,0,62.0,no,0,6248,0.0,1.0
2026-02-14,KXHIGHTATL-26FEB14-B65.5,KXHIGHTATL-26FEB14,65-67F,65.0,65.0,67.0,between,between,0.01,0,62.0,no,0,5616,0.0,1.0
2026-02-14,KXHIGHTATL-26FEB14-B67.5,KXHIGHTATL-26FEB14,67-69F,67.0,67.0,69.0,between,between,0.01,0,62.0,no,0,5717,0.0,1.0
2026-02-14,KXHIGHTATL-26FEB14-T68,KXHIGHTATL-26FEB14,Above 68F,68.0,68.0,,above,greater,0.01,0,62.0,no,0,3290,0.0,1.0
2026-02-15,KXHIGHTATL-26FEB15-T56,KXHIGHTATL-26FEB15,Below 56F,56.0,,56.0,below,less,0.01,0,60.0,no,0,10807,0.0,1.0
2026-02-15,KXHIGHTATL-26FEB15-B56.5,KXHIGHTATL-26FEB15,56-58F,56.0,56.0,58.0,between,between,0.01,0,60.0,no,0,15761,0.0,1.0
2026-02-15,KXHIGHTATL-26FEB15-B58.5,KXHIGHTATL-26FEB15,58-60F,58.0,58.0,60.0,between,between,0.01,0,60.0,no,0,20483,0.0,1.0
2026-02-15,KXHIGHTATL-26FEB15-B60.5,KXHIGHTATL-26FEB15,60-62F,60.0,60.0,62.0,between,between,0.99,1,60.0,yes,100,12907,0.0,1.0
2026-02-15,KXHIGHTATL-26FEB15-B62.5,KXHIGHTATL-26FEB15,62-64F,62.0,62.0,64.0,between,between,0.01,0,60.0,no,0,9504,0.0,1.0
2026-02-15,KXHIGHTATL-26FEB15-T63,KXHIGHTATL-26FEB15,Above 63F,63.0,63.0,,above,greater,0.01,0,60.0,no,0,6627,0.0,1.0
2026-02-16,KXHIGHTATL-26FEB16-T63,KXHIGHTATL-26FEB16,Below 63F,63.0,,63.0,below,less,0.01,0,69.0,no,0,2496,0.0,1.0
2026-02-16,KXHIGHTATL-26FEB16-B63.5,KXHIGHTATL-26FEB16,63-65F,63.0,63.0,65.0,between,between,0.01,0,69.0,no,0,11434,0.0,1.0
2026-02-16,KXHIGHTATL-26FEB16-B65.5,KXHIGHTATL-26FEB16,65-67F,65.0,65.0,67.0,between,between,0.01,0,69.0,no,0,12885,0.0,1.0
2026-02-16,KXHIGHTATL-26FEB16-B67.5,KXHIGHTATL-26FEB16,67-69F,67.0,67.0,69.0,between,between,0.01,0,69.0,no,0,26806,0.0,1.0
2026-02-16,KXHIGHTATL-26FEB16-B69.5,KXHIGHTATL-26FEB16,69-71F,69.0,69.0,71.0,between,between,0.99,1,69.0,yes,100,10209,0.0,1.0
2026-02-16,KXHIGHTATL-26FEB16-T70,KXHIGHTATL-26FEB16,Above 70F,70.0,70.0,,above,greater,0.01,0,69.0,no,0,4759,0.0,1.0
