date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2023-05-11,HIGHAUS--23MAY11-T84,HIGHAUS-23MAY11,Below 84F,84.0,,84.0,below,less,0.34,0,89.06,no,0,213,0.0,0.01
2023-05-11,HIGHAUS--23MAY11-B84.5,HIGHAUS-23MAY11,84-86F,84.0,84.0,86.0,between,between,0.0,0,89.06,no,0,0,0.0,0.01
2023-05-11,HIGHAUS--23MAY11-B86.5,HIGHAUS-23MAY11,86-88F,86.0,86.0,88.0,between,between,0.0,0,89.06,no,0,0,0.0,0.01
2023-05-11,HIGHAUS--23MAY11-B88.5,HIGHAUS-23MAY11,88-90F,88.0,88.0,90.0,between,between,0.0,1,89.06,yes,100,0,0.97,1.0
2023-05-11,HIGHAUS--23MAY11-B90.5,HIGHAUS-23MAY11,90-92F,90.0,90.0,92.0,between,between,0.05,0,89.06,no,0,30,0.0,0.03
2023-05-11,HIGHAUS--23MAY11-T91,HIGHAUS-23MAY11,Above 91F,91.0,91.0,,above,greater,0.0,0,89.06,no,0,0,0.0,0.14
2023-05-12,HIGHAUS-23MAY12-B85.5,HIGHAUS-23MAY12,85-87F,85.0,85.0,87.0,between,between,0.6,0,87.08000000000001,no,0,2,0.0,0.03
2023-05-12,HIGHAUS-23MAY12-T85,HIGHAUS-23MAY12,Below 85F,85.0,,85.0,below,less,0.15,0,87.08000000000001,no,0,99,0.0,0.01
2023-05-12,HIGHAUS-23MAY12-B87.5,HIGHAUS-23MAY12,87-89F,87.0,87.0,89.0,between,between,0.0,1,87.08000000000001,yes,100,0,0.97,1.0
2023-05-12,HIGHAUS-23MAY12-B89.5,HIGHAUS-23MAY12,89-91F,89.0,89.0,91.0,between,between,0.0,0,87.08000000000001,no,0,0,0.0,0.07
2023-05-12,HIGHAUS-23MAY12-B91.5,HIGHAUS-23MAY12,91-93F,91.0,91.0,93.0,between,between,0.0,0,87.08000000000001,no,0,0,0.0,0.04
2023-05-12,HIGHAUS-23MAY12-T92,HIGHAUS-23MAY12,Above 92F,92.0,92.0,,above,greater,0.0,0,87.08000000000001,no,0,0,0.0,0.01
2023-05-13,HIGHAUS-23MAY13-T76,HIGHAUS-23MAY13,Below 76F,76.0,,76.0,below,less,0.06,0,75.92,no,0,596,0.0,0.02
2023-05-13,HIGHAUS-23MAY13-B76.5,HIGHAUS-23MAY13,76-78F,76.0,76.0,78.0,between,between,0.0,1,75.92,yes,100,0,0.92,1.0
2023-05-13,HIGHAUS-23MAY13-B78.5,HIGHAUS-23MAY13,78-80F,78.0,78.0,80.0,between,between,0.0,0,75.92,no,0,0,0.0,0.97
2023-05-13,HIGHAUS-23MAY13-B80.5,HIGHAUS-23MAY13,80-82F,80.0,80.0,82.0,between,between,0.0,0,75.92,no,0,0,0.0,0.18
2023-05-13,HIGHAUS-23MAY13-B82.5,HIGHAUS-23MAY13,82-84F,82.0,82.0,84.0,between,between,0.0,0,75.92,no,0,0,0.0,0.08
2023-05-13,HIGHAUS-23MAY13-T83,HIGHAUS-23MAY13,Above 83F,83.0,83.0,,above,greater,0.0,0,75.92,no,0,0,0.0,0.04
2023-05-14,HIGHAUS-23MAY14-B75.5,HIGHAUS-23MAY14,75-77F,75.0,75.0,77.0,between,between,0.0,0,84.02,no,0,0,0.0,0.03
2023-05-14,HIGHAUS-23MAY14-T75,HIGHAUS-23MAY14,Below 75F,75.0,,75.0,below,less,0.0,0,84.02,no,0,0,0.0,0.03
2023-05-14,HIGHAUS-23MAY14-B77.5,HIGHAUS-23MAY14,77-79F,77.0,77.0,79.0,between,between,0.18,0,84.02,no,0,16,0.0,0.03
2023-05-14,HIGHAUS-23MAY14-B79.5,HIGHAUS-23MAY14,79-81F,79.0,79.0,81.0,between,between,0.5,0,84.02,no,0,24,0.0,0.03
2023-05-14,HIGHAUS-23MAY14-B81.5,HIGHAUS-23MAY14,81-83F,81.0,81.0,83.0,between,between,0.03,0,84.02,no,0,22,0.0,0.03
2023-05-14,HIGHAUS-23MAY14-T82,HIGHAUS-23MAY14,Above 82F,82.0,82.0,,above,greater,0.17,1,84.02,yes,100,8,0.97,1.0
2023-05-15,HIGHAUS-23MAY15-T79,HIGHAUS-23MAY15,Below 79F,79.0,,79.0,below,less,0.0,0,84.02,no,0,0,0.0,0.01
2023-05-15,HIGHAUS-23MAY15-B79.5,HIGHAUS-23MAY15,79-81F,79.0,79.0,81.0,between,between,0.0,0,84.02,no,0,0,0.0,0.01
2023-05-15,HIGHAUS-23MAY15-B81.5,HIGHAUS-23MAY15,81-83F,81.0,81.0,83.0,between,between,0.58,0,84.02,no,0,4,0.0,0.03
2023-05-15,HIGHAUS-23MAY15-B83.5,HIGHAUS-23MAY15,83-85F,83.0,83.0,85.0,between,between,0.0,1,84.02,yes,100,0,0.91,1.0
2023-05-15,HIGHAUS-23MAY15-B85.5,HIGHAUS-23MAY15,85-87F,85.0,85.0,87.0,between,between,0.5,0,84.02,no,0,25,0.0,0.09
2023-05-15,HIGHAUS-23MAY15-T86,HIGHAUS-23MAY15,Above 86F,86.0,86.0,,above,greater,0.0,0,84.02,no,0,0,0.0,0.06
2023-05-16,HIGHAUS-23MAY16-T78,HIGHAUS-23MAY16,Below 78F,78.0,,78.0,below,less,0.0,0,84.02,no,0,0,0.0,0.01
2023-05-16,HIGHAUS-23MAY16-B78.5,HIGHAUS-23MAY16,78-80F,78.0,78.0,80.0,between,between,0.0,0,84.02,no,0,0,0.0,0.01
2023-05-16,HIGHAUS-23MAY16-B80.5,HIGHAUS-23MAY16,80-82F,80.0,80.0,82.0,between,between,0.01,0,84.02,no,0,65,0.0,0.01
2023-05-16,HIGHAUS-23MAY16-B82.5,HIGHAUS-23MAY16,82-84F,82.0,82.0,84.0,between,between,0.35,0,84.02,no,0,85,0.0,0.03
2023-05-16,HIGHAUS-23MAY16-B84.5,HIGHAUS-23MAY16,84-86F,84.0,84.0,86.0,between,between,0.58,1,84.02,yes,100,15,0.97,1.0
2023-05-16,HIGHAUS-23MAY16-T85,HIGHAUS-23MAY16,Above 85F,85.0,85.0,,above,greater,0.0,0,84.02,no,0,0,0.0,0.03
2023-05-17,HIGHAUS-23MAY17-B83.5,HIGHAUS-23MAY17,83-85F,83.0,83.0,85.0,between,between,0.45,0,87.98,no,0,300,0.0,0.01
2023-05-17,HIGHAUS-23MAY17-T83,HIGHAUS-23MAY17,Below 83F,83.0,,83.0,below,less,0.0,0,87.98,no,0,0,0.0,0.01
2023-05-17,HIGHAUS-23MAY17-B85.5,HIGHAUS-23MAY17,85-87F,85.0,85.0,87.0,between,between,0.15,0,87.98,no,0,189,0.0,0.03
2023-05-17,HIGHAUS-23MAY17-B87.5,HIGHAUS-23MAY17,87-89F,87.0,87.0,89.0,between,between,0.0,1,87.98,yes,100,0,0.97,1.0
2023-05-17,HIGHAUS-23MAY17-B89.5,HIGHAUS-23MAY17,89-91F,89.0,89.0,91.0,between,between,0.01,0,87.98,no,0,4,0.0,0.03
2023-05-17,HIGHAUS-23MAY17-T90,HIGHAUS-23MAY17,Above 90F,90.0,90.0,,above,greater,0.0,0,87.98,no,0,0,0.0,0.01
2023-05-18,HIGHAUS-23MAY18-B85.5,HIGHAUS-23MAY18,85-87F,85.0,85.0,87.0,between,between,0.1,0,89.06,no,0,9,0.0,0.01
2023-05-18,HIGHAUS-23MAY18-T85,HIGHAUS-23MAY18,Below 85F,85.0,,85.0,below,less,0.02,0,89.06,no,0,21,0.0,0.01
2023-05-18,HIGHAUS-23MAY18-B87.5,HIGHAUS-23MAY18,87-89F,87.0,87.0,89.0,between,between,0.14,0,89.06,no,0,208,0.0,0.01
2023-05-18,HIGHAUS-23MAY18-B89.5,HIGHAUS-23MAY18,89-91F,89.0,89.0,91.0,between,between,0.31,1,89.06,yes,100,10,0.97,1.0
2023-05-18,HIGHAUS-23MAY18-B91.5,HIGHAUS-23MAY18,91-93F,91.0,91.0,93.0,between,between,0.06,0,89.06,no,0,31,0.0,0.03
2023-05-18,HIGHAUS-23MAY18-T92,HIGHAUS-23MAY18,Above 92F,92.0,92.0,,above,greater,0.01,0,89.06,no,0,10,0.0,0.01
2023-05-19,HIGHAUS-23MAY19-B87.5,HIGHAUS-23MAY19,87-89F,87.0,87.0,89.0,between,between,0.0,0,89.96000000000001,no,0,0,0.0,0.03
2023-05-19,HIGHAUS-23MAY19-T87,HIGHAUS-23MAY19,Below 87F,87.0,,87.0,below,less,0.04,0,89.96000000000001,no,0,16,0.0,0.01
2023-05-19,HIGHAUS-23MAY19-B89.5,HIGHAUS-23MAY19,89-91F,89.0,89.0,91.0,between,between,0.35,1,89.96000000000001,yes,100,2,0.97,1.0
2023-05-19,HIGHAUS-23MAY19-B91.5,HIGHAUS-23MAY19,91-93F,91.0,91.0,93.0,between,between,0.99,0,89.96000000000001,no,0,1,0.0,0.03
2023-05-19,HIGHAUS-23MAY19-B93.5,HIGHAUS-23MAY19,93-95F,93.0,93.0,95.0,between,between,0.0,0,89.96000000000001,no,0,0,0.0,0.01
2023-05-19,HIGHAUS-23MAY19-T94,HIGHAUS-23MAY19,Above 94F,94.0,94.0,,above,greater,0.12,0,89.96000000000001,no,0,24,0.0,0.01
2023-05-20,HIGHAUS-23MAY20-T79,HIGHAUS-23MAY20,Below 79F,79.0,,79.0,below,less,0.03,0,84.02,no,0,16,0.0,0.08
2023-05-20,HIGHAUS-23MAY20-B79.5,HIGHAUS-23MAY20,79-81F,79.0,79.0,81.0,between,between,0.0,0,84.02,no,0,0,0.0,0.12
