date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2022-12-22,HIGHCHI-22DEC22-T30,HIGHCHI-22DEC22,Below 30F,30.0,,30.0,below,less,0.01,0,34.0,no,0,198,0.0,0.01
2022-12-22,HIGHCHI-22DEC22-B30.5,HIGHCHI-22DEC22,30-32F,30.0,30.0,32.0,between,between,0.24,0,34.0,no,0,192,0.0,0.01
2022-12-22,HIGHCHI-22DEC22-B32.5,HIGHCHI-22DEC22,32-34F,32.0,32.0,34.0,between,between,0.01,0,34.0,no,0,2359,0.0,0.01
2022-12-22,HIGHCHI-22DEC22-B34.5,HIGHCHI-22DEC22,34-36F,34.0,34.0,36.0,between,between,0.99,1,34.0,yes,100,2113,0.99,1.0
2022-12-22,HIGHCHI-22DEC22-B36.5,HIGHCHI-22DEC22,36-38F,36.0,36.0,38.0,between,between,0.01,0,34.0,no,0,601,0.0,0.01
2022-12-22,HIGHCHI-22DEC22-T37,HIGHCHI-22DEC22,Above 37F,37.0,37.0,,above,greater,0.01,0,34.0,no,0,756,0.0,0.01
2022-12-23,HIGHCHI-22DEC23-B-2.5,HIGHCHI-22DEC23,-3--1F,-3.0,-3.0,-1.0,between,between,0.01,0,-1.0,no,0,2251,0.0,0.01
2022-12-23,HIGHCHI-22DEC23-B-0.5,HIGHCHI-22DEC23,-1-1F,-1.0,-1.0,1.0,between,between,0.34,1,-1.0,yes,100,580,0.35,0.98
2022-12-23,HIGHCHI-22DEC23-B1.5,HIGHCHI-22DEC23,1-3F,1.0,1.0,3.0,between,between,0.78,0,-1.0,no,0,1353,0.05,0.65
2022-12-23,HIGHCHI-22DEC23-B3.5,HIGHCHI-22DEC23,3-5F,3.0,3.0,5.0,between,between,0.01,0,-1.0,no,0,1945,0.0,0.05
2022-12-23,HIGHCHI-22DEC23-T4,HIGHCHI-22DEC23,Above 4F,4.0,4.0,,above,greater,0.01,0,-1.0,no,0,291,0.0,0.02
2022-12-24,HIGHCHI-22DEC24-T5,HIGHCHI-22DEC24,Below 5F,5.0,,5.0,below,less,0.15,0,13.0,no,0,56,0.0,0.01
2022-12-24,HIGHCHI-22DEC24-B5.5,HIGHCHI-22DEC24,5-7F,5.0,5.0,7.0,between,between,0.06,0,13.0,no,0,65,0.0,0.01
2022-12-24,HIGHCHI-22DEC24-B7.5,HIGHCHI-22DEC24,7-9F,7.0,7.0,9.0,between,between,0.01,0,13.0,no,0,1021,0.0,0.01
2022-12-24,HIGHCHI-22DEC24-B9.5,HIGHCHI-22DEC24,9-11F,9.0,9.0,11.0,between,between,0.01,0,13.0,no,0,2505,0.0,0.01
2022-12-24,HIGHCHI-22DEC24-B11.5,HIGHCHI-22DEC24,11-13F,11.0,11.0,13.0,between,between,0.08,0,13.0,no,0,1529,0.0,0.01
2022-12-24,HIGHCHI-22DEC24-T12,HIGHCHI-22DEC24,Above 12F,12.0,12.0,,above,greater,0.99,1,13.0,yes,100,3061,0.99,1.0
2022-12-25,HIGHCHI-22DEC25-T11,HIGHCHI-22DEC25,Below 11F,11.0,,11.0,below,less,0.02,0,14.0,no,0,1785,0.0,0.01
2022-12-25,HIGHCHI-22DEC25-B11.5,HIGHCHI-22DEC25,11-13F,11.0,11.0,13.0,between,between,0.01,0,14.0,no,0,746,0.0,0.01
2022-12-25,HIGHCHI-22DEC25-B13.5,HIGHCHI-22DEC25,13-15F,13.0,13.0,15.0,between,between,0.95,1,14.0,yes,100,1332,0.02,0.99
2022-12-25,HIGHCHI-22DEC25-B15.5,HIGHCHI-22DEC25,15-17F,15.0,15.0,17.0,between,between,0.06,0,14.0,no,0,756,0.01,0.15
2022-12-25,HIGHCHI-22DEC25-B17.5,HIGHCHI-22DEC25,17-19F,17.0,17.0,19.0,between,between,0.07,0,14.0,no,0,1424,0.0,0.24
2022-12-25,HIGHCHI-22DEC25-T18,HIGHCHI-22DEC25,Above 18F,18.0,18.0,,above,greater,0.0,0,14.0,no,0,0,0.0,0.19
2022-12-26,HIGHCHI-22DEC26-T20,HIGHCHI-22DEC26,Below 20F,20.0,,20.0,below,less,0.01,0,22.0,no,0,194,0.0,0.01
2022-12-26,HIGHCHI-22DEC26-B20.5,HIGHCHI-22DEC26,20-22F,20.0,20.0,22.0,between,between,0.01,0,22.0,no,0,3775,0.0,0.01
2022-12-26,HIGHCHI-22DEC26-B22.5,HIGHCHI-22DEC26,22-24F,22.0,22.0,24.0,between,between,0.97,1,22.0,yes,100,1062,0.97,1.0
2022-12-26,HIGHCHI-22DEC26-B24.5,HIGHCHI-22DEC26,24-26F,24.0,24.0,26.0,between,between,0.01,0,22.0,no,0,1215,0.0,0.01
2022-12-26,HIGHCHI-22DEC26-B26.5,HIGHCHI-22DEC26,26-28F,26.0,26.0,28.0,between,between,0.01,0,22.0,no,0,1290,0.0,0.01
2022-12-26,HIGHCHI-22DEC26-T27,HIGHCHI-22DEC26,Above 27F,27.0,27.0,,above,greater,0.0,0,22.0,no,0,0,0.0,0.01
2022-12-27,HIGHCHI-22DEC27-T25,HIGHCHI-22DEC27,Below 25F,25.0,,25.0,below,less,0.01,0,26.0,no,0,3455,0.0,0.01
2022-12-27,HIGHCHI-22DEC27-B25.5,HIGHCHI-22DEC27,25-27F,25.0,25.0,27.0,between,between,0.97,1,26.0,yes,100,2074,0.91,0.99
2022-12-27,HIGHCHI-22DEC27-B27.5,HIGHCHI-22DEC27,27-29F,27.0,27.0,29.0,between,between,0.03,0,26.0,no,0,2657,0.03,0.79
2022-12-27,HIGHCHI-22DEC27-B29.5,HIGHCHI-22DEC27,29-31F,29.0,29.0,31.0,between,between,0.01,0,26.0,no,0,880,0.0,0.08
2022-12-27,HIGHCHI-22DEC27-B31.5,HIGHCHI-22DEC27,31-33F,31.0,31.0,33.0,between,between,0.01,0,26.0,no,0,1958,0.0,0.04
2022-12-27,HIGHCHI-22DEC27-T32,HIGHCHI-22DEC27,Above 32F,32.0,32.0,,above,greater,0.01,0,26.0,no,0,586,0.0,0.03
2022-12-28,HIGHCHI-22DEC28-T39,HIGHCHI-22DEC28,Below 39F,39.0,,39.0,below,less,0.01,0,45.0,no,0,1720,0.0,0.01
2022-12-28,HIGHCHI-22DEC28-B39.5,HIGHCHI-22DEC28,39-41F,39.0,39.0,41.0,between,between,0.01,0,45.0,no,0,3315,0.0,0.01
2022-12-28,HIGHCHI-22DEC28-B41.5,HIGHCHI-22DEC28,41-43F,41.0,41.0,43.0,between,between,0.01,0,45.0,no,0,7639,0.0,0.01
2022-12-28,HIGHCHI-22DEC28-B43.5,HIGHCHI-22DEC28,43-45F,43.0,43.0,45.0,between,between,0.01,0,45.0,no,0,14984,0.0,0.01
2022-12-28,HIGHCHI-22DEC28-B45.5,HIGHCHI-22DEC28,45-47F,45.0,45.0,47.0,between,between,0.98,1,45.0,yes,100,6398,0.92,0.99
2022-12-28,HIGHCHI-22DEC28-T46,HIGHCHI-22DEC28,Above 46F,46.0,46.0,,above,greater,0.02,0,45.0,no,0,2232,0.01,0.33
2022-12-29,HIGHCHI-22DEC29-T49,HIGHCHI-22DEC29,Below 49F,49.0,,49.0,below,less,0.0,0,57.0,no,0,0,0.0,0.01
2022-12-29,HIGHCHI-22DEC29-B49.5,HIGHCHI-22DEC29,49-51F,49.0,49.0,51.0,between,between,0.01,0,57.0,no,0,426,0.0,0.01
2022-12-29,HIGHCHI-22DEC29-B51.5,HIGHCHI-22DEC29,51-53F,51.0,51.0,53.0,between,between,0.01,0,57.0,no,0,387,0.0,0.01
2022-12-29,HIGHCHI-22DEC29-B53.5,HIGHCHI-22DEC29,53-55F,53.0,53.0,55.0,between,between,0.01,0,57.0,no,0,1347,0.0,0.01
2022-12-29,HIGHCHI-22DEC29-B55.5,HIGHCHI-22DEC29,55-57F,55.0,55.0,57.0,between,between,0.01,0,57.0,no,0,3119,0.0,0.01
2022-12-29,HIGHCHI-22DEC29-T56,HIGHCHI-22DEC29,Above 56F,56.0,56.0,,above,greater,0.99,1,57.0,yes,100,3610,0.99,1.0
2022-12-30,HIGHCHI-22DEC30-T52,HIGHCHI-22DEC30,Below 52F,52.0,,52.0,below,less,0.01,0,57.0,no,0,6842,0.0,0.01
2022-12-30,HIGHCHI-22DEC30-B52.5,HIGHCHI-22DEC30,52-54F,52.0,52.0,54.0,between,between,0.01,0,57.0,no,0,1468,0.0,0.01
2022-12-30,HIGHCHI-22DEC30-B54.5,HIGHCHI-22DEC30,54-56F,54.0,54.0,56.0,between,between,0.01,0,57.0,no,0,2434,0.0,0.01
2022-12-30,HIGHCHI-22DEC30-B56.5,HIGHCHI-22DEC30,56-58F,56.0,56.0,58.0,between,between,0.99,1,57.0,yes,100,2246,0.99,1.0
2022-12-30,HIGHCHI-22DEC30-B58.5,HIGHCHI-22DEC30,58-60F,58.0,58.0,60.0,between,between,0.01,0,57.0,no,0,2163,0.0,0.01
2022-12-30,HIGHCHI-22DEC30-T59,HIGHCHI-22DEC30,Above 59F,59.0,59.0,,above,greater,0.01,0,57.0,no,0,2211,0.0,0.01
2022-12-31,HIGHCHI-22DEC31-T35,HIGHCHI-22DEC31,Below 35F,35.0,,35.0,below,less,0.01,0,39.0,no,0,401,0.0,0.01
2022-12-31,HIGHCHI-22DEC31-B35.5,HIGHCHI-22DEC31,35-37F,35.0,35.0,37.0,between,between,0.01,0,39.0,no,0,310,0.0,0.01
2022-12-31,HIGHCHI-22DEC31-B37.5,HIGHCHI-22DEC31,37-39F,37.0,37.0,39.0,between,between,0.01,0,39.0,no,0,2338,0.0,0.01
2022-12-31,HIGHCHI-22DEC31-B39.5,HIGHCHI-22DEC31,39-41F,39.0,39.0,41.0,between,between,0.09,1,39.0,yes,100,2736,0.86,0.98
2022-12-31,HIGHCHI-22DEC31-B41.5,HIGHCHI-22DEC31,41-43F,41.0,41.0,43.0,between,between,0.01,0,39.0,no,0,3371,0.0,0.09
2022-12-31,HIGHCHI-22DEC31-T42,HIGHCHI-22DEC31,Above 42F,42.0,42.0,,above,greater,0.01,0,39.0,no,0,1876,0.0,0.01
2023-01-01,HIGHCHI-23JAN01-T41,HIGHCHI-23JAN01,Below 41F,41.0,,41.0,below,less,0.01,0,45.0,no,0,10,0.0,0.01
2023-01-01,HIGHCHI-23JAN01-B41.5,HIGHCHI-23JAN01,41-43F,41.0,41.0,43.0,between,between,0.01,0,45.0,no,0,613,0.0,0.01
2023-01-01,HIGHCHI-23JAN01-B43.5,HIGHCHI-23JAN01,43-45F,43.0,43.0,45.0,between,between,0.01,0,45.0,no,0,591,0.0,0.01
2023-01-01,HIGHCHI-23JAN01-B45.5,HIGHCHI-23JAN01,45-47F,45.0,45.0,47.0,between,between,0.99,1,45.0,yes,100,1880,0.9,1.0
2023-01-01,HIGHCHI-23JAN01-B47.5,HIGHCHI-23JAN01,47-49F,47.0,47.0,49.0,between,between,0.01,0,45.0,no,0,1629,0.0,0.1
