date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2024-11-20,KXHIGHPHIL-24NOV20-T57,KXHIGHPHIL-24NOV20,Below 57F,57.0,,57.0,below,less,0.01,0,64.94,no,0,9240,0.0,0.01
2024-11-20,KXHIGHPHIL-24NOV20-B57.5,KXHIGHPHIL-24NOV20,57-59F,57.0,57.0,59.0,between,between,0.01,0,64.94,no,0,10007,0.0,0.01
2024-11-20,KXHIGHPHIL-24NOV20-B59.5,KXHIGHPHIL-24NOV20,59-61F,59.0,59.0,61.0,between,between,0.01,0,64.94,no,0,7581,0.0,0.01
2024-11-20,KXHIGHPHIL-24NOV20-B61.5,KXHIGHPHIL-24NOV20,61-63F,61.0,61.0,63.0,between,between,0.01,0,64.94,no,0,91214,0.0,0.01
2024-11-20,KXHIGHPHIL-24NOV20-B63.5,KXHIGHPHIL-24NOV20,63-65F,63.0,63.0,65.0,between,between,0.01,0,64.94,no,0,31807,0.0,0.01
2024-11-20,KXHIGHPHIL-24NOV20-T64,KXHIGHPHIL-24NOV20,Above 64F,64.0,64.0,,above,greater,0.99,1,64.94,yes,100,50206,0.99,1.0
2024-11-21,KXHIGHPHIL-24NOV21-T48,KXHIGHPHIL-24NOV21,Below 48F,48.0,,48.0,below,less,0.01,0,53.06,no,0,30757,0.0,0.01
2024-11-21,KXHIGHPHIL-24NOV21-B48.5,KXHIGHPHIL-24NOV21,48-50F,48.0,48.0,50.0,between,between,0.01,0,53.06,no,0,36307,0.0,0.01
2024-11-21,KXHIGHPHIL-24NOV21-B50.5,KXHIGHPHIL-24NOV21,50-52F,50.0,50.0,52.0,between,between,0.01,0,53.06,no,0,50210,0.0,0.01
2024-11-21,KXHIGHPHIL-24NOV21-B52.5,KXHIGHPHIL-24NOV21,52-54F,52.0,52.0,54.0,between,between,0.99,1,53.06,yes,100,116177,0.99,1.0
2024-11-21,KXHIGHPHIL-24NOV21-B54.5,KXHIGHPHIL-24NOV21,54-56F,54.0,54.0,56.0,between,between,0.03,0,53.06,no,0,207707,0.0,0.03
2024-11-21,KXHIGHPHIL-24NOV21-T55,KXHIGHPHIL-24NOV21,Above 55F,55.0,55.0,,above,greater,0.01,0,53.06,no,0,39089,0.0,0.01
2024-11-22,KXHIGHPHIL-24NOV22-B37.5,KXHIGHPHIL-24NOV22,37-39F,37.0,37.0,39.0,between,between,0.01,0,42.08,no,0,10682,0.0,0.01
2024-11-22,KXHIGHPHIL-24NOV22-T37,KXHIGHPHIL-24NOV22,Below 37F,37.0,,37.0,below,less,0.01,0,42.08,no,0,392,0.0,0.01
2024-11-22,KXHIGHPHIL-24NOV22-B39.5,KXHIGHPHIL-24NOV22,39-41F,39.0,39.0,41.0,between,between,0.01,0,42.08,no,0,36569,0.0,0.01
2024-11-22,KXHIGHPHIL-24NOV22-B41.5,KXHIGHPHIL-24NOV22,41-43F,41.0,41.0,43.0,between,between,0.99,1,42.08,yes,100,102901,0.99,1.0
2024-11-22,KXHIGHPHIL-24NOV22-B43.5,KXHIGHPHIL-24NOV22,43-45F,43.0,43.0,45.0,between,between,0.01,0,42.08,no,0,29115,0.0,0.01
2024-11-22,KXHIGHPHIL-24NOV22-T44,KXHIGHPHIL-24NOV22,Above 44F,44.0,44.0,,above,greater,0.01,0,42.08,no,0,14074,0.0,0.01
2024-11-23,KXHIGHPHIL-24NOV23-T47,KXHIGHPHIL-24NOV23,Below 47F,47.0,,47.0,below,less,0.01,0,53.96,no,0,6232,0.0,0.01
2024-11-23,KXHIGHPHIL-24NOV23-B47.5,KXHIGHPHIL-24NOV23,47-49F,47.0,47.0,49.0,between,between,0.01,0,53.96,no,0,4426,0.0,0.01
2024-11-23,KXHIGHPHIL-24NOV23-B49.5,KXHIGHPHIL-24NOV23,49-51F,49.0,49.0,51.0,between,between,0.01,0,53.96,no,0,11291,0.0,0.01
2024-11-23,KXHIGHPHIL-24NOV23-B51.5,KXHIGHPHIL-24NOV23,51-53F,51.0,51.0,53.0,between,between,0.01,0,53.96,no,0,216241,0.0,0.01
2024-11-23,KXHIGHPHIL-24NOV23-B53.5,KXHIGHPHIL-24NOV23,53-55F,53.0,53.0,55.0,between,between,0.99,1,53.96,yes,100,34962,0.99,1.0
2024-11-23,KXHIGHPHIL-24NOV23-T54,KXHIGHPHIL-24NOV23,Above 54F,54.0,54.0,,above,greater,0.01,0,53.96,no,0,64881,0.0,0.01
2024-11-24,KXHIGHPHIL-24NOV24-B50.5,KXHIGHPHIL-24NOV24,50-52F,50.0,50.0,52.0,between,between,0.01,0,55.94,no,0,1236,0.0,0.01
2024-11-24,KXHIGHPHIL-24NOV24-T50,KXHIGHPHIL-24NOV24,Below 50F,50.0,,50.0,below,less,0.01,0,55.94,no,0,1848,0.0,0.01
2024-11-24,KXHIGHPHIL-24NOV24-B52.5,KXHIGHPHIL-24NOV24,52-54F,52.0,52.0,54.0,between,between,0.01,0,55.94,no,0,9203,0.0,0.01
2024-11-24,KXHIGHPHIL-24NOV24-B54.5,KXHIGHPHIL-24NOV24,54-56F,54.0,54.0,56.0,between,between,0.01,0,55.94,no,0,56156,0.0,0.01
2024-11-24,KXHIGHPHIL-24NOV24-B56.5,KXHIGHPHIL-24NOV24,56-58F,56.0,56.0,58.0,between,between,0.99,1,55.94,yes,100,44599,0.99,1.0
2024-11-24,KXHIGHPHIL-24NOV24-T57,KXHIGHPHIL-24NOV24,Above 57F,57.0,57.0,,above,greater,0.01,0,55.94,no,0,25857,0.0,0.01
2024-11-25,KXHIGHPHIL-24NOV25-T52,KXHIGHPHIL-24NOV25,Below 52F,52.0,,52.0,below,less,0.01,0,57.02,no,0,351,0.0,0.01
2024-11-25,KXHIGHPHIL-24NOV25-B52.5,KXHIGHPHIL-24NOV25,52-54F,52.0,52.0,54.0,between,between,0.01,0,57.02,no,0,1850,0.0,0.01
2024-11-25,KXHIGHPHIL-24NOV25-B54.5,KXHIGHPHIL-24NOV25,54-56F,54.0,54.0,56.0,between,between,0.01,0,57.02,no,0,11745,0.0,0.01
2024-11-25,KXHIGHPHIL-24NOV25-B56.5,KXHIGHPHIL-24NOV25,56-58F,56.0,56.0,58.0,between,between,0.99,1,57.02,yes,100,27485,0.99,1.0
2024-11-25,KXHIGHPHIL-24NOV25-B58.5,KXHIGHPHIL-24NOV25,58-60F,58.0,58.0,60.0,between,between,0.01,0,57.02,no,0,44324,0.0,0.01
2024-11-25,KXHIGHPHIL-24NOV25-T59,KXHIGHPHIL-24NOV25,Above 59F,59.0,59.0,,above,greater,0.01,0,57.02,no,0,13729,0.0,0.01
2024-11-26,KXHIGHPHIL-24NOV26-T56,KXHIGHPHIL-24NOV26,Below 56F,56.0,,56.0,below,less,0.01,0,62.06,no,0,612,0.0,0.01
2024-11-26,KXHIGHPHIL-24NOV26-B56.5,KXHIGHPHIL-24NOV26,56-58F,56.0,56.0,58.0,between,between,0.01,0,62.06,no,0,3006,0.0,0.01
2024-11-26,KXHIGHPHIL-24NOV26-B58.5,KXHIGHPHIL-24NOV26,58-60F,58.0,58.0,60.0,between,between,0.01,0,62.06,no,0,9441,0.0,0.01
2024-11-26,KXHIGHPHIL-24NOV26-B60.5,KXHIGHPHIL-24NOV26,60-62F,60.0,60.0,62.0,between,between,0.01,0,62.06,no,0,24326,0.0,0.01
2024-11-26,KXHIGHPHIL-24NOV26-B62.5,KXHIGHPHIL-24NOV26,62-64F,62.0,62.0,64.0,between,between,0.99,1,62.06,yes,100,16087,0.99,1.0
2024-11-26,KXHIGHPHIL-24NOV26-T63,KXHIGHPHIL-24NOV26,Above 63F,63.0,63.0,,above,greater,0.01,0,62.06,no,0,10326,0.0,0.01
