station_id,name,latitude,longitude,distance_miles,direction
USW00094728,Central Park NYC (Target),40.7789,-73.9692,0,Target
USW00014735,Albany NY (Albany Airport),42.7483,-73.8017,137,N
USW00014740,Hartford CT (Bradley International Airport),41.9389,-72.6831,95,NE
USW00094702,Bridgeport CT (Sikorsky Memorial Airport),41.1631,-73.1261,55,NE
USW00014732,Islip NY (Long Island MacArthur Airport),40.7953,-73.1003,47,E
USW00093730,Atlantic City NJ (Atlantic City International Airport),39.4575,-74.5672,106,S
USW00014792,Trenton NJ (Trenton-Mercer Airport),40.2767,-74.8167,60,SW
USW00013739,Philadelphia PA (Philadelphia International Airport),39.8722,-75.2411,80,SW
USW00014737,Allentown PA (Lehigh Valley International Airport),40.6522,-75.4408,85,W
USW00014777,Scranton PA (Wilkes-Barre/Scranton International Airport),41.3383,-75.7233,120,W
USW00014734,Newark NJ (Newark Liberty International Airport),40.6831,-74.1694,12,W
USW00094789,JFK Airport NY (John F. Kennedy International Airport),40.6413,-73.7781,13,SE
USW00014739,LaGuardia Airport NY,40.7794,-73.8803,5,E
USW00014771,White Plains NY (Westchester County Airport),41.0670,-73.7076,22,N
USW00014757,Poughkeepsie NY (Dutchess County Airport),41.6267,-73.8842,58,N
