station,model,period,year,season,mean_bias,std_diff,mae_vs_knyc,correlation,ks_statistic,ks_pvalue,n_days,rolling_bias_range,rolling_bias_stability_std
KLGA,GFS,overall,all,all,0.3664273334983907,1.947795047156647,1.5206734340183214,0.994237096431206,0.022530329289428077,0.03312488726551918,8078,1.7835616438356163,0.3961840409981293
KLGA,GFS,yearly,2004,all,0.45081967213114754,1.7754912529524274,1.3907103825136613,,,,366,,
KLGA,GFS,yearly,2005,all,-0.030136986301369864,1.8521360501367514,1.389041095890411,,,,365,,
KLGA,GFS,yearly,2006,all,-0.10136986301369863,1.9352494480072433,1.558904109589041,,,,365,,
KLGA,GFS,yearly,2007,all,-0.08767123287671233,2.00356448881637,1.5890410958904109,,,,365,,
KLGA,GFS,yearly,2008,all,-0.24043715846994534,2.133131680715703,1.6557377049180328,,,,366,,
KLGA,GFS,yearly,2009,all,0.00821917808219178,1.9799651334937616,1.536986301369863,,,,365,,
KLGA,GFS,yearly,2010,all,0.6493150684931507,1.9966402609828868,1.7671232876712328,,,,365,,
KLGA,GFS,yearly,2011,all,0.8410958904109589,1.5590779552190772,1.4602739726027398,,,,365,,
KLGA,GFS,yearly,2012,all,0.6584699453551912,1.8816407465545175,1.6092896174863387,,,,366,,
KLGA,GFS,yearly,2013,all,0.9315068493150684,1.710735070491337,1.610958904109589,,,,365,,
KLGA,GFS,yearly,2014,all,1.0438356164383562,1.6452551074250472,1.5863013698630137,,,,365,,
KLGA,GFS,yearly,2015,all,0.14794520547945206,1.749419808770605,1.2383561643835617,,,,365,,
KLGA,GFS,yearly,2016,all,0.23497267759562843,1.8607645723658837,1.278688524590164,,,,366,,
KLGA,GFS,yearly,2017,all,0.14520547945205478,1.8849491420464801,1.3945205479452054,,,,365,,
KLGA,GFS,yearly,2018,all,0.2602739726027397,1.7433342222439978,1.295890410958904,,,,365,,
KLGA,GFS,yearly,2019,all,0.1726027397260274,2.080869183486478,1.4109589041095891,,,,365,,
KLGA,GFS,yearly,2020,all,0.16120218579234974,1.9886589899193359,1.4453551912568305,,,,366,,
KLGA,GFS,yearly,2021,all,0.0958904109589041,1.9914955419110916,1.4109589041095891,,,,365,,
KLGA,GFS,yearly,2022,all,0.16986301369863013,1.9803072335940601,1.441095890410959,,,,365,,
KLGA,GFS,yearly,2023,all,1.3342465753424657,2.1117293560254113,2.0136986301369864,,,,365,,
KLGA,GFS,yearly,2024,all,0.5519125683060109,1.9783164706608947,1.650273224043716,,,,366,,
KLGA,GFS,yearly,2025,all,0.7589041095890411,1.9853747962133264,1.7506849315068493,,,,365,,
