date,ticker,bucket_label,model_prob,market_prob,bid_price,ask_price,actual_outcome,volume
2026-02-04,KXHIGHTATL-26FEB04-T51,Below 51F,0.4791524534315811,0.075,0.05,0.1,0,2521
2026-02-04,KXHIGHTATL-26FEB04-B51.5,51-53F,0.08262107164107191,0.275,0.25,0.3,0,3458
2026-02-04,KXHIGHTATL-26FEB04-B53.5,53-55F,0.08000448612158206,0.29,0.27,0.31,0,4970
2026-02-04,KXHIGHTATL-26FEB04-B55.5,55-57F,0.07420981053733333,0.27,0.24,0.3,0,6402
2026-02-04,KXHIGHTATL-26FEB04-B57.5,57-59F,0.06593738965422735,0.08,0.05,0.11,1,2805
2026-02-04,KXHIGHTATL-26FEB04-T58,Above 58F,0.21807478861420426,0.015,0.01,0.02,0,1107
2026-02-05,KXHIGHTATL-26FEB05-T42,Below 42F,0.10074136846193782,0.025,0.02,0.03,0,4721
2026-02-05,KXHIGHTATL-26FEB05-B42.5,42-44F,0.044518970574936534,0.075,0.04,0.11,0,5355
2026-02-05,KXHIGHTATL-26FEB05-B44.5,44-46F,0.0561423172885091,0.175,0.17,0.18,1,6326
2026-02-05,KXHIGHTATL-26FEB05-B46.5,46-48F,0.0674577963417825,0.28,0.26,0.3,0,2007
2026-02-05,KXHIGHTATL-26FEB05-B48.5,48-50F,0.0772272617145181,0.26,0.25,0.27,0,2651
2026-02-05,KXHIGHTATL-26FEB05-T49,Above 49F,0.6539122856183159,0.14,0.13,0.15,0,4233
2026-02-06,KXHIGHTATL-26FEB06-T55,Below 55F,0.3943717983929026,0.025,0.02,0.03,0,1309
2026-02-06,KXHIGHTATL-26FEB06-B55.5,55-57F,0.09652363684423071,0.025,0.02,0.03,0,500
2026-02-06,KXHIGHTATL-26FEB06-B57.5,57-59F,0.0970624408332641,0.065,0.05,0.08,0,1562
2026-02-06,KXHIGHTATL-26FEB06-B59.5,59-61F,0.09194017379161701,0.28,0.26,0.3,0,5569
2026-02-06,KXHIGHTATL-26FEB06-B61.5,61-63F,0.08203439329875994,0.335,0.33,0.34,0,3089
2026-02-06,KXHIGHTATL-26FEB06-T62,Above 62F,0.23806755683922565,0.335,0.32,0.35,1,5587
