date,ticker,model_prob,market_prob,outcome,disagreement
2026-02-04,KXHIGHTATL-26FEB04-T51,0.6912084097897373,0.075,0,0.6162084097897373
2026-02-04,KXHIGHTATL-26FEB04-B51.5,0.1337840762325766,0.275,0,-0.14121592376742342
2026-02-04,KXHIGHTATL-26FEB04-B53.5,0.08963936202764966,0.29,0,-0.20036063797235032
2026-02-04,KXHIGHTATL-26FEB04-B55.5,0.04984046276621068,0.27,0,-0.22015953723378934
2026-02-04,KXHIGHTATL-26FEB04-B57.5,0.022995367805975664,0.08,1,-0.05700463219402434
2026-02-04,KXHIGHTATL-26FEB04-T58,0.012532321377850097,0.015,0,-0.002467678622149902
2026-02-05,KXHIGHTATL-26FEB05-T42,0.04220159976133793,0.025,0,0.017201599761337928
2026-02-05,KXHIGHTATL-26FEB05-B42.5,0.046162343126288516,0.075,0,-0.02883765687371148
2026-02-05,KXHIGHTATL-26FEB05-B44.5,0.07614167902725949,0.175,1,-0.0988583209727405
2026-02-05,KXHIGHTATL-26FEB05-B46.5,0.10930910998275034,0.28,0,-0.17069089001724969
2026-02-05,KXHIGHTATL-26FEB05-B48.5,0.13658190006213033,0.26,0,-0.12341809993786967
2026-02-05,KXHIGHTATL-26FEB05-T49,0.5896033680402334,0.14,0,0.4496033680402334
2026-02-06,KXHIGHTATL-26FEB06-T62,0.1130090495408349,0.335,1,-0.22199095045916512
2026-02-06,KXHIGHTATL-26FEB06-B61.5,0.08462636185375705,0.335,0,-0.25037363814624297
2026-02-06,KXHIGHTATL-26FEB06-B59.5,0.11460305627526068,0.28,0,-0.16539694372473934
2026-02-06,KXHIGHTATL-26FEB06-B55.5,0.14288946875434172,0.025,0,0.11788946875434173
2026-02-06,KXHIGHTATL-26FEB06-T55,0.40840518562383454,0.025,0,0.3834051856238345
2026-02-06,KXHIGHTATL-26FEB06-B57.5,0.1364668779519711,0.065,0,0.0714668779519711
2026-02-07,KXHIGHTATL-26FEB07-T51,0.9813463439220643,0.305,1,0.6763463439220643
