station_id,icao,overlap_days,mean_bias_f,mae_f,rmse_f,corr
USW00003902,KGRK,3784.0,-0.7640221987315015,1.7878171247357295,3.215500464106996,0.9802637928582905
USW00003904,KCLL,9852.0,-0.2623081607795375,1.0774076329679259,2.116881290649235,0.9900651331359894
USW00003927,KDFW,9859.0,0.012394766203468542,1.2096480373263014,2.4061472310341965,0.9896875318615411
USW00003933,KHLR,3739.0,0.01334581438887369,1.287461888205403,6.113377095618986,0.9272507603453402
USW00003969,KSEP,7478.0,0.36980208611928284,3.758280288847286,5.668149065367507,0.9402880233602422
USW00012909,KSKF,2358.0,0.004588634435962225,0.9876759966072949,2.046577606204766,0.9902162863387316
USW00012911,KRND,2353.0,-0.0003059923501917249,0.9366085847853812,1.9078173669988316,0.991586445346592
USW00012912,KVCT,9855.0,-0.5518721461187219,1.0634540842212081,1.8608256624731727,0.9909284234341006
USW00012918,KHOU,9856.0,-0.3770576298701305,0.9978409090909097,1.8037748567285872,0.9908013899613836
USW00012921,KSAT,9859.0,-0.2880434121107622,1.1300639010041593,2.0617746376990116,0.9896852732274609
USW00012923,KGLS,9687.0,-0.39777846598534206,0.9063900072261805,1.6457414348690769,0.9908628805751332
USW00012924,KCRP,9859.0,-0.4583811745613151,0.9757683335023842,1.7020477038095057,0.9909263982202183
USW00012926,KNGP,7443.0,-0.4263039097138259,0.9935106811769456,2.0205359897510737,0.983807194296678
USW00012928,KNQI,8025.0,-0.7362043613707171,1.2702056074766361,2.3841200496650656,0.9835850691544339
USW00012932,KALI,8465.0,-0.6864997046662734,1.2581901949202605,2.2023517366406824,0.9870778910925573
USW00012935,KPSX,9827.0,-0.4007041823547377,0.9025867507886444,1.7240318750466477,0.9894428730360447
USW00012947,KCOT,8708.0,-0.2626665135507583,1.2456522737712452,2.323203233891158,0.9874369429455465
USW00012960,KIAH,9859.0,-0.42934577543361435,1.0687169084085613,1.9146130942144894,0.990660747200322
USW00012962,KHDO,9773.0,-0.37645963368464175,1.1146853576179276,2.066980946277103,0.9895183427004899
USW00013904,KAUS,9739.0,-0.29274052777492593,1.0704795153506526,1.96802535844425,0.9915631213036282
USW00013911,KNFW,8069.0,-0.06530672945842145,1.3601090593629948,2.9386356910772338,0.9842430660624418
USW00013958,KATT,9833.0,-0.35819383707922337,1.3191172582121433,2.280190970822203,0.9893713623435743
USW00013959,KACT,9855.0,-0.22592389649923938,1.1039431760527656,2.119137682047672,0.9916461842793972
USW00013960,KDAL,9858.0,0.09300466626090448,1.2638628525055797,2.4911488027567046,0.9888040491267308
USW00013961,KFTW,9793.0,-0.04400898601041601,1.2635576432145414,2.4724988837435995,0.9895252208009044
USW00013962,KABI,9858.0,0.16315074051531708,1.439097179955367,3.124894116282871,0.9830685327902511
USW00013973,KJCT,9811.0,-0.05265518295790487,1.2436571195596784,2.52349783858666,0.9863396293607768
USW00022001,KDLF,2315.0,0.11593952483801254,1.0213045356371497,2.292753388254405,0.9874409271658443
USW00023034,KSJT,9856.0,0.07064732142857108,1.3681879058441562,2.8785017987695407,0.9847744812431989
USW00093904,KFTW,6103.0,-1.0189152875634937,1.034979518269704,1.5029652050757398,0.9976733583799705
USW00093914,KPSN,6374.0,1.366360213366802,4.211117037966739,6.121314395440885,0.9228420112511078
USW00093985,KMWL,9813.0,-0.2072475287883424,1.3157811066952008,2.5881495096765588,0.9884804947940953
USW00093987,KLFK,9842.0,-0.3414407640723434,1.0615464336516973,2.048847823281875,0.9905229297695994
