date,ticker,bucket_label,model_prob,market_prob,bid_price,ask_price,actual_outcome,volume
2023-05-11,HIGHAUS--23MAY11-T84,Below 84F,0.8408076576284463,0.045,0.01,0.09,0,213
2023-05-11,HIGHAUS--23MAY11-B84.5,84-86F,0.025668957838859696,0.05,0.01,0.1,0,0
2023-05-11,HIGHAUS--23MAY11-B86.5,86-88F,0.02266874127380092,0.265,0.03,0.5,0,0
2023-05-11,HIGHAUS--23MAY11-B88.5,88-90F,0.019769429578955444,0.43,0.22,0.64,1,0
2023-05-11,HIGHAUS--23MAY11-B90.5,90-92F,0.01702583553528869,0.59,0.53,0.65,0,30
2023-05-11,HIGHAUS--23MAY11-T91,Above 91F,0.08224087578799,0.115,0.01,0.23,0,0
2023-05-12,HIGHAUS-23MAY12-T85,Below 85F,0.8125461057958951,0.445,0.01,0.89,0,99
2023-05-12,HIGHAUS-23MAY12-B87.5,87-89F,0.023613441397888568,0.305,0.03,0.58,1,0
2023-05-12,HIGHAUS-23MAY12-T92,Above 92F,0.10693480312273085,0.445,0.01,0.89,0,0
2023-05-13,HIGHAUS-23MAY13-T76,Below 76F,0.6716831650238897,0.51,0.03,0.99,0,596
2023-05-13,HIGHAUS-23MAY13-B76.5,76-78F,0.039550156843989326,0.315,0.05,0.58,1,0
2023-05-13,HIGHAUS-23MAY13-B78.5,78-80F,0.03715192043822335,0.29,0.01,0.58,0,0
2023-05-13,HIGHAUS-23MAY13-B80.5,80-82F,0.03446123405996826,0.305,0.03,0.58,0,0
2023-05-13,HIGHAUS-23MAY13-B82.5,82-84F,0.031564352304141896,0.29,0.01,0.58,0,0
2023-05-13,HIGHAUS-23MAY13-T83,Above 83F,0.20099976903153638,0.495,0.01,0.99,0,0
2023-05-14,HIGHAUS-23MAY14-B75.5,75-77F,0.043956910788176096,0.28,0.01,0.56,0,0
2023-05-14,HIGHAUS-23MAY14-T75,Below 75F,0.6468526578316774,0.47,0.01,0.94,0,0
2023-05-14,HIGHAUS-23MAY14-B77.5,77-79F,0.04138233593701268,0.285,0.01,0.57,0,16
2023-05-14,HIGHAUS-23MAY14-B79.5,79-81F,0.03839013297754457,0.55,0.52,0.58,0,24
