date,bucket_label,direction,model_prob,market_prob,entry_price,ev,kelly_frac,n_contracts,cost,outcome,won,pnl,bankroll_after
2023-05-11,Below 84F,YES,0.8339159890960312,0.045,0.09,0.685541869859309,0.20403031841050862,10,0.8999999999999999,0,0,-0.8999999999999999,999.1
2023-05-11,88-90F,NO,0.020481587786927324,0.43,0.78,0.13095212335815754,0.21825353893026264,10,7.800000000000001,1,0,-7.800000000000001,991.3000000000001
2023-05-11,90-92F,NO,0.017694611269301608,0.59,0.47,0.4435440115195495,0.24105652799975516,10,4.699999999999999,0,1,4.6,995.9000000000001
2023-05-14,79-81F,NO,0.03917120125046447,0.55,0.48,0.41357078283706805,0.22976154602059337,10,4.8,0,1,4.499999999999999,1000.4000000000001
2023-05-15,Below 79F,YES,0.7847818472988324,0.215,0.43,0.299847117987914,0.14992355899395704,10,4.3,0,0,-4.3,996.1000000000001
2023-05-15,81-83F,NO,0.031518580740827806,0.545,0.49,0.41068771991103004,0.2333452954039944,10,4.9,0,1,4.399999999999999,1000.5000000000001
2023-05-16,80-82F,NO,0.03340064641738494,0.43,0.72,0.17893739883183202,0.2130207128950381,10,7.199999999999999,0,1,2.0999999999999996,1002.6000000000001
2023-05-17,83-85F,NO,0.030089820618360075,0.635,0.4,0.5020164668249251,0.23680022020043642,10,4.0,0,1,5.299999999999999,1007.9000000000001
2023-05-18,Below 85F,YES,0.8558949439348491,0.16,0.3,0.49598229785940967,0.1968183721664324,10,3.0,0,0,-3.0,1004.9000000000001
2023-05-18,89-91F,NO,0.018466881898843823,0.355,0.69,0.22282579983407524,0.23211020816049502,10,6.8999999999999995,1,0,-6.8999999999999995,998.0000000000001
2023-05-19,87-89F,NO,0.02330159546450683,0.305,0.86,0.04832951621800863,0.17260541506431656,10,8.6,0,1,0.6999999999999993,998.7000000000002
2023-05-19,89-91F,NO,0.020745775193742766,0.305,0.8,0.11070642906981909,0.21289697898042154,10,8.0,1,0,-8.0,990.7000000000002
2023-05-19,91-93F,NO,0.01827328698893771,0.285,0.87,0.04300584310028788,0.17919101291786632,10,8.7,0,1,0.5999999999999996,991.3000000000002
2023-05-20,81-83F,NO,0.032816416708016605,0.275,0.85,0.0494807324615445,0.15462728894232672,10,8.5,0,1,0.7999999999999989,992.1000000000001
2023-05-22,83-85F,NO,0.02923830199398436,0.335,0.8,0.10280837914559449,0.19770842143383563,10,8.0,0,1,1.299999999999999,993.4000000000001
2023-05-22,Below 83F,YES,0.8201098665299782,0.015,0.03,0.7327021758728797,0.20352838218691105,10,0.3,0,0,-0.3,993.1000000000001
2023-05-22,85-87F,NO,0.025888468060583536,0.37,0.76,0.14592372470365722,0.21459371279949604,10,7.6,1,0,-7.6,985.5000000000001
2023-05-23,87-89F,NO,0.022130234800527004,0.28,0.8200000000000001,0.08941888163550982,0.20322473098979513,10,8.200000000000001,0,1,1.0999999999999979,986.6000000000001
2023-05-23,89-91F,NO,0.01899966066450487,0.325,0.75,0.1623303155820104,0.22545877164168118,10,7.5,1,0,-7.5,979.1000000000001
2023-05-24,84-86F,NO,0.027204532493854572,0.15,0.87,0.034699784780715226,0.14458243658631345,10,8.7,0,1,0.5999999999999996,979.7000000000002
2023-05-24,86-88F,NO,0.02392960780708575,0.325,0.69,0.21774546473941025,0.2268181924368857,10,6.8999999999999995,0,1,2.3999999999999995,982.1000000000001
2023-05-24,88-90F,NO,0.020763093563796464,0.3,0.72,0.19069032298566924,0.2270122892686539,10,7.199999999999999,0,1,2.0999999999999996,984.2000000000002
2023-05-25,Below 83F,YES,0.8161785707003638,0.345,0.69,0.0690460707513384,0.07192299036597746,10,6.8999999999999995,0,0,-6.8999999999999995,977.3000000000002
2023-05-25,85-87F,NO,0.026541783807138675,0.2,0.8200000000000001,0.08531614105936092,0.19390032058945683,10,8.200000000000001,1,0,-8.200000000000001,969.1000000000001
2023-05-25,87-89F,NO,0.023176790347826826,0.265,0.75,0.15844558497652095,0.22006331246739033,10,7.5,0,1,1.799999999999999,970.9000000000001
2023-05-25,89-91F,NO,0.01995348028742261,0.245,0.77,0.14144326333269686,0.22100509895733902,10,7.7,0,1,1.5999999999999988,972.5000000000001
2023-05-26,85-87F,NO,0.024536592959305548,0.16,0.86,0.047180968547845814,0.1685034590994494,10,8.6,1,0,-8.6,963.9000000000001
2023-05-26,87-89F,NO,0.021058513424828007,0.295,0.73,0.18041558251490986,0.22551947814363743,10,7.3,0,1,1.9999999999999991,965.9000000000001
2023-05-26,89-91F,NO,0.01780109648566608,0.29,0.73,0.18344498026833045,0.22930622533541317,10,7.3,0,1,1.9999999999999991,967.9000000000001
2023-05-26,91-93F,NO,0.014820791201818673,0.155,0.86,0.05621666418230864,0.20077380065110226,10,8.6,0,1,0.6999999999999993,968.6000000000001
2023-05-27,Below 84F,YES,0.8408656661602893,0.075,0.09,0.692005069529069,0.2059538897407944,10,0.8999999999999999,0,0,-0.8999999999999999,967.7000000000002
2023-05-27,86-88F,NO,0.02334968799525261,0.235,0.78,0.12828479016441496,0.21380798360735842,10,7.800000000000001,1,0,-7.800000000000001,959.9000000000002
2023-05-27,88-90F,NO,0.020237156652519128,0.3,0.72,0.19117944431315714,0.2275945765632824,10,7.199999999999999,0,1,2.0999999999999996,962.0000000000002
2023-05-28,82-84F,NO,0.030398813154526194,0.135,0.87,0.03172910376629057,0.1322045990262109,10,8.7,0,1,0.5999999999999996,962.6000000000003
2023-05-28,84-86F,NO,0.027236777749745755,0.28,0.73,0.1746697966927364,0.21833724586592054,10,7.3,1,0,-7.3,955.3000000000003
2023-05-28,86-88F,NO,0.02408594074305248,0.305,0.72,0.18760007510896115,0.2233334227487633,10,7.199999999999999,0,1,2.0999999999999996,957.4000000000003
2023-05-28,88-90F,NO,0.021022302767900625,0.17,0.85,0.06044925842585236,0.18890393258078877,10,8.5,0,1,0.7999999999999989,958.2000000000003
2023-05-30,Below 85F,YES,0.8467698063613968,0.025,0.05,0.7374959199160989,0.20951588633980087,10,0.5,0,0,-0.5,957.7000000000003
2023-05-30,87-89F,NO,0.022171300112956982,0.24,0.78,0.12938069089494997,0.21563448482491665,10,7.800000000000001,0,1,1.4999999999999982,959.2000000000003
2023-05-30,89-91F,NO,0.019253406428201725,0.325,0.69,0.22209433202177242,0.2313482625226796,10,6.8999999999999995,1,0,-6.8999999999999995,952.3000000000003
2023-05-30,91-93F,NO,0.016507211365714092,0.205,0.81,0.1046482934298858,0.2180172779789289,10,8.100000000000001,0,1,1.1999999999999975,953.5000000000003
2023-06-01,89-91F,NO,0.016473208041309362,0.69,0.62,0.2946799165215822,0.23764509396901798,10,6.2,0,1,3.0999999999999988,956.6000000000004
2023-06-02,92-94F,NO,0.014066660837795508,0.62,0.76,0.1569180054208501,0.23076177267772083,10,7.6,0,1,1.6999999999999993,958.3000000000004
2023-06-04,90-92F,NO,0.014580681133818385,0.155,0.88,0.03643996654554882,0.18219983272774443,10,8.8,0,1,0.4999999999999982,958.8000000000004
2023-06-05,83-85F,NO,0.027790323634789504,0.3,0.73,0.1741549990196457,0.21769374877455722,10,7.3,0,1,1.9999999999999991,960.8000000000004
2023-06-05,85-87F,NO,0.02436754515407591,0.3,0.72,0.18733818300670935,0.2230216464365588,10,7.199999999999999,0,1,2.0999999999999996,962.9000000000004
2023-06-05,87-89F,NO,0.021063042519380293,0.285,0.73,0.1804113704569763,0.22551421307122038,10,7.3,1,0,-7.3,955.6000000000005
2023-06-06,85-87F,NO,0.023244156152795514,0.14,0.88,0.028382934777900104,0.14191467388950074,10,8.8,0,1,0.4999999999999982,956.1000000000005
2023-06-06,87-89F,NO,0.019646205600098443,0.47,0.55,0.3617290287919084,0.23797962420520294,10,5.5,1,0,-5.5,950.6000000000005
2023-06-06,89-91F,NO,0.016336513984174128,0.3,0.72,0.194807041994718,0.2319131452318072,10,7.199999999999999,0,1,2.0999999999999996,952.7000000000005
2023-06-07,88-90F,NO,0.016328177632229046,0.275,0.74,0.17481479480202688,0.23001946684477234,10,7.4,1,0,-7.4,945.3000000000005
2023-06-07,90-92F,NO,0.013514206750449897,0.38,0.64,0.27743178772208155,0.2391653342431738,10,6.4,0,1,2.8999999999999986,948.2000000000005
2023-06-07,92-94F,NO,0.011018289860066255,0.18,0.84,0.07975299043013839,0.22153608452816215,10,8.4,0,1,0.8999999999999986,949.1000000000005
2023-06-08,Below 88F,YES,0.8803467217752928,0.045,0.09,0.7287224512510223,0.2168816819199471,10,0.8999999999999999,0,0,-0.8999999999999999,948.2000000000005
2023-06-08,92-94F,NO,0.014927635412546492,0.425,0.73,0.18611729906633168,0.2326466238329147,10,7.3,0,1,1.9999999999999991,950.2000000000005
2023-06-09,94-96F,NO,0.012749637079993659,0.145,0.88,0.038142837515605876,0.1907141875780294,10,8.8,0,1,0.4999999999999982,950.7000000000005
2023-06-09,96-98F,NO,0.01074683302961743,0.43,0.72,0.20000544528245578,0.2381017205743521,10,7.199999999999999,1,0,-7.199999999999999,943.5000000000005
2023-06-10,Below 92F,YES,0.9236260648426002,0.045,0.09,0.7689722403036182,0.22886078580464833,10,0.8999999999999999,0,0,-0.8999999999999999,942.6000000000005
2023-06-11,96-98F,NO,0.01176779378954218,0.37,0.84,0.07905595177572577,0.2195998660436827,10,8.4,1,0,-8.4,934.2000000000005
2023-06-12,94-96F,NO,0.013045515503684935,0.155,0.87,0.04786767058157293,0.1994486274232208,10,8.7,1,0,-8.7,925.5000000000005
