date,ticker,bucket_label,model_prob,market_prob,bid_price,ask_price,actual_outcome,volume
2022-12-22,HIGHCHI-22DEC22-T30,Below 30F,0.30512078323641056,0.06,0.04,0.08,0,198
2022-12-22,HIGHCHI-22DEC22-B30.5,30-32F,0.03572551334278762,0.225,0.2,0.25,0,192
2022-12-22,HIGHCHI-22DEC22-B32.5,32-34F,0.0372135202761712,0.35,0.32,0.38,0,2359
2022-12-22,HIGHCHI-22DEC22-B34.5,34-36F,0.03838137724862811,0.285,0.26,0.31,1,2113
2022-12-22,HIGHCHI-22DEC22-B36.5,36-38F,0.039195650581263175,0.06,0.04,0.08,0,601
2022-12-22,HIGHCHI-22DEC22-T37,Above 37F,0.5443631553147393,0.495,0.01,0.99,0,756
2022-12-23,HIGHCHI-22DEC23-B-2.5,-3--1F,0.017370473713825274,0.125,0.05,0.2,0,2251
2022-12-23,HIGHCHI-22DEC23-B-0.5,-1-1F,0.019644721877179472,0.455,0.21,0.7,1,580
2022-12-23,HIGHCHI-22DEC23-B1.5,1-3F,0.02199771785999477,0.34,0.22,0.46,0,1353
2022-12-23,HIGHCHI-22DEC23-B3.5,3-5F,0.024389724324393236,0.105,0.03,0.18,0,1945
2022-12-23,HIGHCHI-22DEC23-T4,Above 4F,0.8258596321075262,0.125,0.01,0.25,0,291
2022-12-24,HIGHCHI-22DEC24-T5,Below 5F,0.1134401154378829,0.065,0.01,0.13,0,56
2022-12-24,HIGHCHI-22DEC24-B5.5,5-7F,0.020305127815134383,0.015,0.01,0.02,0,65
2022-12-24,HIGHCHI-22DEC24-B7.5,7-9F,0.022673482593464245,0.125,0.12,0.13,0,1021
2022-12-24,HIGHCHI-22DEC24-B9.5,9-11F,0.025068494748546055,0.325,0.3,0.35,0,2505
2022-12-24,HIGHCHI-22DEC24-B11.5,11-13F,0.027443266576321235,0.305,0.28,0.33,0,1529
2022-12-24,HIGHCHI-22DEC24-T12,Above 12F,0.7910695128286511,0.19,0.17,0.21,1,3061
2022-12-25,HIGHCHI-22DEC25-T11,Below 11F,0.08960782789586585,0.495,0.01,0.99,0,1785
2022-12-25,HIGHCHI-22DEC25-B11.5,11-13F,0.017215615153219954,0.27,0.24,0.3,0,746
2022-12-25,HIGHCHI-22DEC25-B13.5,13-15F,0.019483051851020172,0.39,0.36,0.42,1,1332
2022-12-25,HIGHCHI-22DEC25-B15.5,15-17F,0.021831770015406426,0.275,0.25,0.3,0,756
2022-12-25,HIGHCHI-22DEC25-B17.5,17-19F,0.024222470185067957,0.495,0.01,0.99,0,1424
2022-12-25,HIGHCHI-22DEC25-T18,Above 18F,0.8276392648994196,0.48,0.01,0.96,0,0
2022-12-26,HIGHCHI-22DEC26-T20,Below 20F,0.16544263475973175,0.1,0.08,0.12,0,194
2022-12-26,HIGHCHI-22DEC26-B20.5,20-22F,0.025954824218068162,0.325,0.3,0.35,0,3775
2022-12-26,HIGHCHI-22DEC26-B22.5,22-24F,0.028309285583933863,0.41,0.38,0.44,1,1062
2022-12-26,HIGHCHI-22DEC26-B24.5,24-26F,0.03057294318509679,0.145,0.13,0.16,0,1215
2022-12-26,HIGHCHI-22DEC26-B26.5,26-28F,0.03269212201255989,0.1,0.01,0.2,0,1290
2022-12-26,HIGHCHI-22DEC26-T27,Above 27F,0.7170281902406095,0.06,0.01,0.12,0,0
2022-12-27,HIGHCHI-22DEC27-T25,Below 25F,0.2764505428133792,0.2,0.18,0.22,0,3455
2022-12-27,HIGHCHI-22DEC27-B25.5,25-27F,0.03425749345265361,0.315,0.29,0.34,1,2074
2022-12-27,HIGHCHI-22DEC27-B27.5,27-29F,0.03598272069074682,0.405,0.38,0.43,0,2657
2022-12-27,HIGHCHI-22DEC27-B29.5,29-31F,0.03742225336580696,0.09,0.08,0.1,0,880
2022-12-27,HIGHCHI-22DEC27-B31.5,31-33F,0.03853571264658062,0.01,0.01,0.02,0,1958
2022-12-27,HIGHCHI-22DEC27-T32,Above 32F,0.5773512770308328,0.01,0.01,0.02,0,586
2022-12-28,HIGHCHI-22DEC28-T39,Below 39F,0.42525558183763973,0.08,0.06,0.1,0,1720
2022-12-28,HIGHCHI-22DEC28-B39.5,39-41F,0.03932824052023204,0.345,0.32,0.37,0,3315
2022-12-28,HIGHCHI-22DEC28-B41.5,41-43F,0.039677603874068046,0.375,0.35,0.4,0,7639
