model,bucket_idx,bucket_label,brier_score
Persistence,0,Below -10,0.00012701230964781265
Persistence,1,-10--8,0.00045924874474735563
Persistence,2,-8--6,1.2797112445041354e-05
Persistence,3,-6--4,1.783302053820593e-05
Persistence,4,-4--2,2.4520243323803268e-05
Persistence,5,-2-0,0.0004890037203692276
Persistence,6,0-2,0.000461357914555741
Persistence,7,2-4,0.0012505580864430796
Persistence,8,4-6,0.001308588451456719
Persistence,9,6-8,8.980562362960771e-05
Persistence,10,8-10,0.00011398336731991897
Persistence,11,10-12,0.0014213246297043783
Persistence,12,12-14,0.0034533078142770434
Persistence,13,14-16,0.0043896488960858526
Persistence,14,16-18,0.0022819660726557454
Persistence,15,18-20,0.003324558413112584
Persistence,16,20-22,0.004858403856739523
Persistence,17,22-24,0.0037312437647057848
Persistence,18,24-26,0.007044307280765234
Persistence,19,26-28,0.011081956956233046
Persistence,20,28-30,0.010091046546425871
Persistence,21,30-32,0.015626728528186546
Persistence,22,32-34,0.03402609616822646
Persistence,23,34-36,0.02451779293789955
Persistence,24,36-38,0.02566256161931964
Persistence,25,38-40,0.030260553797000395
Persistence,26,40-42,0.01602322205180709
Persistence,27,42-44,0.025473327250865794
Persistence,28,44-46,0.02506642645638506
Persistence,29,46-48,0.02612893941145914
Persistence,30,48-50,0.024400179246344744
Persistence,31,50-52,0.04608188213110089
Persistence,32,52-54,0.026114621279336232
Persistence,33,54-56,0.02293011087018466
Persistence,34,56-58,0.023764454900825453
Persistence,35,58-60,0.013262360647880653
Persistence,36,60-62,0.018426155059519982
Persistence,37,62-64,0.021871284802642405
Persistence,38,64-66,0.02166039255949575
Persistence,39,66-68,0.022315610390672033
Persistence,40,68-70,0.039315323301397184
Persistence,41,70-72,0.024808532997397038
Persistence,42,72-74,0.026353462997101285
Persistence,43,74-76,0.03410743692860737
Persistence,44,76-78,0.019011195416768448
Persistence,45,78-80,0.03350047415132045
Persistence,46,80-82,0.03484763891893291
Persistence,47,82-84,0.03805586902810561
Persistence,48,84-86,0.036935954831293596
Persistence,49,86-88,0.05151826950496502
Persistence,50,88-90,0.025102032597437908
Persistence,51,90-92,0.02260124714366794
Persistence,52,92-94,0.011521470159676675
Persistence,53,94-96,0.003987849584987727
Persistence,54,96-98,0.0028809848518330534
Persistence,55,98-100,0.0019808598791026554
Persistence,56,100-102,0.0006232536166780377
Persistence,57,102-104,0.0001420679964210482
Persistence,58,104-106,7.565859891229008e-05
Persistence,59,106-108,3.749880771281617e-05
Persistence,60,108-110,1.7264944215738128e-05
Persistence,61,Above 110,4.405166813114212e-05
Climatology,0,Below -10,3.653309447048536e-08
Climatology,1,-10--8,0.00045575567989201125
Climatology,2,-8--6,4.044086262876947e-08
Climatology,3,-6--4,8.665896283154755e-08
Climatology,4,-4--2,1.9434247526471943e-07
Climatology,5,-2-0,0.000454475596982717
Climatology,6,0-2,0.0004543446980852963
Climatology,7,2-4,0.0013567143054262387
Climatology,8,4-6,0.0013692844241257295
Climatology,9,6-8,8.378445249095457e-06
Climatology,10,8-10,1.6101437989633393e-05
Climatology,11,10-12,0.0013606947717539118
Climatology,12,12-14,0.0036153641585722107
Climatology,13,14-16,0.004445565846765063
Climatology,14,16-18,0.002325179229546337
Climatology,15,18-20,0.003173727283161856
Climatology,16,20-22,0.005013676704052326
Climatology,17,22-24,0.0038288042545153015
Climatology,18,24-26,0.007396105683115508
Climatology,19,26-28,0.011484470261095196
Climatology,20,28-30,0.01034510266027528
Climatology,21,30-32,0.016186171822141823
Climatology,22,32-34,0.03456548183744115
Climatology,23,34-36,0.02459578718684729
Climatology,24,36-38,0.026361370490952975
Climatology,25,38-40,0.030810816193208173
Climatology,26,40-42,0.016501251311032725
Climatology,27,42-44,0.02599148497344613
Climatology,28,44-46,0.0251364223069982
Climatology,29,46-48,0.026347219867058843
Climatology,30,48-50,0.024891625195485424
Climatology,31,50-52,0.04723762724366151
Climatology,32,52-54,0.02636603787742498
Climatology,33,54-56,0.02350571843348627
Climatology,34,56-58,0.024095192854131444
Climatology,35,58-60,0.013276263751389643
Climatology,36,60-62,0.01878817351620526
Climatology,37,62-64,0.021717709759073778
Climatology,38,64-66,0.021724462292514846
Climatology,39,66-68,0.022686421450072103
Climatology,40,68-70,0.0399020889754532
Climatology,41,70-72,0.02577085489493062
Climatology,42,72-74,0.02704833944471138
