name,ev_threshold,sizing_method,kelly_fraction,max_position_frac,total_pnl,sharpe_ratio,n_trades,win_rate,max_drawdown_pct
S0000_ev0.02_fractional_kelly_kf0.10_fee0.07_mp0.05_br1000,0.02,fractional_kelly,0.1,0.05,-18.669999999999504,-0.33367322025210416,247,0.3643724696356275,-10.74857367696241
S0001_ev0.02_fractional_kelly_kf0.10_fee0.07_mp0.10_br1000,0.02,fractional_kelly,0.1,0.1,-18.669999999999504,-0.33367322025210416,247,0.3643724696356275,-10.74857367696241
S0002_ev0.02_fractional_kelly_kf0.20_fee0.07_mp0.05_br1000,0.02,fractional_kelly,0.2,0.05,-14.609999999999332,-0.2552913825524816,248,0.36693548387096775,-10.738736966358411
S0003_ev0.02_fractional_kelly_kf0.20_fee0.07_mp0.10_br1000,0.02,fractional_kelly,0.2,0.1,-14.609999999999332,-0.2552913825524816,248,0.36693548387096775,-10.738736966358411
S0004_ev0.02_fractional_kelly_kf0.25_fee0.07_mp0.05_br1000,0.02,fractional_kelly,0.25,0.05,-14.699999999999363,-0.25627762155296685,248,0.36693548387096775,-10.68758607121775
S0005_ev0.02_fractional_kelly_kf0.25_fee0.07_mp0.10_br1000,0.02,fractional_kelly,0.25,0.1,-14.699999999999363,-0.25627762155296685,248,0.36693548387096775,-10.68758607121775
S0006_ev0.02_capped_kelly_kf0.10_fee0.07_mp0.05_br1000,0.02,capped_kelly,0.1,0.05,-14.249999999999432,-0.24761470902387792,248,0.36693548387096775,-10.879401927995247
S0007_ev0.02_capped_kelly_kf0.10_fee0.07_mp0.10_br1000,0.02,capped_kelly,0.1,0.1,-14.249999999999432,-0.24761470902387792,248,0.36693548387096775,-10.879401927995247
S0008_ev0.02_capped_kelly_kf0.20_fee0.07_mp0.05_br1000,0.02,capped_kelly,0.2,0.05,-14.249999999999432,-0.24761470902387792,248,0.36693548387096775,-10.879401927995247
S0009_ev0.02_capped_kelly_kf0.20_fee0.07_mp0.10_br1000,0.02,capped_kelly,0.2,0.1,-14.249999999999432,-0.24761470902387792,248,0.36693548387096775,-10.879401927995247
S0010_ev0.02_capped_kelly_kf0.25_fee0.07_mp0.05_br1000,0.02,capped_kelly,0.25,0.05,-14.249999999999432,-0.24761470902387792,248,0.36693548387096775,-10.879401927995247
S0011_ev0.02_capped_kelly_kf0.25_fee0.07_mp0.10_br1000,0.02,capped_kelly,0.25,0.1,-14.249999999999432,-0.24761470902387792,248,0.36693548387096775,-10.879401927995247
S0012_ev0.02_proportional_kf0.10_fee0.07_mp0.05_br1000,0.02,proportional,0.1,0.05,-20.549999999999272,-0.3538873670719708,253,0.36363636363636365,-11.931929962620462
S0013_ev0.02_proportional_kf0.10_fee0.07_mp0.10_br1000,0.02,proportional,0.1,0.1,-20.549999999999272,-0.3538873670719708,253,0.36363636363636365,-11.931929962620462
S0014_ev0.03_fractional_kelly_kf0.10_fee0.07_mp0.05_br1000,0.03,fractional_kelly,0.1,0.05,-32.949999999999704,-0.6144103820846407,203,0.3448275862068966,-10.81546330906944
