model,total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,n_trading_days,ev_threshold,kelly_fraction,max_contracts,period
model_prob,-453.5106000000013,-45.35106000000013,669,0.3961136023916293,-7.878045707928733,-462.68660000000136,-45.960631845372454,178,0.02,0.1,10,
model_prob,-454.66800000000126,-45.46680000000013,669,0.3961136023916293,-7.883519620018351,-463.8440000000013,-46.075601319953805,178,0.02,0.15,10,
model_prob,-454.66800000000126,-45.46680000000013,669,0.3961136023916293,-7.883519620018351,-463.8440000000013,-46.075601319953805,178,0.02,0.2,10,
model_prob,-454.66800000000126,-45.46680000000013,669,0.3961136023916293,-7.883519620018351,-463.8440000000013,-46.075601319953805,178,0.02,0.25,10,
model_prob,-436.11800000000153,-43.61180000000015,643,0.39502332814930013,-7.703466245433312,-445.2940000000016,-44.232950763979964,178,0.03,0.1,10,
model_prob,-436.11800000000153,-43.61180000000015,643,0.39502332814930013,-7.703466245433312,-445.2940000000016,-44.232950763979964,178,0.03,0.15,10,
model_prob,-436.11800000000153,-43.61180000000015,643,0.39502332814930013,-7.703466245433312,-445.2940000000016,-44.232950763979964,178,0.03,0.2,10,
model_prob,-436.11800000000153,-43.61180000000015,643,0.39502332814930013,-7.703466245433312,-445.2940000000016,-44.232950763979964,178,0.03,0.25,10,
model_prob,-449.7720000000015,-44.97720000000015,626,0.38817891373801916,-8.102473427850567,-458.94800000000157,-45.58926077429086,178,0.04,0.1,10,
model_prob,-449.7720000000015,-44.97720000000015,626,0.38817891373801916,-8.102473427850567,-458.94800000000157,-45.58926077429086,178,0.04,0.15,10,
model_prob,-449.7720000000015,-44.97720000000015,626,0.38817891373801916,-8.102473427850567,-458.94800000000157,-45.58926077429086,178,0.04,0.2,10,
model_prob,-449.7720000000015,-44.97720000000015,626,0.38817891373801916,-8.102473427850567,-458.94800000000157,-45.58926077429086,178,0.04,0.25,10,
model_prob,-452.5280000000015,-45.25280000000015,607,0.38385502471169686,-8.32398321720192,-461.70400000000154,-45.86302599974983,178,0.05,0.1,10,
model_prob,-452.5280000000015,-45.25280000000015,607,0.38385502471169686,-8.32398321720192,-461.70400000000154,-45.86302599974983,178,0.05,0.15,10,
model_prob,-452.5280000000015,-45.25280000000015,607,0.38385502471169686,-8.32398321720192,-461.70400000000154,-45.86302599974983,178,0.05,0.2,10,
model_prob,-452.5280000000015,-45.25280000000015,607,0.38385502471169686,-8.32398321720192,-461.70400000000154,-45.86302599974983,178,0.05,0.25,10,
u3_mlp_prob,-191.16200000000072,-19.11620000000007,368,0.3342391304347826,-3.1148883566860768,-221.2120000000009,-21.674233947534038,178,0.02,0.1,10,
u3_mlp_prob,-190.46400000000074,-19.046400000000073,368,0.3342391304347826,-3.0973517342276273,-220.51400000000092,-21.60584427927292,178,0.02,0.15,10,
u3_mlp_prob,-190.46400000000074,-19.046400000000073,368,0.3342391304347826,-3.0973517342276273,-220.51400000000092,-21.60584427927292,178,0.02,0.2,10,
u3_mlp_prob,-190.46400000000074,-19.046400000000073,368,0.3342391304347826,-3.0973517342276273,-220.51400000000092,-21.60584427927292,178,0.02,0.25,10,
u3_mlp_prob,-151.3640000000005,-15.13640000000005,331,0.3323262839879154,-2.5668758210320353,-180.7780000000007,-17.723576598110235,178,0.03,0.1,10,
u3_mlp_prob,-151.3640000000005,-15.13640000000005,331,0.3323262839879154,-2.5668758210320353,-180.7780000000007,-17.723576598110235,178,0.03,0.15,10,
u3_mlp_prob,-151.3640000000005,-15.13640000000005,331,0.3323262839879154,-2.5668758210320353,-180.7780000000007,-17.723576598110235,178,0.03,0.2,10,
u3_mlp_prob,-151.3640000000005,-15.13640000000005,331,0.3323262839879154,-2.5668758210320353,-180.7780000000007,-17.723576598110235,178,0.03,0.25,10,
u3_mlp_prob,-173.34800000000075,-17.334800000000076,292,0.3116438356164384,-3.2590794622880845,-204.164000000001,-20.10366735069272,178,0.04,0.1,10,
u3_mlp_prob,-173.34800000000075,-17.334800000000076,292,0.3116438356164384,-3.2590794622880845,-204.164000000001,-20.10366735069272,178,0.04,0.15,10,
u3_mlp_prob,-173.34800000000075,-17.334800000000076,292,0.3116438356164384,-3.2590794622880845,-204.164000000001,-20.10366735069272,178,0.04,0.2,10,
u3_mlp_prob,-173.34800000000075,-17.334800000000076,292,0.3116438356164384,-3.2590794622880845,-204.164000000001,-20.10366735069272,178,0.04,0.25,10,
u3_mlp_prob,-142.3400000000007,-14.234000000000071,255,0.30980392156862746,-2.8925323547659736,-163.0580000000008,-16.14880135324384,178,0.05,0.1,10,
u3_mlp_prob,-142.3400000000007,-14.234000000000071,255,0.30980392156862746,-2.8925323547659736,-163.0580000000008,-16.14880135324384,178,0.05,0.15,10,
u3_mlp_prob,-142.3400000000007,-14.234000000000071,255,0.30980392156862746,-2.8925323547659736,-163.0580000000008,-16.14880135324384,178,0.05,0.2,10,
u3_mlp_prob,-142.3400000000007,-14.234000000000071,255,0.30980392156862746,-2.8925323547659736,-163.0580000000008,-16.14880135324384,178,0.05,0.25,10,
u4_platt_prob,-235.71600000000115,-23.571600000000114,343,0.358600583090379,-4.080941103614714,-248.6420000000012,-24.77752820633436,178,0.02,0.1,10,
u4_platt_prob,-235.71600000000115,-23.571600000000114,343,0.358600583090379,-4.080941103614714,-248.6420000000012,-24.77752820633436,178,0.02,0.15,10,
u4_platt_prob,-235.71600000000115,-23.571600000000114,343,0.358600583090379,-4.080941103614714,-248.6420000000012,-24.77752820633436,178,0.02,0.2,10,
u4_platt_prob,-235.71600000000115,-23.571600000000114,343,0.358600583090379,-4.080941103614714,-248.6420000000012,-24.77752820633436,178,0.02,0.25,10,
u4_platt_prob,-204.60600000000113,-20.460600000000113,308,0.36363636363636365,-3.844176540392465,-226.97400000000118,-22.407447627697707,178,0.03,0.1,10,
u4_platt_prob,-204.60600000000113,-20.460600000000113,308,0.36363636363636365,-3.844176540392465,-226.97400000000118,-22.407447627697707,178,0.03,0.15,10,
u4_platt_prob,-204.60600000000113,-20.460600000000113,308,0.36363636363636365,-3.844176540392465,-226.97400000000118,-22.407447627697707,178,0.03,0.2,10,
u4_platt_prob,-204.60600000000113,-20.460600000000113,308,0.36363636363636365,-3.844176540392465,-226.97400000000118,-22.407447627697707,178,0.03,0.25,10,
u4_platt_prob,-179.516000000001,-17.9516000000001,273,0.37362637362637363,-3.4787844601807185,-201.32200000000103,-19.88605046731567,178,0.04,0.1,10,
u4_platt_prob,-179.516000000001,-17.9516000000001,273,0.37362637362637363,-3.4787844601807185,-201.32200000000103,-19.88605046731567,178,0.04,0.15,10,
u4_platt_prob,-179.516000000001,-17.9516000000001,273,0.37362637362637363,-3.4787844601807185,-201.32200000000103,-19.88605046731567,178,0.04,0.2,10,
u4_platt_prob,-179.516000000001,-17.9516000000001,273,0.37362637362637363,-3.4787844601807185,-201.32200000000103,-19.88605046731567,178,0.04,0.25,10,
u4_platt_prob,-162.55400000000088,-16.25540000000009,252,0.373015873015873,-3.2763394602119122,-184.36000000000092,-18.210589325331142,178,0.05,0.1,10,
u4_platt_prob,-162.55400000000088,-16.25540000000009,252,0.373015873015873,-3.2763394602119122,-184.36000000000092,-18.210589325331142,178,0.05,0.15,10,
u4_platt_prob,-162.55400000000088,-16.25540000000009,252,0.373015873015873,-3.2763394602119122,-184.36000000000092,-18.210589325331142,178,0.05,0.2,10,
u4_platt_prob,-162.55400000000088,-16.25540000000009,252,0.373015873015873,-3.2763394602119122,-184.36000000000092,-18.210589325331142,178,0.05,0.25,10,
u5_regime_prob,-56.166000000000395,-5.61660000000004,293,0.3720136518771331,-1.0038132253010568,-85.33800000000053,-8.34877446040848,178,0.02,0.1,10,
u5_regime_prob,-55.65400000000034,-5.565400000000033,293,0.3720136518771331,-0.994400057915244,-84.82600000000048,-8.298684552937837,178,0.02,0.15,10,
u5_regime_prob,-55.65400000000034,-5.565400000000033,293,0.3720136518771331,-0.994400057915244,-84.82600000000048,-8.298684552937837,178,0.02,0.2,10,
u5_regime_prob,-55.65400000000034,-5.565400000000033,293,0.3720136518771331,-0.994400057915244,-84.82600000000048,-8.298684552937837,178,0.02,0.25,10,
