name,model_class,hidden_sizes,dropout,loss_type,features,mae,rmse,r2,bias,best_epoch,best_val_mae,n_params,train_time_s,status
"MLP [64,32] MSE",enhanced_mlp,"[64, 32]",0.0,mse,all,4.611018785351385,6.26237996606167,0.8406692081229842,0.4348553338712148,46,5.03089714050293,4097,4.87,success
"MLP [64,32] Huber",enhanced_mlp,"[64, 32]",0.0,huber,all,4.3282693642943455,5.9233419962295555,0.8574541750125367,0.42538809059310123,47,4.812350749969482,4097,1.31,success
"MLP [128,64,32] Huber",enhanced_mlp,"[128, 64, 32]",0.1,huber,all,4.485154559838512,5.887439218800192,0.8591769460293234,-0.3833643173997422,47,4.744430065155029,14337,2.34,success
"MLP [256,128,64] Huber",enhanced_mlp,"[256, 128, 64]",0.1,huber,all,4.382456828486311,5.940392209432256,0.8566323637145328,-0.4750304276403722,50,4.529489517211914,49153,2.62,success
"MLP [128,64] BN Huber",enhanced_mlp,"[128, 64]",0.1,huber,all,4.217354869424861,5.5558149145666516,0.8745945462453895,0.4317270593573575,49,4.785926818847656,12673,2.45,success
LSTM h=64 Huber,lstm,[64],0.0,huber,all,4.34456213902383,5.684748876521325,0.8687064309132273,0.3071673923687341,45,4.99157190322876,26689,2.78,success
TMAX only,enhanced_mlp,"[128, 64]",0.1,huber,tmax_only,4.318334968177073,5.709361785537398,0.8675670622654402,0.5057824456430697,50,4.810671806335449,10497,2.16,success
TMIN only,enhanced_mlp,"[128, 64]",0.1,huber,tmin_only,4.9099996839648625,6.062176271297611,0.8506937437654122,-1.1215111132433817,42,5.53727388381958,10497,2.1,success
TMAX+TMIN (all),enhanced_mlp,"[128, 64]",0.1,huber,all,4.359671817696008,5.831894045904517,0.861821607650131,0.16248765458155703,44,4.770486831665039,12289,1.85,success
No date features,enhanced_mlp,"[128, 64]",0.1,huber,no_date,4.532247945966512,6.106055164416381,0.8485245217162273,-0.7613966815140998,31,5.001379013061523,12033,1.74,success
With date features,enhanced_mlp,"[128, 64]",0.1,huber,all,4.291361310638651,5.8630510236230045,0.86034122360666,0.13016471528658885,46,4.7386345863342285,12289,1.87,success
Dropout 0.0,enhanced_mlp,"[128, 64]",0.0,huber,all,4.156452747261438,5.753624504535473,0.8655056884893286,0.42625485524643936,49,4.694808006286621,12289,1.68,success
Dropout 0.1,enhanced_mlp,"[128, 64]",0.1,huber,all,4.215154195075488,5.763542517729587,0.865041610220846,0.5307792240337732,45,4.765989780426025,12289,2.03,success
Dropout 0.2,enhanced_mlp,"[128, 64]",0.2,huber,all,4.328882468286222,5.788444742001688,0.863872876090922,-0.20661215037325023,48,4.809065341949463,12289,2.27,success
Dropout 0.3,enhanced_mlp,"[128, 64]",0.3,huber,all,4.466943879510365,5.859881248486025,0.8604921918479722,-0.31853834054765934,42,4.741944789886475,12289,2.09,success
