strategy,season,n_trades,total_pnl,mean_pnl,win_rate
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Winter (DJF),527,1787.7554748256498,3.392325379175806,0.6318785578747628
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Spring (MAM),525,2769.60079336485,5.275430082599714,0.68
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Summer (JJA),502,2271.0710687564174,4.524045953698042,0.6533864541832669
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Fall (SON),497,2897.692858083293,5.830367923708838,0.676056338028169
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,Winter (DJF),527,1787.7554748256498,3.392325379175806,0.6318785578747628
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,Spring (MAM),525,2769.60079336485,5.275430082599714,0.68
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,Summer (JJA),502,2271.0710687564174,4.524045953698042,0.6533864541832669
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,Fall (SON),497,2897.692858083293,5.830367923708838,0.676056338028169
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,Winter (DJF),527,1787.7554748256498,3.392325379175806,0.6318785578747628
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,Spring (MAM),525,2769.60079336485,5.275430082599714,0.68
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,Summer (JJA),502,2271.0710687564174,4.524045953698042,0.6533864541832669
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,Fall (SON),497,2897.692858083293,5.830367923708838,0.676056338028169
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,Winter (DJF),527,1787.7554748256498,3.392325379175806,0.6318785578747628
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,Spring (MAM),525,2769.60079336485,5.275430082599714,0.68
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,Summer (JJA),502,2271.0710687564174,4.524045953698042,0.6533864541832669
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,Fall (SON),497,2897.692858083293,5.830367923708838,0.676056338028169
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Winter (DJF),527,1787.7554748256498,3.392325379175806,0.6318785578747628
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Spring (MAM),525,2769.60079336485,5.275430082599714,0.68
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Summer (JJA),502,2271.0710687564174,4.524045953698042,0.6533864541832669
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,Fall (SON),497,2897.692858083293,5.830367923708838,0.676056338028169
