year,gfs_mae,nam_mae,ens_mae,gfs_bias,nam_bias,avg_spread,n_days
2004,2.722,2.85,2.613,-0.704,-1.002,2.113,366
2005,2.802,3.059,2.66,-1.038,-1.238,2.436,365
2006,2.654,2.843,2.508,-0.042,-0.602,2.402,365
2007,2.889,2.724,2.542,0.971,-0.07,2.521,365
2008,2.669,2.63,2.298,0.7,-0.51,2.571,366
2009,2.802,2.81,2.475,0.857,-0.305,2.701,365
2010,2.609,2.638,2.407,-0.503,-1.136,2.244,365
2011,2.786,3.171,2.754,-0.554,-1.378,2.156,365
2012,2.766,2.725,2.571,1.236,0.758,2.194,366
2013,2.609,2.651,2.371,0.072,-0.435,2.2,365
2014,2.457,2.776,2.451,-0.588,-1.248,2.079,365
2015,3.072,2.999,2.827,-1.959,-2.065,2.266,365
2016,2.933,2.515,2.567,-1.566,-0.71,2.025,366
2017,2.954,2.884,2.713,0.053,-0.607,2.184,365
2018,2.67,2.979,2.548,0.214,-0.923,2.348,365
2019,2.745,2.771,2.476,0.103,-0.902,2.337,365
2020,2.613,2.898,2.576,-0.477,-1.209,2.071,366
2021,2.552,2.608,2.373,-0.579,-0.894,1.882,365
2022,2.671,2.914,2.573,-0.964,-1.318,2.227,365
2023,2.547,2.674,2.397,-1.041,-1.477,2.058,365
2024,2.261,2.879,2.308,-0.701,-1.74,2.421,366
2025,2.343,2.649,2.259,-0.544,-1.046,2.129,365
2026,2.772,2.932,2.709,0.28,0.836,2.278,36
