model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON,crps,mean_sigma,cov_50,cov_80,cov_90,cov_95,width_50,width_80,width_90,width_95
A_NN_64_32,train,2.0313,2.7182,0.9775,2.1706,2.4019,1.7587,1.794,,,,,,,,,,
A_NN_64_32,val,2.0513,2.7304,0.9768,2.1765,2.485,1.7391,1.8047,,,,,,,,,,
A_NN_64_32,test,2.0146,2.6577,0.9732,2.201,2.4009,1.8237,1.6314,,,,,,,,,,
A_NN_64_32,oos,2.0095,2.6886,0.9788,1.8716,2.8685,1.6192,1.6719,,,,,,,,,,
B_NN_64_32_16,train,1.9813,2.652,0.9786,2.0824,2.3207,1.7638,1.7575,,,,,,,,,,
B_NN_64_32_16,val,2.0474,2.7156,0.977,2.1744,2.4603,1.7599,1.7951,,,,,,,,,,
B_NN_64_32_16,test,2.0228,2.6767,0.9728,2.2041,2.3626,1.8624,1.6611,,,,,,,,,,
B_NN_64_32_16,oos,2.0642,2.7686,0.9775,1.8277,3.003,1.6072,1.8109,,,,,,,,,,
C_ResidualNN,train,2.0413,2.7298,0.9773,2.1958,2.4034,1.7585,1.808,,,,,,,,,,
C_ResidualNN,val,2.0189,2.7063,0.9772,2.1624,2.3892,1.7446,1.7798,,,,,,,,,,
C_ResidualNN,test,2.0063,2.6538,0.9733,2.2134,2.3276,1.8337,1.65,,,,,,,,,,
C_ResidualNN,oos,2.0217,2.6723,0.9791,1.9642,2.7524,1.6216,1.7443,,,,,,,,,,
D_Probabilistic,train,2.1147,2.7882,0.9764,2.2928,2.5064,1.8053,1.8547,1.5016,2.6422,0.5103,0.8035,0.8989,0.9475,3.56,6.77,8.69,10.36
D_Probabilistic,val,2.058,2.734,0.9767,2.1703,2.4689,1.7728,1.8198,1.4782,2.6353,0.5219,0.8151,0.889,0.9411,3.56,6.75,8.67,10.33
D_Probabilistic,test,2.029,2.6545,0.9733,2.222,2.4256,1.8135,1.6539,1.452,2.6973,0.5404,0.8126,0.9124,0.9576,3.64,6.91,8.87,10.57
