model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON,crps,mean_sigma,cov_50,cov_80,cov_90,cov_95,width_50,width_80,width_90,width_95,crps_DJF,crps_MAM,crps_JJA,crps_SON
Baseline,train,2.2859,3.0276,0.9721,2.4919,2.7207,1.9298,2.0018,,,,,,,,,,,,,,
Baseline,val,2.2063,2.9427,0.973,2.2657,2.6982,1.9325,1.9273,,,,,,,,,,,,,,
Baseline,test,2.1078,2.7925,0.9704,2.3104,2.5726,1.7901,1.7575,,,,,,,,,,,,,,
Baseline,oos,2.1337,2.8229,0.9767,1.9639,2.9761,1.8012,1.7859,,,,,,,,,,,,,,
A_NLL_only,train,2.3478,3.0875,,2.5686,2.7923,1.9791,2.0522,1.6711,2.952,0.5098,0.8006,0.9016,0.9494,3.98,7.57,9.71,11.57,1.8201,1.9856,1.425,1.4542
A_NLL_only,val,2.229,2.985,,2.3268,2.7299,1.8684,1.9902,1.6013,2.9067,0.5301,0.8151,0.9096,0.9521,3.92,7.45,9.56,11.39,1.7116,1.945,1.332,1.417
A_NLL_only,test,2.0898,2.7611,,2.2564,2.582,1.7746,1.7451,1.5192,2.9724,0.5841,0.8399,0.9234,0.9535,4.01,7.62,9.78,11.65,1.6483,1.8452,1.303,1.2796
A_NLL_only,oos,2.1606,2.8608,,2.0588,2.976,1.7594,1.8424,1.5487,2.9944,0.5425,0.8575,0.9096,0.9534,4.04,7.67,9.85,11.74,1.5162,2.1444,1.2245,1.3062
B_NLL_CRPS,train,2.2586,2.9518,,2.4295,2.6951,1.9276,1.9823,1.6064,2.7888,0.5019,0.7965,0.8987,0.9448,3.76,7.15,9.17,10.93,1.7236,1.9172,1.384,1.4005
B_NLL_CRPS,val,2.2015,2.9313,,2.2782,2.6789,1.9252,1.9224,1.5802,2.6993,0.5041,0.7932,0.8959,0.9452,3.64,6.92,8.88,10.58,1.6539,1.9264,1.3658,1.3742
B_NLL_CRPS,test,2.0624,2.7267,,2.2398,2.526,1.78,1.7029,1.4922,2.7725,0.5609,0.8222,0.907,0.9466,3.74,7.11,9.12,10.87,1.6337,1.7917,1.2919,1.2512
B_NLL_CRPS,oos,2.1554,2.8517,,2.0565,2.9468,1.7543,1.8588,1.5394,2.7965,0.526,0.8384,0.9068,0.9397,3.77,7.17,9.2,10.96,1.4833,2.1356,1.2275,1.3075
C_Combined,train,2.1922,2.8774,,2.3291,2.6137,1.8863,1.9395,1.5715,2.7252,0.5147,0.7992,0.8934,0.9428,3.68,6.98,8.97,10.68,1.6654,1.8801,1.3615,1.3788
C_Combined,val,2.1829,2.9078,,2.2735,2.6349,1.9355,1.8863,1.5696,2.6918,0.5041,0.811,0.9014,0.9397,3.63,6.9,8.86,10.55,1.6476,1.9075,1.3727,1.3498
C_Combined,test,2.0414,2.7307,,2.2696,2.447,1.7484,1.7007,1.4895,2.7561,0.5705,0.8249,0.9083,0.9508,3.72,7.06,9.07,10.8,1.6608,1.7581,1.2887,1.2504
C_Combined,oos,2.1442,2.8388,,1.9974,2.9518,1.7686,1.8525,1.5347,2.743,0.5397,0.8301,0.9068,0.9425,3.7,7.03,9.02,10.75,1.4562,2.1378,1.2378,1.3028
D_NLL_CRPS_large,train,2.1982,2.8723,,2.3608,2.6297,1.8734,1.9289,1.5588,2.7386,0.5066,0.8047,0.9037,0.949,3.69,7.02,9.01,10.73,1.6767,1.8575,1.342,1.3591
D_NLL_CRPS_large,val,2.1579,2.8869,,2.2873,2.5922,1.9103,1.8413,1.5472,2.6543,0.5055,0.8,0.9014,0.9466,3.58,6.8,8.73,10.4,1.6613,1.86,1.3519,1.3157
D_NLL_CRPS_large,test,2.0324,2.723,,2.2322,2.4801,1.7319,1.685,1.4793,2.7507,0.565,0.8263,0.9083,0.9466,3.71,7.05,9.05,10.78,1.6489,1.7642,1.2662,1.238
D_NLL_CRPS_large,oos,2.1496,2.804,,1.9981,2.9275,1.787,1.8794,1.5215,2.7752,0.5233,0.8274,0.9014,0.9534,3.74,7.11,9.13,10.88,1.4651,2.0854,1.2145,1.3174
E_NLL_CRPS_lowdrop,train,2.2962,3.0002,,2.498,2.7352,1.9503,2.0019,1.6303,2.8437,0.5029,0.8005,0.8982,0.9465,3.84,7.29,9.36,11.15,1.7613,1.9452,1.402,1.4129
E_NLL_CRPS_lowdrop,val,2.2153,2.9373,,2.3497,2.6963,1.8978,1.917,1.5836,2.8217,0.5164,0.8151,0.9123,0.9479,3.81,7.23,9.28,11.06,1.6897,1.9266,1.347,1.371
E_NLL_CRPS_lowdrop,test,2.0757,2.7452,,2.2515,2.554,1.765,1.7315,1.5023,2.905,0.5746,0.8413,0.922,0.9535,3.92,7.45,9.56,11.39,1.6479,1.8134,1.284,1.2637
E_NLL_CRPS_lowdrop,oos,2.175,2.8534,,2.1304,2.9786,1.7353,1.8511,1.5422,2.8732,0.526,0.8548,0.9096,0.9562,3.88,7.36,9.45,11.26,1.534,2.1215,1.2088,1.3015
