epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,5.634187817573547,6.282441568374634,6.469124543481391,0.001,6.4691243171691895,6.469124543481391
2,5.5901648044586185,6.199081945419311,6.3837194872353855,0.001,6.383719444274902,6.3837194872353855
3,5.55033438205719,6.116809844970703,6.305624188126004,0.001,6.305624485015869,6.305624188126004
4,5.516116845607757,6.070424270629883,6.265428054031991,0.001,6.265428066253662,6.265428054031991
5,5.461011242866516,5.959168577194214,6.164937994779244,0.001,6.164938449859619,6.164937994779244
6,5.373613071441651,5.871173858642578,6.086093429045303,0.001,6.086093425750732,6.086093429045303
7,5.266637325286865,5.7161437511444095,5.945884812708102,0.001,5.945884704589844,5.945884812708102
8,5.106016540527344,5.53682222366333,5.789474053486203,0.001,5.789474010467529,5.789474053486203
9,4.994663596153259,5.384916067123413,5.655166081780718,0.001,5.655166149139404,5.655166081780718
10,4.830564665794372,5.182350730895996,5.445959791129958,0.001,5.445959568023682,5.445959791129958
11,4.685055732727051,5.076276254653931,5.3407586521432355,0.001,5.340758800506592,5.3407586521432355
12,4.590938568115234,5.061461877822876,5.3320801874222985,0.001,5.332080364227295,5.3320801874222985
13,4.5664959907531735,4.956755971908569,5.216071948923552,0.001,5.216072082519531,5.216071948923552
14,4.455089962482452,4.805336618423462,5.044801434461218,0.001,5.044801712036133,5.044801434461218
15,4.392877662181855,4.7701794624328615,5.002744855856809,0.001,5.002744674682617,5.002744855856809
16,4.35217262506485,4.7096775531768795,4.929510509526208,0.001,4.929510593414307,4.929510509526208
17,4.3104896426200865,4.705553770065308,4.923207245931356,0.001,4.9232072830200195,4.923207245931356
18,4.284400236606598,4.692648983001709,4.901399653954228,0.001,4.901399612426758,4.901399653954228
19,4.248837339878082,4.772553396224976,5.0082923674975,0.001,5.008292198181152,5.0082923674975
20,4.268299400806427,4.710061836242676,4.936828441180452,0.001,4.936828136444092,4.936828441180452
21,4.222352075576782,4.607306051254272,4.79707429754038,0.001,4.797074317932129,4.79707429754038
22,4.172519719600677,4.619241857528687,4.82647810997319,0.001,4.826478004455566,4.82647810997319
23,4.156602251529693,4.614044523239135,4.820557191872249,0.001,4.820557594299316,4.820557191872249
24,4.142423474788666,4.559587240219116,4.727695720730907,0.001,4.727695941925049,4.727695720730907
25,4.137422478199005,4.588642692565918,4.7647673100254835,0.001,4.764767169952393,4.7647673100254835
26,4.194070875644684,4.57524676322937,4.754509424458455,0.001,4.754509449005127,4.754509424458455
27,4.124314332008362,4.537624502182007,4.7048920111151515,0.001,4.704891681671143,4.7048920111151515
28,4.122124481201172,4.562690353393554,4.735830755085841,0.001,4.735830783843994,4.735830755085841
29,4.091826844215393,4.509209394454956,4.683450472633335,0.001,4.683450222015381,4.683450472633335
30,4.100757110118866,4.526083946228027,4.686469918328481,0.001,4.686470031738281,4.686469918328481
31,4.063361394405365,4.546700477600098,4.729994270266407,0.001,4.729994297027588,4.729994270266407
32,4.075733482837677,4.4936683177948,4.663667964326205,0.001,4.663668155670166,4.663667964326205
33,4.038235712051391,4.604669046401978,4.799142075163604,0.001,4.799142360687256,4.799142075163604
34,4.045561826229095,4.4493875980377195,4.61523009881486,0.001,4.615230083465576,4.61523009881486
35,4.02375819683075,4.571505928039551,4.7649450569779335,0.001,4.764945030212402,4.7649450569779335
36,4.046676206588745,4.444739770889282,4.619429725969795,0.001,4.619429588317871,4.619429725969795
37,4.001917028427124,4.506366109848022,4.675071314732089,0.001,4.675071716308594,4.675071314732089
38,4.02694981098175,4.457738876342773,4.623092675742006,0.001,4.623092174530029,4.623092675742006
39,3.9969109773635862,4.43889970779419,4.602146630227349,0.001,4.602147102355957,4.602146630227349
40,4.003698873519897,4.425871849060059,4.598195311109515,0.001,4.598195552825928,4.598195311109515
41,4.003832757472992,4.501182651519775,4.6871341121142365,0.001,4.6871337890625,4.6871341121142365
42,3.96970374584198,4.442243194580078,4.630541799540502,0.001,4.630541801452637,4.630541799540502
43,3.9540682315826414,4.480536794662475,4.664200631624809,0.001,4.664200305938721,4.664200631624809
44,3.994907760620117,4.4249810695648195,4.605652801218259,0.001,4.605653285980225,4.605652801218259
45,3.9552114725112917,4.415096187591553,4.598447666022464,0.001,4.598447322845459,4.598447666022464
46,3.957047140598297,4.431194019317627,4.613305413281395,0.001,4.61330509185791,4.613305413281395
47,3.9510810494422914,4.416302967071533,4.582465099148506,0.001,4.582465171813965,4.582465099148506
48,3.9825459718704224,4.404309701919556,4.582106259724084,0.001,4.582106113433838,4.582106259724084
49,3.9258872628211976,4.394340133666992,4.57598609121394,0.001,4.575985908508301,4.57598609121394
50,3.9616140842437746,4.495559024810791,4.689100940449395,0.001,4.689101219177246,4.689100940449395
51,3.9901015520095826,4.454318809509277,4.637978810703886,0.001,4.637978553771973,4.637978810703886
52,3.9276658296585083,4.383753299713135,4.555878854857309,0.001,4.555878639221191,4.555878854857309
53,3.914019429683685,4.3735151290893555,4.545258161726877,0.001,4.545258045196533,4.545258161726877
54,3.903968060016632,4.443702840805054,4.631022364260072,0.001,4.6310224533081055,4.631022364260072
