epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,5.582845211029053,6.070314216613769,6.293469468322155,0.001,6.293469429016113,6.293469468322155
2,5.310895180702209,5.634273290634155,5.854244264646437,0.001,5.854244232177734,5.854244264646437
3,5.036695909500122,5.4316473484039305,5.634771065942315,0.001,5.63477087020874,5.634771065942315
4,4.74434540271759,5.486447668075561,5.672050933425243,0.001,5.672050952911377,5.672050933425243
5,4.504300844669342,5.217624807357788,5.387789098345316,0.001,5.387789249420166,5.387789098345316
6,4.363201105594635,5.034221267700195,5.210150757112264,0.001,5.210150718688965,5.210150757112264
7,4.226069295406342,4.930158090591431,5.126607266535144,0.001,5.1266069412231445,5.126607266535144
8,4.119112884998321,4.788924312591552,5.028657892820435,0.001,5.02865743637085,5.028657892820435
9,4.020784449577332,4.834056091308594,5.123465231985072,0.001,5.123465538024902,5.123465231985072
10,3.946173059940338,4.605536031723022,4.908302546666164,0.001,4.908302307128906,4.908302546666164
11,3.824223244190216,4.524418544769287,4.84965647622561,0.001,4.849656581878662,4.84965647622561
12,3.76585111618042,4.483388805389405,4.819660407997422,0.001,4.819660186767578,4.819660407997422
13,3.717500865459442,4.735924863815308,5.022286842310384,0.001,5.022286415100098,5.022286842310384
14,3.642049026489258,4.531325769424439,4.849229354881869,0.001,4.849229335784912,4.849229354881869
15,3.591649258136749,4.661924219131469,4.960607806597274,0.001,4.960607528686523,4.960607806597274
16,3.6273909211158752,4.494416093826294,4.816926610301429,0.001,4.8169264793396,4.816926610301429
17,3.5298796892166138,4.6524241924285885,4.9910590549135385,0.001,4.991058826446533,4.9910590549135385
18,3.6068949818611147,4.489423418045044,4.797632460972437,0.001,4.797632694244385,4.797632460972437
19,3.452580285072327,4.566554164886474,4.845542199991562,0.0005,4.845541954040527,4.845542199991562
20,3.4437868475914,4.514592456817627,4.801384506534525,0.0005,4.801384449005127,4.801384506534525
21,3.3969434022903444,4.517074012756348,4.798429535393204,0.0005,4.798429489135742,4.798429535393204
22,3.3711047172546387,4.541088104248047,4.834096900445201,0.0005,4.834096908569336,4.834096900445201
23,3.3832783341407775,4.553937387466431,4.857642449494246,0.0005,4.85764217376709,4.857642449494246
24,3.34655122756958,4.5364514827728275,4.816573371180903,0.0005,4.816573619842529,4.816573371180903
25,3.296867382526398,4.504475164413452,4.785880962171397,0.00025,4.785881042480469,4.785880962171397
26,3.28739515542984,4.524322986602783,4.814622865706246,0.00025,4.814622402191162,4.814622865706246
27,3.282649290561676,4.517048501968384,4.7821509761928205,0.00025,4.782151222229004,4.7821509761928205
28,3.29205858707428,4.564880990982056,4.842391855567147,0.00025,4.842391490936279,4.842391855567147
29,3.257064950466156,4.516827058792114,4.799263607192061,0.00025,4.7992634773254395,4.799263607192061
30,3.2516950011253356,4.534297609329224,4.800172117744392,0.00025,4.800172328948975,4.800172117744392
31,3.239332389831543,4.53898549079895,4.828420486812626,0.000125,4.828420162200928,4.828420486812626
32,3.2213823199272156,4.53412389755249,4.80159570454787,0.000125,4.801596164703369,4.80159570454787
33,3.222166633605957,4.521201086044312,4.800998729404622,0.000125,4.800998687744141,4.800998729404622
34,3.2171696066856383,4.5275803565979,4.798061553897002,0.000125,4.798061847686768,4.798061553897002
35,3.211619460582733,4.522793960571289,4.796568348894626,0.000125,4.796568393707275,4.796568348894626
36,3.2038365602493286,4.529232406616211,4.803509682171292,0.000125,4.803509712219238,4.803509682171292
37,3.1992632150650024,4.526875400543213,4.802057279280691,6.25e-05,4.802057266235352,4.802057279280691
38,3.1960991263389587,4.525285243988037,4.798234142250631,6.25e-05,4.798233985900879,4.798234142250631
39,3.194709503650665,4.519406938552857,4.790831927588899,6.25e-05,4.790832042694092,4.790831927588899
40,3.1918623566627504,4.536400365829468,4.809466523428758,6.25e-05,4.809466361999512,4.809466523428758
41,3.1912219166755675,4.5313221454620365,4.806810096970627,6.25e-05,4.806809902191162,4.806810096970627
42,3.187203526496887,4.516810464859009,4.792418195460087,6.25e-05,4.792418003082275,4.792418195460087
