epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,5.581375861167908,6.081795167922974,6.268689612096421,0.001,6.2686896324157715,6.268689612096421
2,5.531715893745423,6.1160565376281735,6.3009677521889875,0.001,6.300967693328857,6.3009677521889875
3,5.445054304599762,6.03338303565979,6.2312561408520075,0.001,6.231256008148193,6.2312561408520075
4,5.269093370437622,5.882563257217408,6.117096006932268,0.001,6.117095947265625,6.117096006932268
5,5.016425681114197,5.584948015213013,5.836023726594383,0.001,5.836023330688477,5.836023726594383
6,4.740970134735107,5.351334142684936,5.619955299709836,0.001,5.619955062866211,5.619955299709836
7,4.515498518943787,5.1063000679016115,5.3229862951117495,0.001,5.322986125946045,5.3229862951117495
8,4.352933025360107,5.158077239990234,5.40673402680424,0.001,5.406733989715576,5.40673402680424
9,4.294543027877808,4.9202837467193605,5.142237861478416,0.001,5.142237663269043,5.142237861478416
10,4.003326904773712,4.964761257171631,5.161338284371325,0.001,5.161338806152344,5.161338284371325
11,4.012694454193115,4.725834131240845,4.941024713358386,0.001,4.941023826599121,4.941024713358386
12,3.927757275104523,4.582569313049317,4.818075400311772,0.001,4.818075180053711,4.818075400311772
13,3.912979280948639,4.601555252075196,4.758545889697806,0.001,4.758545875549316,4.758545889697806
14,3.800747001171112,4.450376367568969,4.6473401537787735,0.001,4.647340297698975,4.6473401537787735
15,3.8338751435279845,4.522028112411499,4.75853370937308,0.001,4.758533954620361,4.75853370937308
16,3.8662975549697878,4.9428449153900145,5.148141165621524,0.001,5.148140907287598,5.148141165621524
17,3.7880579113960264,4.833001136779785,5.055642698189366,0.001,5.055642604827881,5.055642698189366
18,3.8343549013137816,4.5411559581756595,4.743247402949925,0.001,4.743247032165527,4.743247402949925
19,3.6804954290390013,4.510311412811279,4.738503684823258,0.001,4.738503456115723,4.738503684823258
20,3.5904159903526307,4.469927263259888,4.72009681288017,0.001,4.720096588134766,4.72009681288017
21,3.626932382583618,4.426927375793457,4.655112756374462,0.0005,4.6551127433776855,4.655112756374462
22,3.5103947162628173,4.480794668197632,4.706139306569893,0.0005,4.70613956451416,4.706139306569893
23,3.471750521659851,4.790378904342651,5.005292767680039,0.0005,5.005292892456055,5.005292767680039
24,3.488801395893097,4.448768424987793,4.6543872181853665,0.0005,4.654387474060059,4.6543872181853665
25,3.4372235774993896,4.568696689605713,4.779553086016408,0.0005,4.779552936553955,4.779553086016408
26,3.4026843428611757,4.371823453903199,4.596244705465153,0.0005,4.596244812011719,4.596244705465153
27,3.367824673652649,4.386321020126343,4.630664723671048,0.0005,4.630665302276611,4.630664723671048
28,3.3414188861846923,4.353245878219605,4.581918306244115,0.0005,4.581918716430664,4.581918306244115
29,3.38280588388443,4.481684827804566,4.706293708936033,0.0005,4.70629358291626,4.706293708936033
30,3.374846363067627,4.3774025440216064,4.59524760046797,0.0005,4.595247268676758,4.59524760046797
31,3.330772888660431,4.4095641613006595,4.644137076377379,0.0005,4.644137382507324,4.644137076377379
32,3.2986471176147463,4.397360372543335,4.632251368741484,0.0005,4.632251739501953,4.632251368741484
33,3.3073139429092406,4.497861242294311,4.729230191668998,0.0005,4.7292304039001465,4.729230191668998
34,3.2882800102233887,4.344725131988525,4.5731786545289905,0.0005,4.573178768157959,4.5731786545289905
35,3.2633137345314025,4.341465425491333,4.579478376356028,0.0005,4.5794782638549805,4.579478376356028
36,3.2468114614486696,4.366242551803589,4.574673896688071,0.0005,4.574674129486084,4.574673896688071
37,3.207931864261627,4.434814214706421,4.676970040209619,0.0005,4.6769700050354,4.676970040209619
38,3.2596842527389525,4.358084297180175,4.577301338522212,0.0005,4.577301025390625,4.577301338522212
39,3.278847599029541,4.356613349914551,4.578808253220398,0.0005,4.578808307647705,4.578808253220398
40,3.262924599647522,4.345407247543335,4.55145671253113,0.0005,4.551456451416016,4.55145671253113
41,3.196962857246399,4.402011680603027,4.6333341346779005,0.0005,4.633334159851074,4.6333341346779005
42,3.1290638208389283,4.398729372024536,4.618124791948246,0.00025,4.618124961853027,4.618124791948246
43,3.1358509063720703,4.330065822601318,4.556583252985602,0.00025,4.556582927703857,4.556583252985602
44,3.100490927696228,4.36410608291626,4.58786228353348,0.00025,4.587862014770508,4.58786228353348
45,3.096479666233063,4.354987239837646,4.578966440083799,0.00025,4.5789666175842285,4.578966440083799
46,3.1090901255607606,4.3280027389526365,4.534187445609021,0.00025,4.5341877937316895,4.534187445609021
47,3.1325018048286437,4.484610843658447,4.690333096991653,0.00025,4.690333366394043,4.690333096991653
48,3.135977566242218,4.325579309463501,4.557442547523817,0.00025,4.557442665100098,4.557442547523817
49,3.099754071235657,4.329706239700317,4.540617492615524,0.00025,4.5406174659729,4.540617492615524
50,3.077252984046936,4.404871034622192,4.618001437287805,0.00025,4.618001461029053,4.618001437287805
51,3.0743393898010254,4.564167451858521,4.778783067556193,0.00025,4.778783321380615,4.778783067556193
52,3.066326630115509,4.2932523727417,4.514847074314734,0.00025,4.514847278594971,4.514847074314734
53,3.0728172302246093,4.406070613861084,4.616467432443216,0.00025,4.616467475891113,4.616467432443216
54,3.0414435386657717,4.371279668807984,4.578071482034712,0.00025,4.578071594238281,4.578071482034712
55,3.0240412592887878,4.398408699035644,4.608420949603573,0.00025,4.608421325683594,4.608420949603573
56,3.055615413188934,4.325842237472534,4.5378832483547225,0.00025,4.537883758544922,4.5378832483547225
57,3.002412164211273,4.481316328048706,4.6983643459800595,0.00025,4.6983642578125,4.6983643459800595
58,3.042712688446045,4.349464559555054,4.563330623765278,0.00025,4.56333065032959,4.563330623765278
59,2.975311839580536,4.343796062469482,4.558773761838538,0.000125,4.558773517608643,4.558773761838538
60,2.971815526485443,4.338056135177612,4.559853786516689,0.000125,4.559854030609131,4.559853786516689
61,2.9751942276954653,4.3466796875,4.564562979018329,0.000125,4.564563274383545,4.564562979018329
62,2.966360664367676,4.328176069259643,4.54330523424843,0.000125,4.543304920196533,4.54330523424843
63,2.9715471148490904,4.33562273979187,4.553512395731288,0.000125,4.5535125732421875,4.553512395731288
64,2.9426562428474425,4.394744253158569,4.605151979085737,0.000125,4.605151653289795,4.605151979085737
65,2.9490424275398253,4.337035274505615,4.554871591143581,6.25e-05,4.554871559143066,4.554871591143581
66,2.9371225357055666,4.320771217346191,4.542661814772299,6.25e-05,4.542661666870117,4.542661814772299
67,2.940713274478912,4.325043869018555,4.543329210570693,6.25e-05,4.543329238891602,4.543329210570693
