epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,nan,nan,nan,0.001,nan,nan
2,nan,nan,nan,0.001,nan,nan
3,nan,nan,nan,0.001,nan,nan
4,nan,nan,nan,0.001,nan,nan
5,nan,nan,nan,0.001,nan,nan
6,nan,nan,nan,0.001,nan,nan
7,nan,nan,nan,0.0005,nan,nan
8,nan,nan,nan,0.0005,nan,nan
9,nan,nan,nan,0.0005,nan,nan
10,nan,nan,nan,0.0005,nan,nan
11,nan,nan,nan,0.0005,nan,nan
12,nan,nan,nan,0.0005,nan,nan
13,nan,nan,nan,0.00025,nan,nan
14,nan,nan,nan,0.00025,nan,nan
15,nan,nan,nan,0.00025,nan,nan
