epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,5.572874665260315,6.102529048919678,6.292134142752437,0.001,6.292133808135986,6.292134142752437
2,5.506887173652649,6.072665596008301,6.264202879325207,0.001,6.26420259475708,6.264202879325207
3,5.411239337921143,6.045392990112305,6.251619038041546,0.001,6.2516188621521,6.251619038041546
4,5.199555516242981,5.827497243881226,6.061343918506355,0.001,6.061343669891357,6.061343918506355
5,4.933304476737976,5.425037002563476,5.695290755908528,0.001,5.695291042327881,5.695290755908528
6,4.647249984741211,5.499925374984741,5.7408546785885175,0.001,5.740854740142822,5.7408546785885175
7,4.478067803382873,5.185296106338501,5.389960200669666,0.001,5.389960289001465,5.389960200669666
8,4.340033161640167,4.989637947082519,5.223620113366059,0.001,5.223620414733887,5.223620113366059
9,4.237085247039795,5.06588659286499,5.253725162566687,0.001,5.253725528717041,5.253725162566687
10,4.257285857200623,5.05647554397583,5.292782883755048,0.001,5.292782306671143,5.292782883755048
11,4.07057021856308,4.914403104782105,5.108591319582541,0.001,5.108591556549072,5.108591319582541
12,3.951203167438507,4.948807287216186,5.154047413670668,0.001,5.15404748916626,5.154047413670668
13,3.9743586421012878,5.048558855056763,5.284864028985918,0.001,5.2848639488220215,5.284864028985918
14,3.94279226064682,4.69600772857666,4.928027208244606,0.001,4.928027153015137,4.928027208244606
15,3.8248942494392395,4.766365814208984,5.021860938459417,0.001,5.021860599517822,5.021860938459417
16,3.779942440986633,4.623649072647095,4.849578825936918,0.001,4.849578857421875,4.849578825936918
17,3.7430877685546875,4.610219526290893,4.810946487096974,0.001,4.810946464538574,4.810946487096974
18,3.749825918674469,4.71638765335083,4.963016059565065,0.001,4.963016033172607,4.963016059565065
19,3.6781997084617615,4.564835786819458,4.816029118671469,0.001,4.8160295486450195,4.816029118671469
20,3.6635546684265137,4.528180694580078,4.776547027497288,0.001,4.776546955108643,4.776547027497288
21,3.537421405315399,4.494427824020386,4.702270007787177,0.001,4.702270030975342,4.702270007787177
22,3.6513388752937317,4.521061849594116,4.77067890241851,0.001,4.770678997039795,4.77067890241851
23,3.6327643394470215,4.497110843658447,4.771224262699703,0.001,4.771224021911621,4.771224262699703
24,3.541301095485687,4.493005228042603,4.732436945690726,0.001,4.7324371337890625,4.732436945690726
25,3.5318496584892274,4.440564966201782,4.714670918244515,0.001,4.714670658111572,4.714670918244515
26,3.5329465866088867,4.627215051651001,4.902807927506356,0.001,4.90280818939209,4.902807927506356
27,3.4912009954452516,4.3947258472442625,4.628036979484732,0.001,4.6280364990234375,4.628036979484732
28,3.463356602191925,4.417676639556885,4.672573040950581,0.001,4.672573089599609,4.672573040950581
29,3.4111476302146913,4.341175651550293,4.5845578117081285,0.001,4.58455753326416,4.5845578117081285
30,3.372637617588043,4.55652756690979,4.819711506901867,0.001,4.819711208343506,4.819711506901867
31,3.387877643108368,4.46479868888855,4.7305076500980086,0.001,4.7305073738098145,4.7305076500980086
32,3.4275405526161196,4.428740453720093,4.688799548001729,0.001,4.6887993812561035,4.688799548001729
33,3.3689940333366395,4.437250232696533,4.6784992536184555,0.001,4.6784987449646,4.6784992536184555
34,3.350765419006348,4.4311731338500975,4.689421244100498,0.001,4.6894211769104,4.689421244100498
35,3.3433672904968263,4.655637550354004,4.89933519102633,0.001,4.899334907531738,4.89933519102633
36,3.244673264026642,4.493601608276367,4.778360329810394,0.0005,4.778360366821289,4.778360329810394
37,3.2154858469963075,4.364704608917236,4.601585529122474,0.0005,4.601585865020752,4.601585529122474
38,3.1467451095581054,4.346716451644897,4.596078685327385,0.0005,4.596078395843506,4.596078685327385
39,3.1360407948493956,4.3796868324279785,4.642895894987086,0.0005,4.6428961753845215,4.642895894987086
40,3.1032923817634583,4.409124088287354,4.659189891555775,0.0005,4.659189701080322,4.659189891555775
41,3.099243974685669,4.39575228691101,4.640661395507572,0.0005,4.640661716461182,4.640661395507572
42,3.09196652173996,4.341648817062378,4.609055296875482,0.00025,4.609055042266846,4.609055296875482
43,3.042716312408447,4.435993289947509,4.683230752456036,0.00025,4.683230876922607,4.683230752456036
44,3.05758398771286,4.342077827453613,4.596875022653028,0.00025,4.596875190734863,4.596875022653028
