station_id,icao,overlap_days,mean_bias_f,mae_f,rmse_f,corr
USW00004725,KBGM,9841.0,-0.12628594655014735,1.1075642719235852,2.0035012641157692,0.9949883953641944
USW00004751,KBFD,9849.0,-0.16086303177987615,1.0968118590719873,2.0396206587792145,0.994841991596941
USW00004781,KISP,9858.0,-0.3867194157029824,1.0821911138161902,2.1091674038232187,0.9927201593670772
USW00004787,KDUJ,8931.0,-0.20199081849736872,1.1621565334229091,2.156865844712182,0.9941636645072142
USW00013701,KAPG,6762.0,-1.7032830523513753,5.487027506654836,7.604245883515695,0.9142130350278118
USW00013702,KLFI,2343.0,0.32139137857447686,1.1503457106274022,3.3470385174640525,0.9781336106977937
USW00013721,KNHK,8774.0,-0.20003875085479844,1.0787166628675637,2.817642204150239,0.9863375639489681
USW00013734,KMRB,9849.0,-0.3176139709615192,1.0650116763123165,1.8452405319010898,0.9951388314425517
USW00013735,KMIV,9741.0,-0.3983574581665128,1.022560312082949,1.9530390165756837,0.9940930239229191
USW00013736,KMGW,9784.0,-0.18271054783319726,1.2457972199509408,2.393819020148869,0.9917893173426656
USW00013737,KORF,9856.0,-0.17085227272727302,1.1567288961038966,2.194861139589,0.9908037196079857
USW00013739,KPHL,9859.0,-0.12294147479460422,1.0571863272137136,2.0168925110566267,0.994049803845879
USW00013743,KDCA,9859.0,-0.22569226087838545,1.0869520235317989,1.9194174383302303,0.9942749725645469
USW00013750,KNGU,8766.0,-0.07950034223134872,1.1971731690622867,3.1847475097548634,0.9797486011707851
USW00013764,KGED,9793.0,-0.32782804043704705,1.095417134688043,2.1346190739404034,0.9925560377379791
USW00013769,KNTU,8587.0,-0.23677885175264957,1.1825620123442417,2.7348767277884587,0.9849655006988445
USW00013773,KNYG,8584.0,-0.32259319664492103,1.1266565703634674,2.542767450911086,0.9892430379782754
USW00013781,KILG,9849.0,-0.3426317392628695,1.0381460046705253,1.9176939712920043,0.9945524258660562
USW00014711,KMDT,9858.0,-0.2681050923108137,1.0599087035909927,1.9666878315018377,0.9946875824793646
USW00014712,KRDG,9414.0,-0.262651370299554,1.0723858083705124,2.050419223717229,0.9942839467442715
USW00014734,KEWR,9859.0,-0.1936849579064816,1.1407627548432906,2.034851181926952,0.9940637803651743
USW00014735,KALB,9859.0,-0.20173445582716307,1.0314940663353285,1.9787759025268976,0.9952112869332501
USW00014736,KAOO,9837.0,-0.2632855545389855,1.1173467520585547,1.9799608359931484,0.9948786623455922
USW00014737,KABE,9851.0,-0.23904578215409622,1.0748106791188718,2.0988333548972573,0.9939537972940654
USW00014740,KBDL,9859.0,-0.352772086418501,1.0567339486763367,1.8761912049330962,0.9956475728114219
USW00014748,KELM,9834.0,-0.3051169412243239,1.055826723611959,1.9178558760441833,0.9955308909245244
USW00014751,KCXY,8797.0,-0.18009321359554417,0.9956712515630335,1.8141168982443288,0.9954871850585428
USW00014771,KSYR,9857.0,-0.20431977275032984,1.1650786243278892,2.1033273832092085,0.9948566133385555
USW00014777,KAVP,9831.0,-0.23348591191130114,1.0905543688332828,1.9375285928504673,0.9952430592441946
USW00014778,KIPT,9838.0,-0.31730026428135805,1.0571701565358815,1.8611660137335861,0.9955653579208735
USW00014780,KNEL,473.0,-1.9019450317124735,2.133572938689218,4.653960099622632,0.9692814654068612
USW00014792,KTTN,9732.0,-0.22698520345252787,1.0437340731607074,2.0690554025785732,0.9938119439300356
USW00093720,KSBY,9798.0,-0.31764849969381526,1.0887487242294351,2.3886834307529208,0.9901876634810997
USW00093721,KBWI,9858.0,-0.2899452221545955,1.0437817001420173,1.8697290475628994,0.9948807008363891
USW00093730,KACY,9839.0,-0.42183351966663296,1.0676674458786466,1.9527557361163892,0.9940023140862764
USW00093738,KIAD,9859.0,-0.27457551475808945,1.0465970179531399,1.8864912440603108,0.9947638735232711
USW00093739,KWAL,9805.0,-0.49527383987761364,1.1106863844977055,2.092481224445225,0.992015715744301
USW00094702,KBDR,9846.0,-0.28763761933780224,1.07548242941296,1.8989983140568016,0.9942429235391036
USW00094704,KDSV,8968.0,-0.25891837644959875,1.0685214094558435,1.948721246352522,0.9953834947886494
USW00094728,KNYC,9851.0,-0.18517713937671318,1.2023124555882656,2.0870627009492635,0.9933116584549357
USW00094732,KPNE,9721.0,-0.22466618660631654,1.045149675959264,1.9503264849246602,0.9944931070848753
