date,ticker,bucket_label,model_prob,market_prob,bid_price,ask_price,actual_outcome,volume
2025-10-19,KXHIGHPHIL-25OCT19-T73,Below 73F,0.9961912700434546,0.005,0.01,0.01,0,1454
2025-10-19,KXHIGHPHIL-25OCT19-B73.5,73-75F,0.0036850023875977245,0.01,0.01,0.02,0,927
2025-10-19,KXHIGHPHIL-25OCT19-B75.5,75-77F,0.00012215561825335008,0.145,0.13,0.16,0,5277
2025-10-19,KXHIGHPHIL-25OCT19-B77.5,77-79F,0.0001,0.5,0.48,0.52,1,10461
2025-10-19,KXHIGHPHIL-25OCT19-B79.5,79-81F,0.0001,0.355,0.33,0.38,0,11836
2025-10-19,KXHIGHPHIL-25OCT19-T80,Above 80F,0.0001,0.03,0.02,0.04,0,2289
2025-10-20,KXHIGHPHIL-25OCT20-T64,Below 64F,0.03579756091704933,0.04,0.01,0.08,0,19692
2025-10-20,KXHIGHPHIL-25OCT20-B64.5,64-66F,0.17263317181402676,0.265,0.01,0.53,0,55381
2025-10-20,KXHIGHPHIL-25OCT20-B66.5,66-68F,0.3621793062529762,0.16,0.01,0.32,0,166415
2025-10-20,KXHIGHPHIL-25OCT20-B68.5,68-70F,0.3079327771738892,0.51,0.43,0.59,0,30495
2025-10-20,KXHIGHPHIL-25OCT20-B70.5,70-72F,0.10597534081224458,0.265,0.04,0.49,1,42628
2025-10-20,KXHIGHPHIL-25OCT20-T71,Above 71F,0.015481843029813924,0.015,0.01,0.03,0,11341
2025-10-21,KXHIGHPHIL-25OCT21-T68,Below 68F,0.6076967419039491,0.02,0.01,0.03,0,3406
2025-10-21,KXHIGHPHIL-25OCT21-B68.5,68-70F,0.31986746948921085,0.045,0.04,0.05,0,2117
2025-10-21,KXHIGHPHIL-25OCT21-B70.5,70-72F,0.06832040503629455,0.295,0.29,0.3,0,25125
2025-10-21,KXHIGHPHIL-25OCT21-B72.5,72-74F,0.004050531676439206,0.515,0.51,0.52,1,11937
2025-10-21,KXHIGHPHIL-25OCT21-B74.5,74-76F,0.0001,0.115,0.11,0.12,0,7228
2025-10-21,KXHIGHPHIL-25OCT21-T75,Above 75F,0.0001,0.025,0.02,0.03,0,2372
2025-10-22,KXHIGHPHIL-25OCT22-T62,Below 62F,0.0018265394779695301,0.015,0.01,0.02,0,1878
2025-10-22,KXHIGHPHIL-25OCT22-B62.5,62-64F,0.029405542308268556,0.075,0.07,0.08,0,4250
2025-10-22,KXHIGHPHIL-25OCT22-B64.5,64-66F,0.17507235808959987,0.435,0.43,0.44,0,15654
2025-10-22,KXHIGHPHIL-25OCT22-B66.5,66-68F,0.3824585584288624,0.375,0.37,0.38,1,13356
2025-10-22,KXHIGHPHIL-25OCT22-B68.5,68-70F,0.30884506240396414,0.135,0.13,0.14,0,5744
2025-10-22,KXHIGHPHIL-25OCT22-T69,Above 69F,0.1023919392913355,0.025,0.02,0.03,0,4876
2025-10-23,KXHIGHPHIL-25OCT23-T58,Below 58F,0.0001,0.02,0.01,0.03,0,132
2025-10-23,KXHIGHPHIL-25OCT23-B58.5,58-60F,0.0001,0.075,0.07,0.08,0,2765
2025-10-23,KXHIGHPHIL-25OCT23-B60.5,60-62F,0.0024737433557891456,0.285,0.27,0.3,0,11202
2025-10-23,KXHIGHPHIL-25OCT23-B62.5,62-64F,0.034720533836318276,0.445,0.43,0.46,1,10899
2025-10-23,KXHIGHPHIL-25OCT23-B64.5,64-66F,0.1848975595715259,0.205,0.2,0.21,0,8834
2025-10-23,KXHIGHPHIL-25OCT23-T65,Above 65F,0.7778415296561005,0.025,0.02,0.03,0,9104
2025-10-24,KXHIGHPHIL-25OCT24-T57,Below 57F,0.0001,0.02,0.01,0.03,0,1160
2025-10-24,KXHIGHPHIL-25OCT24-B57.5,57-59F,0.0001,0.025,0.02,0.03,0,1753
2025-10-24,KXHIGHPHIL-25OCT24-B59.5,59-61F,0.0002188809570024987,0.215,0.19,0.24,0,17630
2025-10-24,KXHIGHPHIL-25OCT24-B61.5,61-63F,0.007050271944949226,0.475,0.46,0.49,1,13930
2025-10-24,KXHIGHPHIL-25OCT24-B63.5,63-65F,0.07749756094681881,0.285,0.28,0.29,0,3668
2025-10-24,KXHIGHPHIL-25OCT24-T64,Above 64F,0.9152309979014142,0.055,0.05,0.06,0,1753
2025-10-25,KXHIGHPHIL-25OCT25-T57,Below 57F,0.0001,0.015,0.01,0.03,0,852
2025-10-25,KXHIGHPHIL-25OCT25-B57.5,57-59F,0.0001,0.015,0.01,0.03,0,214
