model,bucket_idx,bucket_label,brier_score
Persistence,0,Below 20,0.0021305558144906808
Persistence,1,20-29,0.008474021108455786
Persistence,2,30-39,0.045589506147324675
Persistence,3,40-49,0.08588716937069855
Persistence,4,50-59,0.11593021039218467
Persistence,5,60-69,0.10906701481919565
Persistence,6,70-79,0.10586149687084906
Persistence,7,80-89,0.11082998835185612
Persistence,8,90-99,0.04670291278353635
Persistence,9,Above 100,0.004030452034184589
Climatology,0,Below 20,0.0018404490440079857
Climatology,1,20-29,0.0072632159131577135
Climatology,2,30-39,0.05200657083945876
Climatology,3,40-49,0.0895030696838911
Climatology,4,50-59,0.12117610770646625
Climatology,5,60-69,0.11200954649158391
Climatology,6,70-79,0.11506789380599303
Climatology,7,80-89,0.11637874240032642
Climatology,8,90-99,0.054998421070943375
Climatology,9,Above 100,9.327902948007207e-05
Ridge (a=100.0),0,Below 20,0.0015635540852121574
Ridge (a=100.0),1,20-29,0.005679977986117487
Ridge (a=100.0),2,30-39,0.035277519602797756
Ridge (a=100.0),3,40-49,0.07390198430160463
Ridge (a=100.0),4,50-59,0.10094636228286266
Ridge (a=100.0),5,60-69,0.09849660709361019
Ridge (a=100.0),6,70-79,0.09679400608233397
Ridge (a=100.0),7,80-89,0.09432098052448552
Ridge (a=100.0),8,90-99,0.04005013896751648
Ridge (a=100.0),9,Above 100,0.0006717459603697946
HeteroscedasticNN,0,Below 20,0.0017930690639829778
HeteroscedasticNN,1,20-29,0.0063996041682685256
HeteroscedasticNN,2,30-39,0.03836919040016176
HeteroscedasticNN,3,40-49,0.07684999509016524
HeteroscedasticNN,4,50-59,0.10091510573943627
HeteroscedasticNN,5,60-69,0.1027501329566468
HeteroscedasticNN,6,70-79,0.10578230584383104
HeteroscedasticNN,7,80-89,0.10758302001845776
HeteroscedasticNN,8,90-99,0.044676445276783265
HeteroscedasticNN,9,Above 100,0.0015548344844906977
