epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,5.63644278049469,6.282149362564087,6.471683149009291,0.001,6.471682548522949,6.471683149009291
2,5.591664981842041,6.198361444473266,6.391458116873665,0.001,6.391458034515381,6.391458116873665
3,5.547065305709839,6.102414321899414,6.296778698813196,0.001,6.296778678894043,6.296778698813196
4,5.513070034980774,6.04206657409668,6.247755568344011,0.001,6.247755527496338,6.247755568344011
5,5.479088997840881,6.023622655868531,6.237585209952871,0.001,6.237585544586182,6.237585209952871
6,5.446706867218017,5.958309602737427,6.1799132410920885,0.001,6.17991304397583,6.1799132410920885
7,5.401353240013123,5.907403659820557,6.140898083590895,0.001,6.14089822769165,6.140898083590895
8,5.343261325359345,5.851917171478272,6.102138889050179,0.001,6.102138996124268,6.102138889050179
9,5.270459914207459,5.800148916244507,6.063425895242143,0.001,6.063425540924072,6.063425895242143
10,5.199112367630005,5.730767726898193,6.003455610533048,0.001,6.00345516204834,6.003455610533048
11,5.130279636383056,5.680937671661377,5.953386768780269,0.001,5.9533867835998535,5.953386768780269
12,5.085633683204651,5.611688470840454,5.873968146434667,0.001,5.873968601226807,5.873968146434667
13,5.023908817768097,5.6448938846588135,5.91940799416308,0.001,5.919408321380615,5.91940799416308
14,4.978985846042633,5.556385231018067,5.809931811612018,0.001,5.809931755065918,5.809931811612018
15,4.95791175365448,5.615637874603271,5.87557422337741,0.001,5.875574588775635,5.87557422337741
16,4.922927474975586,5.5664506435394285,5.813522744078705,0.001,5.813522815704346,5.813522744078705
17,4.9260170459747314,5.538836145401001,5.775041604859986,0.001,5.775041580200195,5.775041604859986
18,4.895114421844482,5.564865922927856,5.806918457746506,0.001,5.806918144226074,5.806918457746506
19,4.891163110733032,5.589849233627319,5.8293504083711305,0.001,5.829350471496582,5.8293504083711305
20,4.878840494155884,5.552809715270996,5.781936454444471,0.001,5.7819366455078125,5.781936454444471
21,4.901297569274902,5.527295732498169,5.753211070014178,0.001,5.75321102142334,5.753211070014178
22,4.852381801605224,5.530087566375732,5.75125922045351,0.001,5.751258850097656,5.75125922045351
23,4.835034525394439,5.61020040512085,5.853120206738041,0.001,5.853119850158691,5.853120206738041
24,4.85916051864624,5.507099866867065,5.724104311788169,0.001,5.724104404449463,5.724104311788169
25,4.814835512638092,5.57071738243103,5.797804830300548,0.001,5.797805309295654,5.797804830300548
26,4.822771370410919,5.546045112609863,5.769781749294187,0.001,5.769781589508057,5.769781749294187
27,4.815010356903076,5.518782281875611,5.72772103690753,0.001,5.727721214294434,5.72772103690753
28,4.825506126880645,5.516587638854981,5.731381473201905,0.001,5.731380939483643,5.731381473201905
29,4.814410972595215,5.551596450805664,5.764101628676383,0.001,5.764101505279541,5.764101628676383
30,4.803040933609009,5.511732816696167,5.715156213893508,0.001,5.715156078338623,5.715156213893508
31,4.785405552387237,5.53606276512146,5.750405601152104,0.0005,5.750405311584473,5.750405601152104
32,4.779666268825531,5.53808217048645,5.751734103603955,0.0005,5.751734256744385,5.751734103603955
33,4.775234413146973,5.52853627204895,5.739333822803341,0.0005,5.739334583282471,5.739333822803341
34,4.773018431663513,5.522534322738648,5.72950565227627,0.0005,5.72950553894043,5.72950565227627
35,4.775162601470948,5.535604190826416,5.748595502639774,0.0005,5.748595237731934,5.748595502639774
36,4.77048544883728,5.510119676589966,5.712126029088115,0.0005,5.7121262550354,5.712126029088115
37,4.759671425819397,5.515172481536865,5.719596436284755,0.00025,5.7195963859558105,5.719596436284755
38,4.757120180130005,5.517401695251465,5.7251534547770975,0.00025,5.72515344619751,5.7251534547770975
39,4.7545346975326535,5.5172895908355715,5.725412710944231,0.00025,5.725412845611572,5.725412710944231
40,4.754092633724213,5.52009859085083,5.725887643871081,0.00025,5.725887775421143,5.725887643871081
41,4.754748153686523,5.506600379943848,5.711839683571436,0.00025,5.711839199066162,5.711839683571436
42,4.744913542270661,5.521774101257324,5.727060151617892,0.00025,5.727059841156006,5.727060151617892
43,4.745809245109558,5.520018005371094,5.725094281933169,0.000125,5.725094318389893,5.725094281933169
44,4.7475509405136105,5.517828416824341,5.723226603097724,0.000125,5.723226547241211,5.723226603097724
45,4.745471024513245,5.520197629928589,5.727291050514165,0.000125,5.727291584014893,5.727291050514165
46,4.74345817565918,5.517468214035034,5.724716251934097,0.000125,5.7247161865234375,5.724716251934097
47,4.742913794517517,5.511353254318237,5.715273088225483,0.000125,5.715273380279541,5.715273088225483
48,4.742558288574219,5.512935924530029,5.7155513293595215,0.000125,5.715551376342773,5.7155513293595215
49,4.738471782207489,5.514303398132324,5.7184727675266505,6.25e-05,5.718472957611084,5.7184727675266505
50,4.739033985137939,5.5137471675872805,5.717168973133947,6.25e-05,5.717169284820557,5.717168973133947
51,4.738948583602905,5.514278697967529,5.71928770169942,6.25e-05,5.719288349151611,5.71928770169942
52,4.7377413511276245,5.511854982376098,5.716316012611789,6.25e-05,5.716315746307373,5.716316012611789
53,4.738770008087158,5.51500391960144,5.719012429357445,6.25e-05,5.719012260437012,5.719012429357445
54,4.737627470493317,5.515561723709107,5.720955877467229,6.25e-05,5.720956325531006,5.720955877467229
55,4.736201655864716,5.514502477645874,5.719614786864632,3.125e-05,5.7196149826049805,5.719614786864632
56,4.741070342063904,5.5130617141723635,5.717996636596474,3.125e-05,5.717996597290039,5.717996636596474
